split_name,method,joint_loss,pid_separation,energy_scale,pileup_sideband,saturation_clipping,pedestal_noise_color,pulse_shape_harmonics,mean_joint_loss
particle_heldout,gradient_boosted_trees,0.0511633052632071,0.9838186755117637,0.08934650215876236,0.9990642866234967,1.0,0.7964537476622069,0.9999571497684705,0.03958299231264609
run_heldout,gradient_boosted_trees,0.02800267936208508,0.999580071144509,0.08780502711471042,0.9999518571955377,0.9972872916565627,0.9456850742975242,0.9999974343437884,0.03958299231264609
particle_heldout,ridge,0.10225962027148615,0.9525145114872446,0.0880842477083206,0.9987406462515945,0.940520246714937,0.6113293051359516,0.8681553666459327,0.07842624875186194
run_heldout,ridge,0.054592877232237734,0.993226024398398,0.11039555668830871,0.9997046910447931,0.8861901913553303,0.8850145898573171,0.9928439572168274,0.07842624875186194
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,0.11120149115293151,0.9419377916524396,0.11456728241943896,0.9986918970742369,0.9390587288817378,0.6168608833261402,0.8710235676273412,0.08520858945208709
run_heldout,traditional_dE_E_tail_pedestal_likelihood,0.05921568775124268,0.9934162653189403,0.12907895267226233,0.999702705774506,0.883316897575591,0.8855492791325054,0.9930812804163889,0.08520858945208709
particle_heldout,mlp,0.1632834141387173,0.871629839194836,0.10805531084537505,0.9639147756048283,0.7491150442477876,0.5148359948208892,0.9136671504596033,0.11781488409148336
run_heldout,mlp,0.07234635404424943,0.9852847249130278,0.10036436337977647,0.9834212559911735,0.7831902614093796,0.8555434549133841,0.9745518974524316,0.11781488409148336
particle_heldout,spectral_transformer_new,0.24031574425028115,0.8090076906817554,0.32327407656279694,0.9944805098080636,0.7065433091981764,0.5526111350884765,0.8208224479922592,0.24701468493023965
run_heldout,spectral_transformer_new,0.2537136256101981,0.7288918606261443,0.39981513282857684,0.9660910871786778,0.747281633444881,0.7913170983748712,0.833794652573802,0.24701468493023965
particle_heldout,1d_cnn,0.24337261934206797,0.7374583353657546,0.23536625963640154,0.9406140229716957,0.7791901314025208,0.5497122716155949,0.803704471629,0.2557237783171823
run_heldout,1d_cnn,0.26807493729229664,0.7157848207329032,0.38139237920113633,0.9584517671138985,0.7605638812098874,0.6831892770724654,0.8135477765809467,0.2557237783171823
