split_name,endpoint,method,stratum_axis,stratum,n,metric,value
particle_heldout,energy_scale,1d_cnn,tail_amplitude_bin,tail_high,1669,sigma68,0.23356474063477364
particle_heldout,energy_scale,1d_cnn,tail_amplitude_bin,tail_mid,70,sigma68,0.2920950234806739
particle_heldout,energy_scale,1d_cnn,pedestal_history_bin,pedestal_memory,472,sigma68,0.19986316813033148
particle_heldout,energy_scale,1d_cnn,pedestal_history_bin,pedestal_mid,683,sigma68,0.2173404242730526
particle_heldout,energy_scale,1d_cnn,pedestal_history_bin,pedestal_quiet,584,sigma68,0.3078779837836751
particle_heldout,energy_scale,1d_cnn,pulse_shape_bin,low_harmonic,812,sigma68,0.19797194653577974
particle_heldout,energy_scale,1d_cnn,pulse_shape_bin,mid_harmonic,917,sigma68,0.16158104899098086
particle_heldout,energy_scale,1d_cnn,timing_residual_bin,timing_core,559,sigma68,0.15315388807083202
particle_heldout,energy_scale,1d_cnn,timing_residual_bin,timing_mid,473,sigma68,0.2089843122975949
particle_heldout,energy_scale,1d_cnn,timing_residual_bin,timing_tail,707,sigma68,0.19083092403609356
particle_heldout,energy_scale,1d_cnn,pileup_flag,pileup_proxy,737,sigma68,0.19910832012534233
particle_heldout,energy_scale,1d_cnn,pileup_flag,single_proxy,1002,sigma68,0.1787448219121543
particle_heldout,energy_scale,1d_cnn,saturation_flag,linear_proxy,1695,sigma68,0.23040372891978814
particle_heldout,energy_scale,1d_cnn,saturation_flag,saturation_proxy,44,sigma68,0.31233500467321273
particle_heldout,energy_scale,1d_cnn,energy_bin,energy_high,1630,sigma68,0.22373083206497513
particle_heldout,energy_scale,1d_cnn,energy_bin,energy_mid,90,sigma68,0.10834954355357856
particle_heldout,energy_scale,gradient_boosted_trees,tail_amplitude_bin,tail_high,1669,sigma68,0.0888782495154852
particle_heldout,energy_scale,gradient_boosted_trees,tail_amplitude_bin,tail_mid,70,sigma68,0.12409950776652644
particle_heldout,energy_scale,gradient_boosted_trees,pedestal_history_bin,pedestal_memory,472,sigma68,0.06235643396363139
particle_heldout,energy_scale,gradient_boosted_trees,pedestal_history_bin,pedestal_mid,683,sigma68,0.07659827482443975
particle_heldout,energy_scale,gradient_boosted_trees,pedestal_history_bin,pedestal_quiet,584,sigma68,0.14892170307684172
particle_heldout,energy_scale,gradient_boosted_trees,pulse_shape_bin,low_harmonic,812,sigma68,0.0927545081825388
particle_heldout,energy_scale,gradient_boosted_trees,pulse_shape_bin,mid_harmonic,917,sigma68,0.07930373766031022
particle_heldout,energy_scale,gradient_boosted_trees,timing_residual_bin,timing_core,559,sigma68,0.0976899086007151
particle_heldout,energy_scale,gradient_boosted_trees,timing_residual_bin,timing_mid,473,sigma68,0.09353524288774911
particle_heldout,energy_scale,gradient_boosted_trees,timing_residual_bin,timing_tail,707,sigma68,0.07417112693682248
particle_heldout,energy_scale,gradient_boosted_trees,pileup_flag,pileup_proxy,737,sigma68,0.07393385197672711
particle_heldout,energy_scale,gradient_boosted_trees,pileup_flag,single_proxy,1002,sigma68,0.09335995856567889
