run,group,stave,stave_idx,amplitude_adc,baseline_adc,peak_sample,split_name,tail_amplitude_bin,pedestal_history_bin,pulse_shape_bin,timing_residual_bin,pileup_flag,saturation_flag,energy_bin,proxy_particle_family
42,sample_i_calib,B4,1,3074.0,6993.0,9,run_heldout,tail_low,pedestal_mid,mid_harmonic,timing_mid,single_proxy,linear_proxy,energy_mid,duplicate_response_high_family
42,sample_i_calib,B6,2,1664.5,6939.5,8,run_heldout,tail_low,pedestal_mid,high_harmonic,timing_core,single_proxy,linear_proxy,energy_low,duplicate_response_low_family
42,sample_i_calib,B2,0,2149.0,6760.0,7,run_heldout,tail_low,pedestal_quiet,high_harmonic,timing_core,single_proxy,linear_proxy,energy_low,duplicate_response_low_family
42,sample_i_calib,B2,0,6496.5,6731.5,6,run_heldout,tail_mid,pedestal_quiet,low_harmonic,timing_core,single_proxy,linear_proxy,energy_high,duplicate_response_low_family
42,sample_i_calib,B4,1,2864.0,7047.0,8,run_heldout,tail_mid,pedestal_memory,high_harmonic,timing_mid,single_proxy,linear_proxy,energy_mid,duplicate_response_high_family
42,sample_i_calib,B6,2,2860.0,6923.0,9,run_heldout,tail_mid,pedestal_mid,high_harmonic,timing_core,single_proxy,linear_proxy,energy_mid,duplicate_response_high_family
42,sample_i_calib,B6,2,3253.0,6897.0,8,run_heldout,tail_mid,pedestal_quiet,high_harmonic,timing_core,single_proxy,linear_proxy,energy_high,duplicate_response_high_family
42,sample_i_calib,B4,1,2284.0,7062.0,6,run_heldout,tail_low,pedestal_memory,high_harmonic,timing_mid,single_proxy,linear_proxy,energy_low,duplicate_response_low_family
42,sample_i_calib,B8,3,1238.5,6905.5,15,run_heldout,tail_high,pedestal_mid,low_harmonic,timing_tail,pileup_proxy,linear_proxy,energy_low,duplicate_response_low_family
42,sample_i_calib,B2,0,6042.5,9945.5,6,run_heldout,tail_low,pedestal_memory,low_harmonic,timing_core,single_proxy,linear_proxy,energy_mid,duplicate_response_low_family
42,sample_i_calib,B8,3,2626.5,6918.5,12,run_heldout,tail_high,pedestal_mid,mid_harmonic,timing_tail,pileup_proxy,linear_proxy,energy_mid,duplicate_response_high_family
42,sample_i_calib,B8,3,3152.5,6939.5,7,run_heldout,tail_mid,pedestal_mid,mid_harmonic,timing_core,single_proxy,linear_proxy,energy_mid,duplicate_response_low_family
42,sample_i_calib,B6,2,2568.5,6944.5,17,run_heldout,tail_high,pedestal_mid,low_harmonic,timing_tail,pileup_proxy,linear_proxy,energy_mid,duplicate_response_high_family
42,sample_i_calib,B6,2,2456.5,6961.5,17,run_heldout,tail_high,pedestal_mid,low_harmonic,timing_tail,pileup_proxy,linear_proxy,energy_mid,duplicate_response_high_family
42,sample_i_calib,B8,3,3322.5,6896.5,17,run_heldout,tail_high,pedestal_quiet,low_harmonic,timing_tail,pileup_proxy,linear_proxy,energy_high,duplicate_response_high_family
