run,rule,natural_candidates,natural_acceptance_rate,n_events,q_template_shift,timing_tail_delta
58,traditional_envelope,16,0.625,10,0.0,0.0
58,ml_conformal_risk,16,0.125,2,0.004979375089816163,0.0
59,traditional_envelope,90,0.32222222222222224,29,0.0,0.0
59,ml_conformal_risk,90,0.2111111111111111,19,0.008381066932362319,-0.05263157894736842
60,traditional_envelope,10,0.4,4,0.0,0.0
60,ml_conformal_risk,10,0.2,2,0.013897033505889944,0.0
61,traditional_envelope,10,0.3,3,0.0,0.0
61,ml_conformal_risk,10,0.2,2,0.0026981139455395653,0.0
62,traditional_envelope,36,0.25,9,0.0,0.0
62,ml_conformal_risk,36,0.16666666666666666,6,-0.00017555916735736976,0.0
63,traditional_envelope,74,0.40540540540540543,30,0.0,0.0
63,ml_conformal_risk,74,0.36486486486486486,27,0.010953676085379976,-0.03703703703703698
65,traditional_envelope,13,0.3076923076923077,4,0.0,0.0
65,ml_conformal_risk,13,0.07692307692307693,1,0.009655948660309666,0.0
