run,rule,n,amp_res68_abs_frac,amp_bias_median_frac,catastrophic_rate,q_template_shift_median,timing_tail_rate,calibration_coverage,acceptance_rate
58,ml_conformal_risk,1308.0,0.06032386900053348,0.03827643520419582,0.0,-0.476920905144782,0.0,0.9992354740061162,0.34852118305355717
58,traditional_envelope,1449.0,0.09515010570861962,-0.035063714685131246,0.004140786749482402,0.0699168270787478,0.0006901311249137336,0.7170462387853692,0.38609112709832133
59,ml_conformal_risk,1011.0,0.06772089538314575,0.031906763132736,0.005934718100890208,-0.5520401220449278,0.0009891196834817012,0.9614243323442137,0.4477413640389725
59,traditional_envelope,1081.0,0.09714959534433013,0.005513098644976946,0.009250693802035153,-0.4394020503780709,0.0018501387604070306,0.6956521739130435,0.4787422497785651
60,ml_conformal_risk,890.0,0.0820544777725999,0.05835068476243489,0.015730337078651686,-0.6885467070565765,0.0,0.9415730337078652,0.4930747922437673
60,traditional_envelope,909.0,0.09796333899794561,0.0007861745330428758,0.005500550055005501,-0.38988745040183126,0.0,0.6985698569856986,0.503601108033241
61,ml_conformal_risk,984.0,0.07165494270550517,0.03963849112896212,0.021341463414634148,-0.5612012292983488,0.0,0.9461382113821138,0.47467438494934877
61,traditional_envelope,1047.0,0.08978573218095291,0.00880359501354408,0.009551098376313277,-0.45917351445846943,0.0009551098376313276,0.731614135625597,0.5050651230101303
62,ml_conformal_risk,1137.0,0.07070980285389464,0.04193197139520689,0.016710642040457344,-0.5953331902879597,0.0,0.93051890941073,0.5333020637898687
62,traditional_envelope,1089.0,0.09537737288023673,0.003111641372172088,0.0073461891643709825,-0.4227153739147411,0.0,0.711662075298439,0.5107879924953096
63,ml_conformal_risk,1095.0,0.06442835085844781,0.030353958790749314,0.0036529680365296802,-0.5702842101297101,0.0,0.9853881278538813,0.44242424242424244
63,traditional_envelope,1446.0,0.09481163709324247,-0.008397464426482317,0.004149377593360996,-0.3771368570055067,0.0006915629322268327,0.710926694329184,0.5842424242424242
65,ml_conformal_risk,1200.0,0.05826369464605735,0.028761157341114965,0.0,-0.5373396564958233,0.0,0.9958333333333333,0.4807692307692308
65,traditional_envelope,1739.0,0.09644926743194464,0.0035817770388431192,0.007475560667050029,-0.467517971526739,0.0,0.6998274870615296,0.6967147435897436
