n,amp_res68_abs_frac,amp_bias_median_frac,catastrophic_rate,q_template_shift_median,timing_tail_rate,calibration_coverage,acceptance_rate,q_template_shift_natural,timing_tail_delta_natural,rule,amp_res68_abs_frac_ci95,amp_bias_median_frac_ci95,catastrophic_rate_ci95,q_template_shift_median_ci95,timing_tail_rate_ci95,calibration_coverage_ci95,acceptance_rate_ci95,q_template_shift_natural_ci95,timing_tail_delta_natural_ci95
7625,0.06661047948962413,0.03764923956638086,0.00839344262295082,-0.5580175311494138,0.00013114754098360657,0.9678688524590164,0.4487405838041431,0.00719852215027718,-0.012809802283486485,ml_conformal_risk,"[0.06246543479743603, 0.07283969652998146]","[0.03245341284339115, 0.04384640867547799]","[0.0028071629573775078, 0.014391380323789414]","[-0.6133412517877745, -0.514400185215143]","[0.0, 0.00041140976412506856]","[0.9477338785717493, 0.9868020304568528]","[0.4017962308598351, 0.49414349750479]","[0.004008785748407505, 0.010632597188269794]","[-0.027868281815650226, 0.0]"
8760,0.09538722066421221,-0.004270671711130412,0.006621004566210046,-0.3552666402188396,0.0005707762557077625,0.7091324200913242,0.5155367231638418,0.0,0.0,traditional_envelope,"[0.09322043009998941, 0.09665471060079311]","[-0.017112721243353293, 0.004700487840592003]","[0.005272819232805554, 0.00815581253804017]","[-0.45189855384740635, -0.18172140791227243]","[0.0001828141035289896, 0.0010382643939689492]","[0.7013453835883743, 0.7176014618398584]","[0.44539584789808917, 0.5987279315150802]","[0.0, 0.0]","[0.0, 0.0]"
