heldout_run,method,alpha,cv_mae_adc,learning_rate,max_leaf_nodes
58,ridge,0.1,157.16139291280095,,
58,ridge,1.0,157.15415516573242,,
58,ridge,10.0,157.13025073420468,,
58,ridge,100.0,157.5879432195809,,
58,gradient_boosted_trees,,75.98719538865448,0.04,15.0
58,gradient_boosted_trees,,60.285156068529375,0.04,31.0
58,gradient_boosted_trees,,65.69120659403067,0.08,15.0
58,gradient_boosted_trees,,54.12409523448586,0.08,31.0
59,ridge,0.1,158.51317947131693,,
59,ridge,1.0,158.5234476026149,,
59,ridge,10.0,158.61969403309232,,
59,ridge,100.0,159.347804575329,,
59,gradient_boosted_trees,,78.98343473170617,0.04,15.0
59,gradient_boosted_trees,,61.85329224785672,0.04,31.0
59,gradient_boosted_trees,,70.0167911457054,0.08,15.0
59,gradient_boosted_trees,,57.31206352925264,0.08,31.0
60,ridge,0.1,153.39131308365754,,
60,ridge,1.0,153.39819842412783,,
60,ridge,10.0,153.5007109899124,,
60,ridge,100.0,154.53588772136925,,
60,gradient_boosted_trees,,80.88390888485183,0.04,15.0
60,gradient_boosted_trees,,64.22561192398324,0.04,31.0
60,gradient_boosted_trees,,71.88969965965663,0.08,15.0
60,gradient_boosted_trees,,59.73814195143736,0.08,31.0
61,ridge,0.1,158.02326674237344,,
61,ridge,1.0,158.0348356868345,,
61,ridge,10.0,158.1703065650853,,
61,ridge,100.0,159.27992051206974,,
61,gradient_boosted_trees,,77.93956198737912,0.04,15.0
61,gradient_boosted_trees,,61.61075707460588,0.04,31.0
61,gradient_boosted_trees,,69.02871041474161,0.08,15.0
61,gradient_boosted_trees,,56.278876155393384,0.08,31.0
62,ridge,0.1,150.37404041677843,,
62,ridge,1.0,150.38052429725798,,
62,ridge,10.0,150.48110273173012,,
62,ridge,100.0,151.2828359410243,,
62,gradient_boosted_trees,,72.15599934458841,0.04,15.0
62,gradient_boosted_trees,,58.665470306860946,0.04,31.0
62,gradient_boosted_trees,,62.706239465319555,0.08,15.0
62,gradient_boosted_trees,,52.440940259925135,0.08,31.0
63,ridge,0.1,155.82572512289954,,
63,ridge,1.0,155.8229962579656,,
63,ridge,10.0,155.83627798908697,,
63,ridge,100.0,156.66469462659492,,
63,gradient_boosted_trees,,79.78287392328656,0.04,15.0
63,gradient_boosted_trees,,62.711996393175475,0.04,31.0
63,gradient_boosted_trees,,73.49711953937798,0.08,15.0
63,gradient_boosted_trees,,58.44846121492075,0.08,31.0
65,ridge,0.1,157.5289457559623,,
65,ridge,1.0,157.53000073153757,,
65,ridge,10.0,157.58294483963616,,
65,ridge,100.0,158.53303511124548,,
65,gradient_boosted_trees,,75.79367182031412,0.04,15.0
65,gradient_boosted_trees,,60.422869475949625,0.04,31.0
65,gradient_boosted_trees,,66.16394096049913,0.08,15.0
65,gradient_boosted_trees,,54.80772204853443,0.08,31.0
