method,n,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,timing_bias_median_ns,timing_abs68_ns,timing_tail_frac_gt5ns,run
raw_peak,15790,-0.007448866488503423,0.05320830737386627,0.6974126002975941,0.034537989314950224,0.038900634249475985,0.012349588347055098,58
raw_integral,15790,-0.0063500469439603585,0.010841625294914092,0.4311093675640867,7.572883906228014,11.748675679218977,0.01272957568081064,58
adaptive_template,15790,-0.051643873648010444,0.11037959438267854,0.34133956579040026,0.14245666229868803,0.2814566213099525,0.021975934135528816,58
template_saturation,15790,-0.008811323640855885,0.05398402855559723,0.6981305885716056,0.02165009781803562,0.024691358024703902,0.012349588347055098,58
raw_peak,13563,0.024977960354197404,0.20092011989151864,2.815174954571272,0.01042983565106681,0.2242326294780443,0.13676915136769152,59
raw_integral,13563,-0.0036059997725454962,0.0419014995912886,2.1331808164908637,3.0337996321884617,8.715087828358648,0.0322200103222001,59
adaptive_template,13563,0.0616981527032613,0.17397399915919237,1.52563358807275,0.04600206977655219,0.7533689715155192,0.15778220157782202,59
template_saturation,13563,0.025675004865239666,0.19968205824321536,2.8159400568783615,-0.0017056877877266174,0.24446635395221092,0.1369903413699034,59
raw_peak,9866,0.02282314195763669,0.15055964380637793,3.2609962688893597,0.020643462381016775,0.09263516760364754,0.11129130346645044,60
raw_integral,9866,-0.004239891702232902,0.024951733956756452,2.4299648168519106,1.3974107728568619,7.711363229709858,0.029393877964727345,60
adaptive_template,9866,-0.026095419998805287,0.14098097082681166,1.7898788994322845,0.07620158492778017,0.5454609174719337,0.13683356983579972,60
template_saturation,9866,0.023061370326829277,0.14965845400463218,3.2689596994998937,0.00819804614260633,0.1009591720830409,0.11149401986620718,60
raw_peak,11015,0.024958836580362086,0.13462891634824464,2.980352025474891,0.02180766075053242,0.08988801838084017,0.11057648660916931,61
raw_integral,11015,-0.004645647470363292,0.024116849595881472,2.3751077262067084,1.9171858441905023,7.60763705409793,0.027144802541988197,61
adaptive_template,11015,-0.013107473693989815,0.1321758892736774,1.7664082199186468,0.07490481651207581,0.5218959669438022,0.13499773036768042,61
template_saturation,11015,0.025271396737640086,0.13438033779077577,2.9903390545008963,0.00905660377359041,0.09766904864373928,0.11084884248751702,61
raw_peak,11634,0.020299056623167513,0.1611629833459502,2.75090915600959,0.017943720039149014,0.10689540479997418,0.11947739384562489,62
raw_integral,11634,-0.0042837888622619565,0.025312761835928788,2.03143279934378,3.328063317179293,10.310950135735517,0.03309265944645006,62
adaptive_template,11634,0.04469308691362809,0.1457114915966845,1.350671839170219,0.07614682202308387,0.5493435573400873,0.14062231390751245,62
template_saturation,11634,0.020505371526092327,0.16060613419733819,2.753924679733882,0.005727096358441486,0.11690278929478129,0.11990716864363074,62
raw_peak,14564,0.014136632073691273,0.10713681999836633,2.4574959009002395,0.023650473179412046,0.07066852346158299,0.09193902773963197,63
raw_integral,14564,-0.00474343000829335,0.019898696497498276,1.735254534787458,2.6868983733848566,9.919625767457926,0.024031859379291403,63
adaptive_template,14564,0.04837228284917935,0.12552106612332853,1.2403685511614557,0.09055128355777597,0.4534313323301174,0.10903597912661357,63
template_saturation,14564,0.01519471439523665,0.10754463272113046,2.4592191105006336,0.011701448598564923,0.0860174962374481,0.09187036528426257,63
raw_peak,11907,0.010020575080015187,0.11260026165451044,2.627546709465959,0.023997274143304992,0.06399828767122968,0.0829764004367179,64
raw_integral,11907,-0.005053476337839177,0.018882652419397822,1.7527414654069815,1.4139085010206918,7.698938874843876,0.021080036953052828,64
adaptive_template,11907,0.04959250268061139,0.12473506145709116,1.2282935234020043,0.10375205711270397,0.43086023974460796,0.10052910052910052,64
template_saturation,11907,0.010813303235494976,0.11318541997623457,2.6291783311551153,0.011597635616780622,0.0726084820492634,0.08322835306962291,64
raw_peak,11768,-0.0023732857003524108,0.14594461624604324,2.683558939087284,0.025275873935736826,0.0563925535493168,0.06806594153636981,65
raw_integral,11768,-0.006103423779420668,0.018811839908673116,1.7829386663575946,1.6093361243219029,7.49742979170716,0.020224337185588036,65
adaptive_template,11768,0.06504720488096662,0.14031655727908743,1.2390893548563193,0.13098976576511134,0.4505645971066036,0.08506118286879674,65
template_saturation,11768,-0.0031539149965406424,0.1449607504891783,2.6849218871636977,0.012568994827883984,0.06012250161186159,0.06806594153636981,65
