method,harm_rate_delta_vs_traditional,ci95,n_runs
ridge,0.3730308569830282,"[0.34655577502045576, 0.4036440340971456]",8
gradient_boosted_trees,0.2948744843017971,"[0.27435884210700306, 0.3201099155471602]",8
mlp,0.24943310657596368,"[0.22620003536426728, 0.2780356976623097]",8
cnn_1d,0.37913432627089017,"[0.3397830062489803, 0.4125973441915553]",8
wavegate_resnet,0.32289450288191635,"[0.2928548322370162, 0.35730388825638826]",8
shuffled_target_gbt,-0.20348227396685548,"[-0.22821093871135006, -0.17593741867795384]",8
