run,group,events_total,s00_selected_pulses,b2_selected,b2_valid_odd,b2_high_proxy
31,sample_i_calib,39990,27871,26948,26931,12235
32,sample_i_calib,41921,28240,27316,27305,11991
33,sample_i_calib,57173,48737,47724,47721,16066
34,sample_i_calib,39765,34118,33373,33372,15541
35,sample_i_calib,27786,11667,11029,11021,1411
36,sample_i_calib,21764,10391,9847,9841,2143
37,sample_i_calib,50513,24537,22956,22930,4947
39,sample_i_calib,30321,14218,13174,13161,2306
40,sample_i_calib,32613,14708,13575,13569,1985
41,sample_i_calib,33997,16146,14963,14953,2727
42,sample_i_calib,33972,18112,16977,16968,4895
44,sample_i_analysis,4294,2038,1884,1883,334
45,sample_i_analysis,48181,24333,22786,22772,5466
46,sample_i_analysis,1441,687,675,674,144
47,sample_i_analysis,10970,5276,5116,5115,1268
48,sample_i_analysis,31713,14000,13044,13035,1986
49,sample_i_analysis,32354,14815,13779,13763,2153
50,sample_i_analysis,44804,35217,34088,34085,19490
51,sample_i_analysis,20569,14740,14200,14199,7247
52,sample_i_analysis,10005,7152,6893,6893,3623
53,sample_i_analysis,39612,32200,31225,31221,13960
54,sample_i_analysis,37413,30440,29493,29492,13282
55,sample_i_analysis,24416,17387,16735,16730,8329
56,sample_i_analysis,51823,40148,38730,38723,21644
57,sample_i_analysis,31284,13833,12774,12763,1840
58,sample_ii_analysis,34141,16781,15791,15790,1615
59,sample_ii_analysis,42303,21377,13565,13563,805
60,sample_ii_analysis,36074,17029,9873,9866,344
61,sample_ii_analysis,36535,18965,11015,11015,412
62,sample_ii_analysis,37584,19089,11635,11634,503
63,sample_ii_analysis,37030,18817,14566,14564,1221
64,sample_ii_calib,35943,14630,11907,11907,771
65,sample_ii_analysis,38424,13038,11768,11768,451
