method,train_ap,train_rows,final_loss,n_parameters
ridge,0.9876934770715302,30000,,
gradient_boosted_trees,0.9999917556167683,30000,,
mlp,0.9994731809253674,30000,,
cnn_1d,0.9634911052833297,12000,0.4567264931201935,1457.0
gated_cnn_new,0.9610204872948261,12000,0.5036189789772034,1793.0
