method,heldout_auc,heldout_average_precision,heldout_brier,heldout_ece
ridge,0.9903694990574192,0.8999580524363076,0.11488068491035854,0.2896195177379473
gradient_boosted_trees,0.9999727039371781,0.9997426208773529,0.0024060269629633353,0.01872820460852235
mlp,0.9992377353274688,0.9919071663598653,0.015182888175857438,0.02808659259712496
cnn_1d,0.9611034023664832,0.8471413390948476,0.120038329834785,0.29609436612998247
gated_cnn_new,0.9596250783519922,0.822722519311258,0.1805785920839333,0.3732997943839163
