method,score_threshold,train_precision,train_recall,train_predicted_positive
ridge,0.6752756237983704,0.9000093931993237,0.5893225082264661,21292
gradient_boosted_trees,0.12897003885406524,0.9051623322381244,0.9997232216994187,35914
mlp,0.8109591007232666,0.9000056976810438,0.9715533413291509,35102
cnn_1d,0.6665215492248535,0.9000347446269916,0.5576467693821693,20147
gated_cnn_new,0.7334474921226501,0.900013044612575,0.42436264108005045,15332
