sample,threshold_mev,species,n,l_stop_mean,l_stop_median,frac_none_above_threshold
I,0.0,p,15,5.2,6.0,0.0
I,0.0,d,41,0.9268,1.0,0.0
I,0.0,all,56,2.0714,1.0,0.0
I,0.02,p,15,5.2,6.0,0.0
I,0.02,d,41,0.9268,1.0,0.0
I,0.02,all,56,2.0714,1.0,0.0
I,0.05,p,15,5.2,6.0,0.0
I,0.05,d,41,0.9268,1.0,0.0
I,0.05,all,56,2.0714,1.0,0.0
I,0.1,p,15,5.1333,6.0,0.0
I,0.1,d,41,0.9268,1.0,0.0
I,0.1,all,56,2.0536,1.0,0.0
I,0.5,p,15,4.9333,6.0,0.0
I,0.5,d,41,0.9268,1.0,0.0
I,0.5,all,56,2.0,1.0,0.0
II,0.0,p,535,5.2093,6.0,0.0
II,0.0,d,92,1.3152,1.0,0.0
II,0.0,all,630,4.6159,6.0,0.0
II,0.02,p,535,5.2075,6.0,0.0
II,0.02,d,92,1.3152,1.0,0.0
II,0.02,all,630,4.6143,6.0,0.0
II,0.05,p,535,5.2075,6.0,0.0
II,0.05,d,92,1.2826,1.0,0.0
II,0.05,all,630,4.6095,6.0,0.0
II,0.1,p,535,5.2075,6.0,0.0
II,0.1,d,92,1.2826,1.0,0.0
II,0.1,all,630,4.6095,6.0,0.0
II,0.5,p,535,5.2,6.0,0.001869
II,0.5,d,92,1.2609,1.0,0.0
II,0.5,all,630,4.6381,6.0,0.006349
