target,family,labels,train_non_null,heldout_non_null,train_distribution,heldout_distribution
physics_q_template_top_quartile,physics_proxy,"[0, 1]",71018,10498,"{""0"": 53263, ""1"": 17755}","{""0"": 7764, ""1"": 2734}"
physics_peak_group,physics_proxy,"[0, 1, 2]",71018,10498,"{""0"": 33750, ""1"": 27867, ""2"": 9401}","{""0"": 3844, ""1"": 5236, ""2"": 1418}"
physics_timing_tail_top_quartile,physics_proxy,"[0, 1]",10869,1210,"{""0"": 8151, ""1"": 2718}","{""0"": 840, ""1"": 370}"
physics_anomaly_proxy_top5,physics_proxy,"[0, 1]",71018,10498,"{""0"": 67467, ""1"": 3551}","{""0"": 9985, ""1"": 513}"
nuisance_sample_epoch,nuisance,"[0, 1]",71018,10498,"{""0"": 46588, ""1"": 24430}","{""0"": 4594, ""1"": 5904}"
nuisance_topology_multiplicity,nuisance,"[0, 1, 2]",71018,10498,"{""0"": 35027, ""1"": 13648, ""2"": 22343}","{""0"": 5012, ""1"": 2512, ""2"": 2974}"
nuisance_amplitude_quartile,nuisance,"[0, 1, 2, 3]",71018,10498,"{""0"": 17753, ""1"": 17750, ""2"": 17760, ""3"": 17755}","{""0"": 3482, ""1"": 2909, ""2"": 2580, ""3"": 1527}"
nuisance_stave,nuisance,"[0, 1, 2, 3]",71018,10498,"{""0"": 34275, ""1"": 18422, ""2"": 11692, ""3"": 6629}","{""0"": 4800, ""1"": 3409, ""2"": 1666, ""3"": 623}"
