method_input,train_rows,heldout_rows,feature_dim,train_mean_abs,heldout_mean_abs
traditional_hand_pca_residualized,71018,10498,16,5.860956289985067e-14,0.06656336675962436
latent_resid_ridge,71018,10498,4,2.2734888700735668e-14,0.03345018447053295
latent_resid_gbt,71018,10498,4,2.2734888700735668e-14,0.03345018447053295
latent_resid_mlp,71018,10498,4,2.2734888700735668e-14,0.03345018447053295
residual_fusion_mlp_new_arch,71018,10498,20,5.143462806002768e-14,0.059940730301806064
waveform_1d_cnn,71018,10498,18,0.3767372667789459,0.3692864179611206
