method,task,family,metric,value,ci_low,ci_high,roc_auc,average_precision,brier,train_rows,heldout_rows,n_classes,note
traditional_hand_pca_residualized,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7234130609377515,0.7160892652685935,0.7312690336007225,0.8130307683088568,0.7022060891171191,0.1634017764274711,71018,10498,2,
traditional_hand_pca_residualized,physics_peak_group,physics_proxy,balanced_accuracy,0.9149292546623128,0.9056102670867257,0.9278044680391897,0.9729797645425727,,,71018,10498,3,
traditional_hand_pca_residualized,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5013513513513513,0.5,0.5023400936037441,0.5862676962676963,0.3784895396402418,0.20527637636710197,10869,1210,2,
traditional_hand_pca_residualized,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.6479457978390588,0.5819583578669429,0.7394557923239935,0.8517247606302241,0.26915564915732443,0.10100446605983043,71018,10498,2,
latent_resid_ridge,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.6953249047335308,0.6668172367778575,0.7201721342489766,0.7720609102390301,0.6610733755066192,0.17830470820047814,71018,10498,2,
latent_resid_ridge,physics_peak_group,physics_proxy,balanced_accuracy,0.8668406530217956,0.8550658697811514,0.882629886377628,0.9447158925729399,,,71018,10498,3,
latent_resid_ridge,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5,0.5,0.5,0.5752155727155728,0.3550900392483324,0.20723108131101245,10869,1210,2,
latent_resid_ridge,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.5955893879806063,0.570386433958646,0.6346833058629621,0.7311684876242239,0.13783623210966167,0.1167190007843072,71018,10498,2,
latent_resid_gbt,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.791029075729635,0.7750956296217404,0.8085465840455357,0.8826657896611337,0.7962094675497968,0.12731328384706112,71018,10498,2,
latent_resid_gbt,physics_peak_group,physics_proxy,balanced_accuracy,0.9193938375348645,0.9118520626256754,0.9232572678782625,0.9793836530827885,,,71018,10498,3,
latent_resid_gbt,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5125804375804376,0.4917507966288454,0.5231471885296871,0.6220222007722008,0.39668129162680454,0.20281634928587247,10869,1210,2,
latent_resid_gbt,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.7400190929669357,0.6972376593560894,0.7968446141440971,0.8539719911250891,0.38778479799638776,0.08403797241270246,71018,10498,2,
latent_resid_mlp,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7723900699757702,0.7645113737876058,0.7813829151145424,0.8668631543480743,0.7736571737943405,0.13977892398374545,71018,10498,2,
latent_resid_mlp,physics_peak_group,physics_proxy,balanced_accuracy,0.9187379439891045,0.9099466784768878,0.9257792310003593,0.9789476021836001,,,71018,10498,3,
latent_resid_mlp,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5,0.5,0.5,0.5919626769626769,0.36444379785328135,0.20671419831652185,10869,1210,2,
latent_resid_mlp,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.7148674278474241,0.6747670820720439,0.763875713450015,0.8269107364750832,0.2982474554640575,0.09392839176135438,71018,10498,2,
residual_fusion_mlp_new_arch,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.879828948117227,0.8709767058328781,0.8917014164196865,0.9519499334237096,0.8963456633524389,0.08950186820955236,71018,10498,2,
residual_fusion_mlp_new_arch,physics_peak_group,physics_proxy,balanced_accuracy,0.9950986995206711,0.9945143286625879,0.9956954029226405,0.9996089494392236,,,71018,10498,3,
residual_fusion_mlp_new_arch,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5351673101673102,0.4874173184237175,0.556511732626207,0.6670045045045045,0.44292869364536097,0.19669577625262802,10869,1210,2,
residual_fusion_mlp_new_arch,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.9170765895431842,0.9010216484282781,0.9372681873925612,0.9756228885238188,0.7158802923919778,0.044240075699047324,71018,10498,2,
waveform_1d_cnn,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7342788655234314,0.7222448712753384,0.7473988631536098,0.805591909011524,0.6220694577711301,0.21988768905778647,71018,10498,2,
waveform_1d_cnn,physics_peak_group,physics_proxy,balanced_accuracy,0.8443347978320467,0.8075690314336462,0.8578081914313511,0.9311286251471547,,,71018,10498,3,
waveform_1d_cnn,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5,0.5,0.5,0.5530759330759331,0.329499764888982,0.21074879946325475,10869,1210,2,
waveform_1d_cnn,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.5692451933260514,0.551990777350651,0.584071218815266,0.853750801641058,0.18972314097706405,0.11772765919850042,71018,10498,2,
