method,task,family,metric,value,ci_low,ci_high,roc_auc,average_precision,brier,train_rows,heldout_rows,n_classes,note
traditional_hand_pca_residualized,nuisance_sample_epoch,nuisance,balanced_accuracy,0.526425050112495,0.4961421806622027,0.5650358529893023,0.5455810970005651,0.5896028797178915,0.24938496921414377,71018,10498,2,
traditional_hand_pca_residualized,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.34228057872015,0.3336302862240051,0.3544956330301136,0.5426563331933353,,,71018,10498,3,
traditional_hand_pca_residualized,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.3245174046336831,0.30897942890307545,0.3484783285127134,0.5491710414410141,,,71018,10498,4,
traditional_hand_pca_residualized,nuisance_stave,nuisance,balanced_accuracy,0.27580070208268115,0.2597317225860277,0.2855708511837517,0.49409093991132075,,,71018,10498,4,
latent_resid_ridge,nuisance_sample_epoch,nuisance,balanced_accuracy,0.5096523700054154,0.4493927125506073,0.6963345039508341,0.5554628666116874,0.5837683860989822,0.24998600774966648,71018,10498,2,
latent_resid_ridge,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.34948072149390036,0.33494113273019827,0.3671124068099408,0.4667699456104783,,,71018,10498,3,
latent_resid_ridge,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.27901314345021916,0.26313999982869285,0.3045663474763325,0.42757421377484867,,,71018,10498,4,
latent_resid_ridge,nuisance_stave,nuisance,balanced_accuracy,0.18199915669553243,0.11731974191156974,0.253035132969607,0.45174064398713665,,,71018,10498,4,
latent_resid_gbt,nuisance_sample_epoch,nuisance,balanced_accuracy,0.8322106320486365,0.7867547425474255,0.8829949657062259,0.9149057057750595,0.932915810611791,0.12290839132276764,71018,10498,2,
latent_resid_gbt,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.734527352693088,0.6859489041525677,0.7930352852551638,0.9069642424980794,,,71018,10498,3,
latent_resid_gbt,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.7476918901149386,0.6655801435981676,0.8088989119639669,0.933482598645474,,,71018,10498,4,
latent_resid_gbt,nuisance_stave,nuisance,balanced_accuracy,0.555481287067292,0.531712696411353,0.5671609341035452,0.840554393775469,,,71018,10498,4,
latent_resid_mlp,nuisance_sample_epoch,nuisance,balanced_accuracy,0.8519651752079123,0.812768897496879,0.9055268803329193,0.9362482568284543,0.9502598803152074,0.10682008823335763,71018,10498,2,
latent_resid_mlp,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.7480657115449945,0.7252691442023718,0.7782368403706533,0.9153568405592614,,,71018,10498,3,
latent_resid_mlp,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.7440262777841096,0.636915469843484,0.8084978843378587,0.9309645197818839,,,71018,10498,4,
latent_resid_mlp,nuisance_stave,nuisance,balanced_accuracy,0.5653696316822416,0.5263121749881015,0.5856598822607723,0.8565485386321687,,,71018,10498,4,
residual_fusion_mlp_new_arch,nuisance_sample_epoch,nuisance,balanced_accuracy,0.9470512749043467,0.9202235772357723,0.9803232414471668,0.9855059784000104,0.9868112691828121,0.04485839846731967,71018,10498,2,
residual_fusion_mlp_new_arch,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.9562665666320691,0.9510631250625591,0.9635373496412457,0.9932616989806844,,,71018,10498,3,
residual_fusion_mlp_new_arch,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.9904790583555153,0.9882043578225902,0.9922758920856787,0.9994201107127204,,,71018,10498,4,
residual_fusion_mlp_new_arch,nuisance_stave,nuisance,balanced_accuracy,0.8394407660697693,0.831420516665841,0.8528901766410987,0.9705278345759328,,,71018,10498,4,
waveform_1d_cnn,nuisance_sample_epoch,nuisance,balanced_accuracy,0.5714872143823746,0.5084893339138006,0.6344850948509485,0.591030202585439,0.607871014408422,0.24142992426024565,71018,10498,2,
waveform_1d_cnn,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.4471837042977769,0.4034049679822946,0.48716807783721433,0.6870430137822175,,,71018,10498,3,
waveform_1d_cnn,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.6716209450200271,0.6560075894009001,0.6882846159350983,0.860198906572718,,,71018,10498,4,
waveform_1d_cnn,nuisance_stave,nuisance,balanced_accuracy,0.37091860516211195,0.3524061348009727,0.3818227742853921,0.6822340924101675,,,71018,10498,4,
