conflict_pattern,n,support_fraction,conflict_rate,harmful_conflict_rate,timing_tail_rate,charge_res68,pid_energy_proxy_degradation
p0_c0_a0_v8,50128,0.4007162499200614,0.0,0.0,0.07921720395786785,1.9598430003357712,0.47133338653048196
p5_c1_a2_v0,18460,0.14756666879836286,1.0,1.0,0.0,1.0534465535525686,0.0
p4_c2_a2_v0,17459,0.139564814222677,1.0,1.0,0.0,1.0696111065755023,0.0
p7_c1_a0_v0,11762,0.09402378972948776,1.0,0.005866349260329876,0.005866349260329876,0.839206768447501,0.0
p1_c1_a5_v1,6125,0.048962396879196776,1.0,1.0,0.9995102040816326,1.4580022416099438,1.0
p6_c2_a0_v0,5722,0.04574087101106351,1.0,0.3280321565886054,0.3280321565886054,1.2184942475750966,0.0
p5_c3_a0_v0,5022,0.04014516851058387,1.0,0.168657905217045,0.168657905217045,0.9408937101821945,0.0
p1_c1_a6_v0,4069,0.0325270192492166,1.0,1.0,0.0,2.4097273683034315,1.0
p3_c3_a2_v0,1272,0.010168190829442987,1.0,1.0,0.0,1.3460878406011787,0.0
p8_c0_a0_v0,1069,0.008545437104303895,0.0,0.0,0.0,0.49940000539901586,0.0
p4_c4_a0_v0,1013,0.008097780904265524,1.0,0.028627838104639685,0.028627838104639685,1.6038982201434009,0.0
p0_c1_a7_v0,779,0.0062272174969623326,1.0,1.0,0.0,1.719367032473217,1.0
p2_c0_a6_v0,371,0.0029657223252542047,1.0,1.0,0.20215633423180593,1.4319273222328754,1.0
p2_c6_a0_v0,254,0.0020304406216026093,1.0,0.0,0.0,1.9492537914003478,0.0
p4_c3_a1_v0,242,0.0019345142930229584,1.0,1.0,0.0,2.303380105307709,0.0
p6_c1_a1_v0,234,0.0018705634073031912,1.0,1.0,0.0,0.9699441073068483,0.0
p1_c0_a7_v0,168,0.0013429686001151116,1.0,1.0,0.0,2.027902859518627,1.0
p1_c0_a6_v1,166,0.0013269808786851697,1.0,1.0,0.7228915662650602,3.2635663880489787,1.0
p4_c0_a4_v0,115,0.0009192939822216538,1.0,1.0,0.0,0.31106961310729586,1.0
p3_c1_a4_v0,112,0.000895312400076741,1.0,1.0,0.4642857142857143,0.310463120514864,1.0
p0_c1_a5_v2,110,0.0008793246786467993,1.0,1.0,0.9363636363636364,2.105784705865267,1.0
p5_c2_a1_v0,97,0.0007754044893521775,1.0,1.0,0.0,1.3647489423898158,0.0
p2_c2_a4_v0,80,0.0006395088571976722,1.0,1.0,0.25,2.3790329706607145,1.0
p3_c4_a1_v0,71,0.0005675641107629341,1.0,1.0,0.0,2.2367673232098038,0.0
p1_c2_a4_v1,65,0.0005196009464731086,1.0,1.0,0.0,2.814094270138265,1.0
p7_c0_a1_v0,45,0.0003597237321736906,1.0,1.0,0.0,1.3761084569312174,0.0
p0_c1_a6_v1,44,0.0003517298714587197,1.0,1.0,0.0,9.115767232841625,1.0
p1_c0_a5_v2,12,9.592632857965082e-05,1.0,1.0,1.0,2.1022661003775682,1.0
p1_c1_a4_v2,10,7.993860714970903e-05,1.0,1.0,0.6,3.380558234268333,1.0
p0_c1_a4_v3,7,5.5957025004796315e-05,1.0,1.0,1.0,4.338341398962986,1.0
p2_c0_a4_v2,5,3.9969303574854514e-05,1.0,1.0,0.0,0.5592709955749479,1.0
p0_c1_a3_v4,2,1.5987721429941805e-05,1.0,1.0,1.0,1.6773005987379435,1.0
p1_c0_a4_v3,2,1.5987721429941805e-05,1.0,1.0,0.0,0.5007245434758728,1.0
p2_c1_a4_v1,2,1.5987721429941805e-05,1.0,1.0,0.0,5.2343921440182655,1.0
p1_c1_a2_v4,1,7.993860714970902e-06,1.0,1.0,1.0,0.0,1.0
p1_c1_a3_v3,1,7.993860714970902e-06,1.0,1.0,0.0,0.0,1.0
