method,metric,ml_minus_traditional
traditional_precedence_ladder,brier,0.0
traditional_precedence_ladder,harmful_conflict_precision,0.0
traditional_precedence_ladder,harmful_conflict_recall,0.0
traditional_precedence_ladder,accepted_support_fraction,0.0
traditional_precedence_ladder,timing_tail_delta,0.0
traditional_precedence_ladder,charge_res68_delta,0.0
traditional_precedence_ladder,charge_bias_delta,0.0
traditional_precedence_ladder,pid_weak_label_drift,0.0
traditional_precedence_ladder,energy_proxy_degradation_delta,0.0
traditional_precedence_ladder,primary_score,0.0
ridge,brier,-0.5478059083037875
ridge,harmful_conflict_precision,-0.0006253316152504684
ridge,harmful_conflict_recall,0.7647692075243635
ridge,accepted_support_fraction,-0.3239591993349108
ridge,timing_tail_delta,-0.04499218774911514
ridge,charge_res68_delta,-0.09152755925205103
ridge,charge_bias_delta,-0.4286768605731752
ridge,pid_weak_label_drift,0.09417439577202423
ridge,energy_proxy_degradation_delta,0.009416111010992989
ridge,primary_score,-0.6602763076509421
gradient_boosted_trees,brier,-0.5489522066922604
gradient_boosted_trees,harmful_conflict_precision,-0.00039753151857035984
gradient_boosted_trees,harmful_conflict_recall,0.7660157135302561
gradient_boosted_trees,accepted_support_fraction,-0.3243908678135192
gradient_boosted_trees,timing_tail_delta,-0.04499218774911514
gradient_boosted_trees,charge_res68_delta,-0.09575841675432595
gradient_boosted_trees,charge_bias_delta,-0.4231159097168322
gradient_boosted_trees,pid_weak_label_drift,0.09412194837239544
gradient_boosted_trees,energy_proxy_degradation_delta,0.006458314515400576
gradient_boosted_trees,primary_score,-0.6614252284093964
mlp,brier,-0.5479810835943079
mlp,harmful_conflict_precision,-0.0002085742998539919
mlp,harmful_conflict_recall,0.7645614565233814
mlp,accepted_support_fraction,-0.32369540193131674
mlp,timing_tail_delta,-0.04499218774911514
mlp,charge_res68_delta,-0.08995572533313312
mlp,charge_bias_delta,-0.42902577061991165
mlp,pid_weak_label_drift,0.09391391070384099
mlp,energy_proxy_degradation_delta,0.009896981420666695
mlp,primary_score,-0.6604645071948717
1d_cnn,brier,-0.42283808157964375
1d_cnn,harmful_conflict_precision,-0.12044350888893518
1d_cnn,harmful_conflict_recall,0.5657626350381506
1d_cnn,accepted_support_fraction,-0.2856606126494852
1d_cnn,timing_tail_delta,-0.04499218774911514
1d_cnn,charge_res68_delta,-0.23591322264470915
1d_cnn,charge_bias_delta,-0.028051538983811408
1d_cnn,pid_weak_label_drift,0.06358678907489286
1d_cnn,energy_proxy_degradation_delta,0.0008893170785934101
1d_cnn,primary_score,-0.536837861261655
conflict_prior_residual_cnn_new_arch,brier,-0.5315342894978192
conflict_prior_residual_cnn_new_arch,harmful_conflict_precision,-0.01940884509963703
conflict_prior_residual_cnn_new_arch,harmful_conflict_recall,0.7687164765430233
conflict_prior_residual_cnn_new_arch,accepted_support_fraction,-0.3337436848500352
conflict_prior_residual_cnn_new_arch,timing_tail_delta,-0.04499218774911514
conflict_prior_residual_cnn_new_arch,charge_res68_delta,-0.1331254244122384
conflict_prior_residual_cnn_new_arch,charge_bias_delta,-0.3659662163380162
conflict_prior_residual_cnn_new_arch,pid_weak_label_drift,0.10040543808343176
conflict_prior_residual_cnn_new_arch,energy_proxy_degradation_delta,0.0
conflict_prior_residual_cnn_new_arch,primary_score,-0.6436931367294035
