n,n_conflicts,conflict_rate,harmful_conflict_rate,auc,average_precision,brier,ece,harmful_conflict_precision,harmful_conflict_recall,accepted_support_fraction,timing_tail_delta,charge_res68_delta,charge_bias_delta,pid_weak_label_drift,energy_proxy_degradation_delta,primary_score,conflict_rate_ci95,harmful_conflict_rate_ci95,auc_ci95,average_precision_ci95,brier_ci95,ece_ci95,harmful_conflict_precision_ci95,harmful_conflict_recall_ci95,accepted_support_fraction_ci95,timing_tail_delta_ci95,charge_res68_delta_ci95,charge_bias_delta_ci95,pid_weak_label_drift_ci95,energy_proxy_degradation_delta_ci95,primary_score_ci95,method,family,split
125096,73899,0.5907383129756347,0.4232589371362793,0.9999352991765679,0.9999754553151295,0.0018254573637334487,0.003683538715471818,0.9996024684814296,0.9972992369872328,0.17700006395088572,-0.10642226769840762,-0.9693334247633483,-0.8803404077776431,0.11554754599898948,-0.2803054509127506,0.007602834663682923,"[0.5569815947017276, 0.6379411068433216]","[0.4140470905070913, 0.43857229825608374]","[0.9998868964691346, 0.9999711555342574]","[0.9999634019208509, 0.9999877188332869]","[0.0011379194442253673, 0.0027523520894702784]","[0.002919202337590969, 0.004830978955975144]","[0.9994444592211265, 0.9997622176830449]","[0.9959827436080108, 0.9983591662365509]","[0.14813195773866653, 0.21483303544568122]","[-0.13888163738202525, -0.06249713376200619]","[-1.0063222714975026, -0.8805151525532247]","[-1.0430416439190713, -0.7143126390368851]","[0.07015748432199168, 0.15752331476083875]","[-0.33146424860585477, -0.20586364034864915]","[0.005222688856943371, 0.009647775938924236]",gradient_boosted_trees,ml,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,73899,0.5907383129756347,0.4232589371362793,0.9997926988267523,0.9999245663772698,0.0027965804616859355,0.0024188379844743806,0.999791425700146,0.995844979980358,0.1776955298330882,-0.10642226769840762,-0.9635307333421554,-0.8862502686807225,0.11533950833043502,-0.2768667840074845,0.008563555878207688,"[0.5550507550764764, 0.6366393054403613]","[0.41273807101132937, 0.43885950383056627]","[0.9996605337807796, 0.9998816019835516]","[0.999896203293978, 0.9999489165031239]","[0.001745489270852148, 0.004189389745432328]","[0.0014208502022780953, 0.003848509737888997]","[0.9997271371639129, 0.9998745601940772]","[0.9937139607498454, 0.9974063451668965]","[0.14724372583874795, 0.21420712638660308]","[-0.14356546889837696, -0.061430864285567516]","[-1.0013479862390875, -0.8643533934293925]","[-1.0535353032040893, -0.6886525725939054]","[0.06791478166466663, 0.15755897473224362]","[-0.3333149740670924, -0.2000278721028446]","[0.00580464222136244, 0.010811114479574528]",mlp,nn,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,73899,0.5907383129756347,0.4232589371362793,0.9996251267274706,0.9998636227935653,0.0029717557522063033,0.0018164153866352232,0.9993746683847495,0.9960527309813402,0.17743173242949414,-0.10642226769840762,-0.9651025672610734,-0.8859013586339861,0.11559999339861826,-0.2773476544171582,0.008751755422137217,"[0.5519973052625887, 0.6297142921035779]","[0.4130043512662614, 0.4359167486354874]","[0.9993599560062768, 0.9997891325625524]","[0.9997856829608031, 0.9999172161549991]","[0.0017855163711637944, 0.00447754882620421]","[0.0007729331161773037, 0.003321643914035187]","[0.9991534444282298, 0.9995421952101576]","[0.9939931962884775, 0.9975930718164144]","[0.14617883059804657, 0.21082600404169125]","[-0.14094412218394795, -0.07199250902969004]","[-1.0040120405929818, -0.8851236275435199]","[-1.0558740529171013, -0.7336075779793365]","[0.07001178117378577, 0.16119314262762768]","[-0.3336592065906868, -0.21084145143208516]","[0.00620082947522057, 0.010790043827042437]",ridge,ml,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,73899,0.5907383129756347,0.4232589371362793,0.9994335005633592,0.9997595478817345,0.019243374558174584,0.0753362078982267,0.980591154900363,1.0,0.16764724691436977,-0.10642226769840762,-1.0067004324212607,-0.8231907143988271,0.12183103571002579,-0.2867637654281512,0.025334926343675873,"[0.5545032645593053, 0.6317840727275472]","[0.41315361521140853, 0.4367797865481286]","[0.9990629503808838, 0.9997335592128708]","[0.9996374701450376, 0.999867075048499]","[0.013197668508212404, 0.02453815711651123]","[0.058611425220756054, 0.08954538187493558]","[0.974917811479517, 0.9877975508187135]","[1.0, 1.0]","[0.1361435827258669, 0.20735923628031333]","[-0.1388659827819375, -0.06863942615238976]","[-1.0513178245909514, -0.9110194935951768]","[-0.9903072286563996, -0.6601005610173806]","[0.07430116118599461, 0.16448896682752667]","[-0.3423563309178598, -0.21284706813077578]","[0.01950334984894468, 0.030447199404969167]",conflict_prior_residual_cnn_new_arch,new_architecture,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,73899,0.5907383129756347,0.4232589371362793,0.8871842273759014,0.9436824783098661,0.12793958247635004,0.12066055282738816,0.8795564911110648,0.7970461584951273,0.21573031911491974,-0.10642226769840762,-1.1094882306537315,-0.4852760370446223,0.08501238670148689,-0.2858744483495578,0.13219020181142438,"[0.5563258814072101, 0.6380729326465139]","[0.4141599529266442, 0.4382686238885959]","[0.8733056917556848, 0.9060544171192305]","[0.9349482196772446, 0.9517612747204486]","[0.11862763078522391, 0.13722663887976128]","[0.1065702502493816, 0.13743564784686546]","[0.8632384208112728, 0.8957120580013727]","[0.7478142465756318, 0.8379168939433393]","[0.166900707206274, 0.27797773281616406]","[-0.13812475539208663, -0.061598737490005516]","[-1.1905665116645845, -0.990179466614974]","[-0.5824503933786019, -0.4084545560614323]","[0.05057691791117837, 0.11092333302259101]","[-0.3395866131778434, -0.2091661444316471]","[0.12341865409316714, 0.14060173249348273]",1d_cnn,nn,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,73899,0.5907383129756347,0.4232589371362793,0.6156417617284884,0.7820622890695019,0.5507776640559938,0.5507780970378489,1.0,0.23128352345697667,0.501390931764405,-0.06143007994929248,-0.8735750080090223,-0.4572244980608109,0.021425597626594028,-0.2867637654281512,0.6690280630730794,"[0.5564342320773387, 0.6354797103176368]","[0.41325813489525515, 0.438697379693813]","[0.5888736235482941, 0.6374144053855065]","[0.7357721626789145, 0.8164588023092316]","[0.5340318797330003, 0.5760690444302685]","[0.5340322348454439, 0.5760694963597505]","[1.0, 1.0]","[0.17774724709658807, 0.27482881077101307]","[0.45081366652320104, 0.5709210267588776]","[-0.07617579109148058, -0.041583913670560434]","[-0.9460789573296129, -0.7673402652931548]","[-0.5298058025311159, -0.38353797751980556]","[0.012540119499358016, 0.030516987973484785]","[-0.34086320232391737, -0.21101398759729292]","[0.6440103145109276, 0.7072631439064508]",traditional_precedence_ladder,traditional,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
