method,run,n_pulses,trigger_sigma68_ns,median_abs_residual_ns
cnn_1d,42,18112,3.8399995218416576,2.6464643981583613
cnn_1d,57,13833,3.738005405776672,2.620778344329807
cnn_1d,64,14630,3.0070181763718926,1.977362491452098
cnn_1d,65,13038,2.772375578035902,1.841763855956568
compact_transformer,42,18112,2.8458904327630083,1.915722455306124
compact_transformer,57,13833,2.96950876365956,1.916806200843098
compact_transformer,64,14630,2.680556290826027,1.899566014278676
compact_transformer,65,13038,2.5898824139039527,1.8632688176932177
gradient_boosted_trees,42,18112,2.4939932084067564,2.026553889990499
gradient_boosted_trees,57,13833,2.395199396675607,1.6564204283485324
gradient_boosted_trees,64,14630,1.4364841762510416,0.9377266182650246
gradient_boosted_trees,65,13038,1.386593974483493,0.9211033201718095
matched_filter_template,42,18112,10.075323297046516,6.952129403679752
matched_filter_template,57,13833,10.498219044209538,6.587610186469014
matched_filter_template,64,14630,9.326119180709068,4.684929486998605
matched_filter_template,65,13038,8.316313019524658,3.6274909412736704
matched_filter_timewalk,42,18112,8.340093616916795,5.864166418445869
matched_filter_timewalk,57,13833,8.93273397195531,6.1064070654348725
matched_filter_timewalk,64,14630,8.129817602265605,2.972621746772173
matched_filter_timewalk,65,13038,6.784617656468624,2.5849974466808057
mlp,42,18112,2.509314985781866,2.030552094820095
mlp,57,13833,2.423551318875715,1.5347402147583509
mlp,64,14630,1.3967647758138346,0.8670570460371358
mlp,65,13038,1.343603417602274,0.871108714083384
ridge,42,18112,3.1480340648946648,2.053524596239175
ridge,57,13833,3.120934728879112,2.142401851823884
ridge,64,14630,2.8560101727404126,1.9016658698887987
ridge,65,13038,2.630218457387745,1.5710052524278062
trigger_residual_fusion,42,18112,2.6166741682457646,2.0873648034755377
trigger_residual_fusion,57,13833,2.528991899735407,1.7473900604307815
trigger_residual_fusion,64,14630,1.6965717952530355,1.1202014705321837
trigger_residual_fusion,65,13038,1.6400008667397699,1.091179264428071
