run,entries_checked,trigger_min,trigger_max,trigger_unique,evt_unique
31,20000,1,1,1,16349
42,20000,1,1,1,16368
57,20000,1,1,1,16317
64,20000,1,1,1,16331
65,20000,1,1,1,16285
