method,pid_proxy,pedestal_bin,pileup_bin,n_pulses,trigger_sigma68_ns,ci_low,ci_high
cnn_1d,high_dE_proxy,0,mild_pileup,8779,2.932573635312571,2.7126834885632793,3.1642053434711066
cnn_1d,low_dE_proxy,0,mild_pileup,31183,2.862418107427202,2.4766271549404237,3.5332104264443833
cnn_1d,low_dE_proxy,0,single_like,2337,12.031226797383736,10.63325358216962,12.71937635328247
cnn_1d,mid_dE_proxy,0,mild_pileup,17061,2.676163965543471,2.0671363840646397,2.855961831781272
cnn_1d,mid_dE_proxy,0,single_like,217,15.14796246784524,13.997947455015652,15.316774537649273
compact_transformer,high_dE_proxy,0,mild_pileup,8779,1.8562273861522645,1.67317736848997,2.2449952476738115
compact_transformer,low_dE_proxy,0,mild_pileup,31183,2.3333097799886455,2.196927384496633,2.554442995382746
compact_transformer,low_dE_proxy,0,single_like,2337,12.208198410475916,11.000810723960598,12.509279982041582
compact_transformer,mid_dE_proxy,0,mild_pileup,17061,1.8760471206544542,1.7217075587555672,1.9809546621604133
compact_transformer,mid_dE_proxy,0,single_like,217,12.93122529933992,11.606835478324372,13.233770650238863
gradient_boosted_trees,high_dE_proxy,0,mild_pileup,8779,1.3073588393640514,0.8414397389776695,2.2594071233187525
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,31183,1.5857935802815895,1.0519633181543497,1.86976009806742
gradient_boosted_trees,low_dE_proxy,0,single_like,2337,2.159912910420234,1.691113981472799,2.5844550988005515
gradient_boosted_trees,mid_dE_proxy,0,mild_pileup,17061,1.98637376596468,1.7218245780334662,2.0872042271001687
gradient_boosted_trees,mid_dE_proxy,0,single_like,217,2.4640793511515704,2.0058865296609243,2.6880276150754234
matched_filter_template,high_dE_proxy,0,mild_pileup,8779,6.356858685492874,5.658390781773576,7.327777601410128
matched_filter_template,low_dE_proxy,0,mild_pileup,31183,9.497047475730835,6.260019798092681,11.472700646696374
matched_filter_template,low_dE_proxy,0,single_like,2337,15.558866676375853,14.281805313351757,19.078926151486268
matched_filter_template,mid_dE_proxy,0,mild_pileup,17061,7.30953356156051,6.922505245326271,7.642994727317948
matched_filter_template,mid_dE_proxy,0,single_like,217,18.673880819290954,15.774590095180972,19.078926151486268
matched_filter_timewalk,high_dE_proxy,0,mild_pileup,8779,6.450640160164971,5.852850758958864,7.337345403745189
matched_filter_timewalk,low_dE_proxy,0,mild_pileup,31183,8.501128831208302,5.805081875713981,10.257580697311933
matched_filter_timewalk,low_dE_proxy,0,single_like,2337,16.659199143293595,15.819753340050113,19.453962201037342
matched_filter_timewalk,mid_dE_proxy,0,mild_pileup,17061,7.0699698010451915,6.6890116666897255,7.380311188190844
matched_filter_timewalk,mid_dE_proxy,0,single_like,217,18.641615152503427,16.3859412416211,19.02704847405238
mlp,high_dE_proxy,0,mild_pileup,8779,1.3223725857877788,0.7970157883759441,2.2645157554951916
mlp,low_dE_proxy,0,mild_pileup,31183,1.558040975423356,0.9763967898512576,1.845934707853317
mlp,low_dE_proxy,0,single_like,2337,1.9503174797261804,1.7065324440773337,2.2318371577510816
mlp,mid_dE_proxy,0,mild_pileup,17061,1.8917938248876203,1.6431206002804721,2.0355429598419335
mlp,mid_dE_proxy,0,single_like,217,1.9881506193669949,1.8384797111663027,2.5874211198232495
ridge,high_dE_proxy,0,mild_pileup,8779,1.774134562516214,1.6211215929002591,2.1065492090694455
ridge,low_dE_proxy,0,mild_pileup,31183,2.450439839259373,1.9013601290496531,2.797807599738798
ridge,low_dE_proxy,0,single_like,2337,11.29713357317963,7.494810452615498,14.214257904622231
ridge,mid_dE_proxy,0,mild_pileup,17061,2.1726734617355365,1.9885200497508086,2.345382136266233
ridge,mid_dE_proxy,0,single_like,217,17.25384516296822,15.358770849950766,18.25326596491775
trigger_residual_fusion,high_dE_proxy,0,mild_pileup,8779,1.9096583015972723,1.683738612714201,2.4098611870608653
trigger_residual_fusion,low_dE_proxy,0,mild_pileup,31183,1.673292561625704,1.2415215334216931,2.0772274535814463
trigger_residual_fusion,low_dE_proxy,0,single_like,2337,3.610732375205921,2.82534573200344,4.269046832259965
trigger_residual_fusion,mid_dE_proxy,0,mild_pileup,17061,2.0753796209360926,1.7373157893301627,2.1747761136487447
trigger_residual_fusion,mid_dE_proxy,0,single_like,217,4.296499779284211,3.340450958940483,4.580388770885095
