method,true_pid_proxy,pred_pid_proxy,n
1d_cnn,B2:highE,B2:abstain,6
1d_cnn,B2:highE,B2:highE,32
1d_cnn,B2:highE,B2:midE,1
1d_cnn,B2:lowE,B2:abstain,20
1d_cnn,B2:lowE,B2:lowE,3
1d_cnn,B2:midE,B2:abstain,10
1d_cnn,B2:midE,B2:highE,1
1d_cnn,B2:midE,B2:lowE,4
1d_cnn,B2:midE,B2:midE,8
1d_cnn,B4:highE,B4:abstain,2
1d_cnn,B4:highE,B4:highE,26
1d_cnn,B4:highE,B4:midE,1
1d_cnn,B4:lowE,B4:abstain,20
1d_cnn,B4:lowE,B4:lowE,7
1d_cnn,B4:lowE,B4:midE,2
1d_cnn,B4:midE,B4:abstain,10
1d_cnn,B4:midE,B4:lowE,3
1d_cnn,B4:midE,B4:midE,23
1d_cnn,B6:highE,B6:highE,24
1d_cnn,B6:highE,B6:midE,2
1d_cnn,B6:lowE,B6:abstain,22
1d_cnn,B6:lowE,B6:lowE,20
1d_cnn,B6:lowE,B6:nan,1
1d_cnn,B6:midE,B6:highE,2
1d_cnn,B6:midE,B6:lowE,6
1d_cnn,B6:midE,B6:midE,28
1d_cnn,B8:highE,B8:abstain,3
1d_cnn,B8:highE,B8:highE,21
1d_cnn,B8:highE,B8:midE,2
1d_cnn,B8:lowE,B8:abstain,10
1d_cnn,B8:lowE,B8:lowE,14
1d_cnn,B8:lowE,B8:midE,1
1d_cnn,B8:midE,B8:abstain,6
1d_cnn,B8:midE,B8:midE,19
gradient_boosted_trees,B2:highE,B2:abstain,2
gradient_boosted_trees,B2:highE,B2:highE,33
gradient_boosted_trees,B2:highE,B2:midE,4
gradient_boosted_trees,B2:lowE,B2:abstain,23
gradient_boosted_trees,B2:midE,B2:abstain,13
gradient_boosted_trees,B2:midE,B2:highE,3
gradient_boosted_trees,B2:midE,B2:lowE,1
gradient_boosted_trees,B2:midE,B2:midE,6
gradient_boosted_trees,B4:highE,B4:abstain,1
gradient_boosted_trees,B4:highE,B4:highE,27
gradient_boosted_trees,B4:highE,B4:midE,1
gradient_boosted_trees,B4:lowE,B4:abstain,24
gradient_boosted_trees,B4:lowE,B4:lowE,3
gradient_boosted_trees,B4:lowE,B4:midE,2
gradient_boosted_trees,B4:midE,B4:abstain,4
gradient_boosted_trees,B4:midE,B4:highE,1
gradient_boosted_trees,B4:midE,B4:lowE,2
gradient_boosted_trees,B4:midE,B4:midE,29
gradient_boosted_trees,B6:highE,B6:highE,22
gradient_boosted_trees,B6:highE,B6:midE,4
gradient_boosted_trees,B6:lowE,B6:abstain,32
gradient_boosted_trees,B6:lowE,B6:lowE,10
gradient_boosted_trees,B6:lowE,B6:nan,1
gradient_boosted_trees,B6:midE,B6:abstain,6
gradient_boosted_trees,B6:midE,B6:highE,1
gradient_boosted_trees,B6:midE,B6:lowE,3
gradient_boosted_trees,B6:midE,B6:midE,26
gradient_boosted_trees,B8:highE,B8:highE,24
gradient_boosted_trees,B8:highE,B8:midE,2
gradient_boosted_trees,B8:lowE,B8:abstain,17
gradient_boosted_trees,B8:lowE,B8:lowE,6
gradient_boosted_trees,B8:lowE,B8:midE,2
gradient_boosted_trees,B8:midE,B8:abstain,7
gradient_boosted_trees,B8:midE,B8:midE,18
mlp,B2:highE,B2:abstain,4
mlp,B2:highE,B2:highE,29
mlp,B2:highE,B2:midE,6
mlp,B2:lowE,B2:abstain,23
mlp,B2:midE,B2:abstain,15
mlp,B2:midE,B2:highE,4
mlp,B2:midE,B2:midE,4
mlp,B4:highE,B4:abstain,2
mlp,B4:highE,B4:highE,25
mlp,B4:highE,B4:midE,2
mlp,B4:lowE,B4:abstain,16
mlp,B4:lowE,B4:highE,1
mlp,B4:lowE,B4:lowE,7
mlp,B4:lowE,B4:midE,5
mlp,B4:midE,B4:abstain,7
mlp,B4:midE,B4:highE,6
mlp,B4:midE,B4:lowE,2
mlp,B4:midE,B4:midE,21
mlp,B6:highE,B6:highE,23
mlp,B6:highE,B6:midE,3
mlp,B6:lowE,B6:abstain,27
mlp,B6:lowE,B6:lowE,13
mlp,B6:lowE,B6:midE,3
mlp,B6:midE,B6:abstain,3
mlp,B6:midE,B6:highE,6
mlp,B6:midE,B6:lowE,10
mlp,B6:midE,B6:midE,17
mlp,B8:highE,B8:abstain,3
mlp,B8:highE,B8:highE,22
mlp,B8:highE,B8:midE,1
mlp,B8:lowE,B8:abstain,13
mlp,B8:lowE,B8:highE,1
mlp,B8:lowE,B8:lowE,10
mlp,B8:lowE,B8:midE,1
mlp,B8:midE,B8:abstain,7
mlp,B8:midE,B8:highE,3
mlp,B8:midE,B8:lowE,3
mlp,B8:midE,B8:midE,12
ridge,B2:highE,B2:abstain,2
ridge,B2:highE,B2:highE,33
ridge,B2:highE,B2:midE,4
ridge,B2:lowE,B2:abstain,21
ridge,B2:lowE,B2:lowE,2
ridge,B2:midE,B2:abstain,12
ridge,B2:midE,B2:highE,2
ridge,B2:midE,B2:lowE,1
ridge,B2:midE,B2:midE,8
ridge,B4:highE,B4:abstain,1
ridge,B4:highE,B4:highE,27
ridge,B4:highE,B4:midE,1
ridge,B4:lowE,B4:abstain,22
ridge,B4:lowE,B4:lowE,6
ridge,B4:lowE,B4:midE,1
ridge,B4:midE,B4:abstain,2
ridge,B4:midE,B4:highE,2
ridge,B4:midE,B4:lowE,2
ridge,B4:midE,B4:midE,30
ridge,B6:highE,B6:highE,24
ridge,B6:highE,B6:midE,2
ridge,B6:lowE,B6:abstain,33
ridge,B6:lowE,B6:lowE,9
ridge,B6:lowE,B6:midE,1
ridge,B6:midE,B6:abstain,5
ridge,B6:midE,B6:highE,2
ridge,B6:midE,B6:lowE,4
ridge,B6:midE,B6:midE,25
ridge,B8:highE,B8:abstain,1
