method,clean_false_split_rate,clean_false_split_run_range,clean_false_split_stave_range,pileup_miss_rate,pileup_miss_run_range,pileup_miss_stave_range,n_clean,n_overlap,false_split_delta_vs_traditional,pileup_miss_delta_vs_traditional
1d_cnn,0.2388888888888889,0.16666666666666666,0.20972612725190043,0.30277777777777776,0.18055555555555555,0.21400560224089635,360,360,0.04444444444444445,-0.2916666666666667
template_residual_boosted_stack_new,0.20555555555555555,0.18055555555555558,0.09479409479409476,0.3277777777777778,0.1111111111111111,0.11163954943679599,360,360,0.0111111111111111,-0.26666666666666666
mlp,0.20833333333333334,0.16666666666666669,0.1710124500822175,0.3333333333333333,0.18055555555555558,0.22816020025031292,360,360,0.013888888888888895,-0.2611111111111111
tiny_sequence_transformer,0.25277777777777777,0.13888888888888892,0.31231826592651335,0.33611111111111114,0.16666666666666669,0.26778711484593837,360,360,0.05833333333333332,-0.2583333333333333
ridge,0.19444444444444445,0.18055555555555558,0.18723315630532122,0.34444444444444444,0.08333333333333337,0.1458072590738423,360,360,0.0,-0.25
gradient_boosted_trees,0.18888888888888888,0.1388888888888889,0.08595061136418125,0.35833333333333334,0.1111111111111111,0.13854818523153944,360,360,-0.005555555555555564,-0.2361111111111111
two_pulse_template_cfd_baseline,0.19444444444444445,0.09722222222222221,0.23687365140254135,0.5944444444444444,0.125,0.4871220604703247,360,360,0.0,0.0
