heldout_run,method,n_natural_saturated,mean_recovered_amplitude_adc,median_recovered_amplitude_adc,mean_amplitude_lift_fraction,mean_charge_lift_fraction,mean_q_template_shift_fraction,timing_tail_fraction,mean_cfd20_shift_ns
58,observed_saturated,1607,7946.141879278158,7810.0,0.0,0.0,0.0,0.0715619166148102,0.0
59,observed_saturated,788,8139.281725888325,8093.5,0.0,0.0,0.0,0.02030456852791878,0.0
60,observed_saturated,332,7976.567771084337,7867.0,0.0,0.0,0.0,0.04216867469879518,0.0
61,observed_saturated,401,8000.911471321696,7846.0,0.0,0.0,0.0,0.034912718204488775,0.0
62,observed_saturated,491,8046.281059063136,7930.5,0.0,0.0,0.0,0.032586558044806514,0.0
63,observed_saturated,1208,8084.693294701987,7953.25,0.0,0.0,0.0,0.009105960264900662,0.0
65,observed_saturated,439,7912.2471526195895,7749.0,0.0,0.0,0.0,0.03644646924829157,0.0
58,traditional_template_family,1607,7946.141879278158,7810.0,0.0,0.0006555898826074127,0.0006555898826074135,0.0715619166148102,0.0
59,traditional_template_family,788,8139.281725888325,8093.5,0.0,0.0010998649560360122,0.001099864956036013,0.02030456852791878,0.0
60,traditional_template_family,332,7976.567771084337,7867.0,0.0,0.0008623799657049458,0.0008623799657049452,0.04216867469879518,0.0
61,traditional_template_family,401,8000.911471321696,7846.0,0.0,0.0013553438261019659,0.0013553438261019648,0.034912718204488775,0.0
62,traditional_template_family,491,8046.281059063136,7930.5,0.0,0.001254582087877768,0.0012545820878777684,0.032586558044806514,0.0
63,traditional_template_family,1208,8084.693294701987,7953.25,0.0,0.0011188002790656086,0.0011188002790656077,0.009105960264900662,0.0
65,traditional_template_family,439,7912.2471526195895,7749.0,0.0,0.0008522738473046772,0.0008522738473046787,0.03644646924829157,0.0
58,ml_ratio_multi_ceiling,1607,8720.751542691078,8569.0805255734,0.09790437852867608,0.0037249062879314253,-0.08535059023243707,0.05289359054138146,0.42306586953144826
59,ml_ratio_multi_ceiling,788,9147.69258765089,8888.684931652884,0.12226956116660363,0.008561580895157631,-0.09894040942036739,0.02030456852791878,0.5931362246345957
60,ml_ratio_multi_ceiling,332,8759.552563732701,8552.531971860817,0.0970194838588295,0.004661413610098024,-0.08273084735509242,0.04216867469879518,0.40378415334983764
61,ml_ratio_multi_ceiling,401,8840.542471326999,8553.613640068173,0.10401747561663975,0.005488830683716212,-0.08790553809816272,0.034912718204488775,0.45320517994630916
62,ml_ratio_multi_ceiling,491,8969.554627667349,8778.726724857861,0.11412088477461897,0.006273429434109813,-0.09476006815578301,0.034623217922606926,0.533600863802876
63,ml_ratio_multi_ceiling,1208,8943.849519516702,8687.656124072073,0.10518688327413847,0.006597533324692129,-0.08794270058049271,0.009105960264900662,0.5038810073888257
65,ml_ratio_multi_ceiling,439,8809.869954870648,8529.379865079849,0.1123222129658283,0.0060269080439177974,-0.09484593263834903,0.03644646924829157,0.5268197167185656
