run,event_id,pair,atom_stave_pair,atom_amplitude_bin,atom_peak_sample_phase,atom_q_template,atom_saturation,atom_anomaly,atom_run_family,pair_mean_amplitude_adc,pair_mean_area_over_amp
58,58:391631:10103:2692,B4-B6,B4-B6,2500_4000_adc,mixed_nominal_peak_9_11_rising_peak_6_8,mid_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,2874.5,7.705812292238149
58,58:391631:10103:2692,B4-B8,B4-B8,2500_4000_adc,mixed_nominal_peak_9_11_rising_peak_6_8,high_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,3341.0,8.446096079846841
58,58:391631:10103:2692,B6-B8,B6-B8,2500_4000_adc,same_rising_peak_6_8,high_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,3416.0,8.247996959332713
58,58:391841:10300:2900,B4-B6,B4-B6,2500_4000_adc,same_late_peak_ge12,low_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,3076.25,6.122799773039327
58,58:391841:10300:2900,B4-B8,B4-B8,4000_6500_adc,same_late_peak_ge12,low_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,4073.75,5.90733400361372
58,58:391841:10300:2900,B6-B8,B6-B8,4000_6500_adc,same_late_peak_ge12,low_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,4073.0,5.591069753253632
58,58:392066:10514:3123,B4-B6,B4-B6,1500_2500_adc,same_rising_peak_6_8,mid_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,2130.5,7.146865980245911
58,58:392066:10514:3123,B4-B8,B4-B8,2500_4000_adc,same_rising_peak_6_8,high_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,3738.0,7.986362856714533
58,58:392066:10514:3123,B6-B8,B6-B8,2500_4000_adc,same_rising_peak_6_8,high_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,3823.5,7.858901208598586
58,58:392204:10642:3261,B4-B6,B4-B6,2500_4000_adc,mixed_nominal_peak_9_11_rising_peak_6_8,high_q_template,unsaturated_pair,any_late_tail_high,sample_ii_run_58,2954.0,7.856839865693095
