fold,heldout_runs,atom,n,fraction,baseline_excursion_rate,dropout_rate,timing_tail_rate,charge_bias_tail_rate,large_pulse_fraction,charge_residual_delta_vs_quiet,sat_boundary_charge_residual_delta_vs_quiet
1,"33,42,45,48,49,52",adaptive_lowering,5881,0.04625282149289416,0.9326645128379527,0.023805475259309643,0.0027206257439211018,0.4623363373575922,0.07124638666893386,-8.46096548117943,-0.5991735414069936
1,"33,42,45,48,49,52",early_asym,16661,0.13103524211751566,0.017465938419062483,0.02772942800552188,0.00312106116079467,0.04213432567072805,0.44391092971610346,-0.4150367848186816,0.049558537801900115
1,"33,42,45,48,49,52",noisy_rms,220,0.0017302534821351328,0.013636363636363636,0.013636363636363636,0.0,0.01818181818181818,0.39545454545454545,-0.23434446626397165,0.31892157870723314
1,"33,42,45,48,49,52",quiet,97498,0.7668011545509599,0.004102648259451476,0.013015651603109808,0.0035282775031282693,0.059416603417506,0.2611130484727892,0.0,0.0
1,"33,42,45,48,49,52",sloped,581,0.0045694421505477825,0.01549053356282272,0.0189328743545611,0.0,0.020654044750430294,0.38209982788296043,-0.12034885110305193,0.31404112038809007
1,"33,42,45,48,49,52",spike,6308,0.049611086205947355,0.9281864299302474,0.028852251109701965,0.0015852885225110971,0.4662333544705136,0.0981293595434369,-8.45170976149954,-0.5156213465537671
2,"35,37,39,44,56,58,63",adaptive_lowering,6833,0.05329703758014445,0.9050197570613201,0.022537684765110495,0.0043904580711254205,0.37772574271915704,0.08166252012293283,-6.495087668987214,-0.40718310824271997
2,"35,37,39,44,56,58,63",early_asym,20323,0.1585183220754099,0.01717266151650839,0.023175712247207596,0.0032967573684987454,0.03941347242041037,0.5029769226984205,-0.848541256855717,0.22218742610881193
2,"35,37,39,44,56,58,63",noisy_rms,194,0.00151318971030997,0.061855670103092786,0.015463917525773196,0.0,0.05670103092783505,0.44329896907216493,-0.6000069707090168,0.254005219404311
2,"35,37,39,44,56,58,63",quiet,93447,0.7288816436048234,0.005050991471101266,0.015463310753689258,0.008058043596905198,0.09877256626750992,0.23320170791999742,0.0,0.0
2,"35,37,39,44,56,58,63",sloped,473,0.0036893749122505967,0.019027484143763214,0.019027484143763214,0.006342494714587738,0.03805496828752643,0.4397463002114165,-0.6107288423411388,0.3808242979280234
2,"35,37,39,44,56,58,63",spike,6936,0.05410043211706161,0.9395905420991926,0.03373702422145329,0.00331603229527105,0.4204152249134948,0.0922722029988466,-7.253897750844559,-0.3883524006593093
3,"31,50,51,57,60,61",adaptive_lowering,6979,0.05467079237005993,0.8981229402493194,0.021206476572574868,0.013182404355924918,0.34173950422696664,0.07952428714715576,-5.023984332501641,-0.4318097401316425
