fold,heldout_runs,atom,n,fraction,baseline_excursion_rate,dropout_rate,timing_tail_rate,charge_bias_tail_rate,large_pulse_fraction,charge_residual_delta_vs_quiet,sat_boundary_charge_residual_delta_vs_quiet
3,"31,50,51,57,60,61",early_asym,23470,0.18385492146801927,0.013250958670643374,0.022368981678738815,0.004772049424797614,0.025905411163187047,0.552023860247124,-0.6380865895446867,0.24121264111093943
3,"31,50,51,57,60,61",noisy_rms,254,0.001989737965610434,0.027559055118110236,0.015748031496062992,0.0,0.011811023622047244,0.452755905511811,-0.35238710288664676,0.31888839087985077
3,"31,50,51,57,60,61",quiet,89607,0.7019466530884023,0.004988449563092169,0.018625777004028704,0.013168614059169484,0.06800807972591427,0.30412802571227693,0.0,0.0
3,"31,50,51,57,60,61",sloped,630,0.004935176843836904,0.01746031746031746,0.014285714285714285,0.0031746031746031746,0.023809523809523808,0.5301587301587302,-0.47911425242099737,0.3799298045371817
3,"31,50,51,57,60,61",spike,6715,0.052602718264071126,0.9548771407297096,0.02084884586746091,0.00774385703648548,0.3819806403574088,0.06031273268801191,-5.98254526614515,-0.41424239760911985
4,"32,34,36,41,47,59,64",adaptive_lowering,6943,0.053334664843521944,0.8986029094051563,0.015555235488981708,0.011234336742042345,0.3291084545585482,0.055019444044361224,-5.037228073629311,-0.5245198751274309
4,"32,34,36,41,47,59,64",early_asym,18676,0.14346510163007575,0.011244377811094454,0.025326622403084174,0.0054615549368173056,0.036196187620475474,0.4611265795673592,-0.542562408692918,0.14657340589286583
4,"32,34,36,41,47,59,64",noisy_rms,237,0.0018205841232773587,0.016877637130801686,0.016877637130801686,0.0,0.03375527426160337,0.4050632911392405,-0.34913948390812855,0.4380529002929916
4,"32,34,36,41,47,59,64",quiet,96763,0.7433130021969918,0.0038547792027944566,0.01452001281481558,0.009569773570476319,0.08142575157859926,0.26239368353606235,0.0,0.0
4,"32,34,36,41,47,59,64",sloped,581,0.004463119728371922,0.010327022375215147,0.01721170395869191,0.0,0.025817555938037865,0.3958691910499139,-0.3786468142994648,0.3107845667561495
4,"32,34,36,41,47,59,64",spike,6978,0.05360352747776122,0.943250214961307,0.02292920607623961,0.005445686443106907,0.383061049011178,0.07996560619088564,-6.189806170957178,-0.2527259351497322
5,"40,46,53,54,55,62,65",adaptive_lowering,6443,0.05051392014049502,0.920844327176781,0.015365512959801335,0.004966630451652957,0.32577991618811114,0.0822598168555021,-4.932169374396328,-0.4946255892637077
5,"40,46,53,54,55,62,65",early_asym,17521,0.1373668158903637,0.01672278979510302,0.009417270703726957,0.005821585525940301,0.02265852405684607,0.49865875235431767,-0.4971556793909552,0.22716204247677663
5,"40,46,53,54,55,62,65",noisy_rms,225,0.0017640279422026044,0.03111111111111111,0.017777777777777778,0.0044444444444444444,0.022222222222222223,0.4577777777777778,-0.5736026952012216,0.25812529284628205
5,"40,46,53,54,55,62,65",quiet,97673,0.7657684497722443,0.004730068698616813,0.006296520020886018,0.01060682071811043,0.0718519959456554,0.29367378907169844,0.0,0.0
5,"40,46,53,54,55,62,65",sloped,508,0.003982783087284103,0.00984251968503937,0.005905511811023622,0.007874015748031496,0.007874015748031496,0.4409448818897638,-0.33396462371204233,0.46355018714127116
5,"40,46,53,54,55,62,65",spike,5179,0.04060400316741017,0.9455493338482333,0.023170496234794363,0.004054836841089014,0.3935122610542576,0.07414558795134196,-6.247716019545518,-0.5701899819293685
