target,method,metric,value,ci_low,ci_high
baseline_excursion,traditional_atom_logistic,auc,0.9741244901327734,0.9693204208314968,0.9786065801850052
baseline_excursion,traditional_atom_logistic,ap,0.8977136231116403,0.8832874817558516,0.9091790036014381
baseline_excursion,traditional_atom_logistic,ece,0.05251178265105716,0.05046889957979076,0.055483479174445495
baseline_excursion,ml_pretrigger_logistic,auc,0.9960241344157219,0.9949984283693663,0.9968321534104145
baseline_excursion,ml_pretrigger_logistic,ap,0.9776397008014199,0.9731089851753005,0.981504966180346
baseline_excursion,ml_pretrigger_logistic,ece,0.04795565385578004,0.03945490203869839,0.05906603334701567
baseline_excursion,ml_minus_traditional,auc,0.02189964428294855,0.02103828711403688,0.02285987184735694
baseline_excursion,ml_minus_traditional,ap,0.07992607768977966,0.07493182771151508,0.08425881980594374
baseline_excursion,ml_minus_traditional,ece,-0.0045561287952771215,-0.013926438853863903,0.006575471571630832
charge_bias_tail,traditional_atom_logistic,auc,0.6793056946809677,0.6369277769011614,0.7315470189157091
charge_bias_tail,traditional_atom_logistic,ap,0.2323357363002435,0.2070365475796961,0.26258645314259177
charge_bias_tail,traditional_atom_logistic,ece,0.33336162089261173,0.31982495179227627,0.34548947304515043
charge_bias_tail,ml_pretrigger_logistic,auc,0.7066465333959261,0.6755985784653894,0.7375917726834753
charge_bias_tail,ml_pretrigger_logistic,ap,0.4519840822648153,0.4109747387340606,0.4932256848445779
charge_bias_tail,ml_pretrigger_logistic,ece,0.31593057452406853,0.30083387683206725,0.3287840070724818
charge_bias_tail,ml_minus_traditional,auc,0.027340838714958404,-0.0028084053134105336,0.05353081494866452
charge_bias_tail,ml_minus_traditional,ap,0.21964834596457178,0.17410185843785847,0.258770356146541
charge_bias_tail,ml_minus_traditional,ece,-0.0174310463685432,-0.034639370092191535,-0.004113479214518767
dropout_proxy,traditional_atom_logistic,auc,0.5417287341590028,0.5050795414205723,0.583195556118243
dropout_proxy,traditional_atom_logistic,ap,0.019657102843861848,0.016134393961264978,0.024340212580903107
dropout_proxy,traditional_atom_logistic,ece,0.4753987197321236,0.4724268585332109,0.4792953588980044
dropout_proxy,ml_pretrigger_logistic,auc,0.555819676943778,0.5253777584543303,0.59041677031428
dropout_proxy,ml_pretrigger_logistic,ap,0.026280270729854685,0.02124785873672456,0.0341484523661059
dropout_proxy,ml_pretrigger_logistic,ece,0.4719022214042825,0.46776101798128467,0.4759139272201043
dropout_proxy,ml_minus_traditional,auc,0.014090942784775184,-0.021956699301760807,0.05061865288764833
dropout_proxy,ml_minus_traditional,ap,0.006623167885992837,0.0017834629152823599,0.013736412041350583
dropout_proxy,ml_minus_traditional,ece,-0.003496498327841102,-0.0072288635119366895,0.0008132666813679967
saturation_boundary_bias,traditional_atom_logistic,auc,0.5773214581430337,0.543096854808735,0.612531156991555
saturation_boundary_bias,traditional_atom_logistic,ap,0.011194108412958648,0.008774355418141347,0.014496330719847031
saturation_boundary_bias,traditional_atom_logistic,ece,0.46421754870082643,0.4577000463887304,0.4704979443713171
saturation_boundary_bias,ml_pretrigger_logistic,auc,0.6174172189566141,0.5790624814591395,0.6589489982993623
saturation_boundary_bias,ml_pretrigger_logistic,ap,0.01711708732031675,0.013825958048489777,0.021881447420357355
saturation_boundary_bias,ml_pretrigger_logistic,ece,0.45670804909565915,0.44790941675359053,0.4631244839605934
saturation_boundary_bias,ml_minus_traditional,auc,0.04009576081358035,0.003624301517891504,0.07456085017575342
saturation_boundary_bias,ml_minus_traditional,ap,0.005922978907358101,0.0031515430063671444,0.010288586312710152
saturation_boundary_bias,ml_minus_traditional,ece,-0.00750949960516728,-0.014839993214550484,0.00012926552027414662
timing_tail,traditional_atom_logistic,auc,0.5186506358284995,0.4456786913743986,0.5966837537232116
timing_tail,traditional_atom_logistic,ap,0.008301771905711238,0.004960799080870289,0.01485472575798395
timing_tail,traditional_atom_logistic,ece,0.48089007101213693,0.47484500396796536,0.4863307357077869
timing_tail,ml_pretrigger_logistic,auc,0.784457333228354,0.7530982185884478,0.8123461215782923
timing_tail,ml_pretrigger_logistic,ap,0.031496344011112946,0.024347391433506466,0.03892476628908353
timing_tail,ml_pretrigger_logistic,ece,0.44239951841266545,0.43513602362851334,0.4484836610393475
timing_tail,ml_minus_traditional,auc,0.2658066973998545,0.23828870685704429,0.29794659960616754
timing_tail,ml_minus_traditional,ap,0.02319457210540171,0.015133537770289755,0.029838134750401774
timing_tail,ml_minus_traditional,ece,-0.038490552599471484,-0.04632344292696483,-0.03180191482900818
