fold,target,heldout_runs,ml_auc,shuffled_label_auc,run_only_auc,posttrigger_oracle_auc
1,baseline_excursion,"33,42,45,48,49,52",0.9980082265572174,0.44723061855646673,0.5,0.9361337323580405
1,dropout_proxy,"33,42,45,48,49,52",0.6000310869353391,0.46308904177479315,0.5,0.9621160787985561
1,timing_tail,"33,42,45,48,49,52",0.829517178247275,0.32855502382172425,0.5,0.8359919851207624
1,charge_bias_tail,"33,42,45,48,49,52",0.7721058597911784,0.39607826944779856,0.5,0.968134517129531
1,saturation_boundary_bias,"33,42,45,48,49,52",0.6091686921961366,0.6253056262512726,0.5,0.9854094405343614
2,baseline_excursion,"35,37,39,44,56,58,63",0.9953367857881824,0.757814087671071,0.5,0.9028792882267743
2,dropout_proxy,"35,37,39,44,56,58,63",0.593242946950286,0.4377431125779637,0.5,0.9613450724517592
2,timing_tail,"35,37,39,44,56,58,63",0.8011084854132282,0.7399325215386195,0.5,0.796634434415463
2,charge_bias_tail,"35,37,39,44,56,58,63",0.6788294538164098,0.5415094085814178,0.5,0.9431085058652591
2,saturation_boundary_bias,"35,37,39,44,56,58,63",0.618643900682212,0.5722597424066644,0.5,0.9856772673733805
3,baseline_excursion,"31,50,51,57,60,61",0.9941990706139623,0.38705223846168046,0.5,0.9190689300411523
3,dropout_proxy,"31,50,51,57,60,61",0.5461258845427175,0.46640635896530147,0.5,0.9534618214203192
3,timing_tail,"31,50,51,57,60,61",0.7478438722276426,0.7046929822435659,0.5,0.8220885610864656
3,charge_bias_tail,"31,50,51,57,60,61",0.7002668562044058,0.579517575225206,0.5,0.9518797527444445
3,saturation_boundary_bias,"31,50,51,57,60,61",0.682500081893703,0.5577030763492532,0.5,0.9830721146809891
4,baseline_excursion,"32,34,36,41,47,59,64",0.996053006754156,0.753298282926497,0.5,0.8943253150583393
4,dropout_proxy,"32,34,36,41,47,59,64",0.5899239600642634,0.44725588851821085,0.5,0.968420946656267
4,timing_tail,"32,34,36,41,47,59,64",0.7691267528098478,0.23317482987996024,0.5,0.8409151770012998
4,charge_bias_tail,"32,34,36,41,47,59,64",0.7045477176231464,0.5086628631428216,0.5,0.9419962433380026
4,saturation_boundary_bias,"32,34,36,41,47,59,64",0.6726065596870797,0.37670699305285615,0.5,0.9867557392499446
5,baseline_excursion,"40,46,53,54,55,62,65",0.9963442267621648,0.22077805827526947,0.5,0.9100629564375526
5,dropout_proxy,"40,46,53,54,55,62,65",0.5582108206022974,0.5460090423193529,0.5,0.9635254966185974
5,timing_tail,"40,46,53,54,55,62,65",0.7691988389331141,0.6675848064680894,0.5,0.8455814677779023
5,charge_bias_tail,"40,46,53,54,55,62,65",0.6944691305558147,0.28998979041390593,0.5,0.9606997499828354
5,saturation_boundary_bias,"40,46,53,54,55,62,65",0.5762963474509281,0.445431328582337,0.5,0.9857767963117353
