method,traditional_reference,delta_res68_abs_frac,delta_res68_abs_frac_ci95,delta_charge_bias_tail_rate,delta_charge_bias_tail_rate_ci95
ML_ridge_pretrigger_wave_atoms,traditional_p11a_atom_cell_corrected,-0.004524954536100141,"[-0.006355488611916999, -0.002593654856295732]",-0.05194358720158621,"[-0.06282062073400277, -0.03677396586414435]"
ML_hgb_pretrigger_wave_atoms,traditional_p11a_atom_cell_corrected,-0.011229202102031256,"[-0.013425114443101162, -0.00955074635215249]",-0.0892003389884712,"[-0.10517760884074195, -0.06514334183196813]"
NN_mlp_pretrigger_wave_atoms,traditional_p11a_atom_cell_corrected,0.01470591019546718,"[0.010468998107968983, 0.01704894896893442]",-0.06874110555013671,"[-0.08167145700865916, -0.04860680946475893]"
NN_1d_cnn_waveform,traditional_p11a_atom_cell_corrected,0.33944183289811325,"[0.27631455886463563, 0.4016372782882379]",0.36534002782263864,"[0.32915975438496486, 0.39227072170350763]"
NN_pretrigger_gated_residual_cnn_new,traditional_p11a_atom_cell_corrected,0.03564021512635655,"[0.029983324353290267, 0.040116043201661566]",-0.03173219910775676,"[-0.037710261564699664, -0.02190198917229756]"
