method,p11a_atom,matched_controls,n_cells,n_exposed,n_quiet,delta_abs_frac_mean,delta_abs_frac_mean_ci95,delta_signed_bias,delta_signed_bias_ci95,delta_charge_bias_tail_rate,delta_charge_bias_tail_rate_ci95
traditional_p11a_atom_cell_corrected,early_asym,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,128,5737,24686,0.010670533764748259,"[0.0057778868577598496, 0.014344428695645317]",0.0300288495489459,"[0.0230345081255995, 0.037829949464841583]",-0.044390264960171795,"[-0.05263606408430137, -0.038359855392150685]"
traditional_p11a_atom_cell_corrected,adaptive_lowering,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,109,7001,19677,0.08872726618661315,"[0.06391936305676835, 0.10448557037567739]",0.025887435063914787,"[0.0076524399568565025, 0.04310860052589325]",0.1387945187995033,"[0.09960605510022459, 0.1640766347910397]"
traditional_p11a_atom_cell_corrected,spike,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,85,6011,11121,0.4221985111865695,"[0.39168386336940775, 0.4578966300434899]",0.02142054818278168,"[0.004270700116889713, 0.04215044187385228]",0.3922636086813078,"[0.37701681274825927, 0.4113199168959928]"
ML_hgb_pretrigger_wave_atoms,early_asym,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,128,5737,24686,0.003050149652683745,"[0.0017911690547006201, 0.0038955784621103177]",0.0048983472693226,"[0.00374422464275226, 0.006118533080627159]",-7.807807321003002e-05,"[-0.0001685218126314033, -1.031302614157812e-05]"
ML_hgb_pretrigger_wave_atoms,adaptive_lowering,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,109,7001,19677,0.018743900052028046,"[0.014902193742668225, 0.020955317338895527]",0.001068470510333005,"[-0.0011775004811229858, 0.0028425324099854723]",0.0030904824668726173,"[0.0012873025861322956, 0.004628008310159623]"
ML_hgb_pretrigger_wave_atoms,spike,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,85,6011,11121,0.0505129617832633,"[0.04527835309924465, 0.05652302296775483]",0.007885836532866817,"[0.004309910678535648, 0.010744496947371474]",0.024164978250512822,"[0.01906114154986083, 0.030268252485147445]"
NN_pretrigger_gated_residual_cnn_new,early_asym,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,128,5737,24686,-0.015007311234751578,"[-0.01712134120053814, -0.013134447927654651]",-0.004611565639909223,"[-0.007566843389883162, -0.0005946972336250327]",-0.00037813697710462133,"[-0.003977737657013041, 0.003535123731691017]"
NN_pretrigger_gated_residual_cnn_new,adaptive_lowering,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,109,7001,19677,0.03941357778505238,"[0.038179379880382176, 0.040314385023398285]",0.009347051976041005,"[-0.006848189997616974, 0.029147107952792996]",0.020364573837027854,"[0.015103905777907465, 0.02410502518989932]"
NN_pretrigger_gated_residual_cnn_new,spike,run+group+stave+amp_bin+is_saturated+atom_dropout+p09_anomaly_bin,85,6011,11121,0.17573168805748227,"[0.15969452156547792, 0.19532454879512465]",-0.05361131289731766,"[-0.061836722773804156, -0.042506134549812905]",0.21915639638750528,"[0.2006672717838796, 0.23433717651508146]"
