p11a_atom,n,fraction,bias_median_frac,res68_abs_frac,charge_bias_tail_rate,saturation_fraction,dropout_atom_fraction,anomaly_q4_fraction
quiet,96187,0.7690161339324262,0.0006502432923011012,0.011953169206639268,0.00010396415315999044,1.0,0.0018505619262478297,0.19732396269766184
spike,12359,0.09881034234637587,0.002161363389477249,0.08062539429099681,0.03883809369690104,1.0,0.5033578768508779,1.0
adaptive_lowering,10343,0.08269239994243592,0.00016948814540143815,0.05058912942282983,0.011698733442908248,1.0,0.29933288214251186,0.9866576428502368
early_asym,6090,0.048689617678568574,0.003688405478868502,0.02309479401398596,0.0,1.0,0.005911330049261084,0.9307060755336617
sloped,70,0.0005596507779145814,0.0023132079024983003,0.015461242588721065,0.0,1.0,0.0,0.5142857142857142
noisy_rms,29,0.00023185532227889798,0.0012273185768024776,0.014228576312814344,0.0,1.0,0.0,0.4827586206896552
