method,run,n,curated_precision,balanced_accuracy,action_flip_rate
traditional_atom_rubric,58,74,0.8571428571428571,0.603030303030303,0.0
traditional_atom_rubric,59,830,0.84,0.5235202455712813,0.0
traditional_atom_rubric,60,856,0.59375,0.511344537815126,0.0
traditional_atom_rubric,61,1214,0.5833333333333334,0.512446217951328,0.0
traditional_atom_rubric,62,840,0.75,0.5260897961054363,0.0
traditional_atom_rubric,63,388,0.7407407407407407,0.5356914893617021,0.0
traditional_atom_rubric,65,108,0.8421052631578947,0.5854978354978355,0.0
ridge,58,74,1.0,0.6363636363636364,0.32432432432432434
ridge,59,830,0.961038961038961,0.6902005811228794,0.1891566265060241
ridge,60,856,0.9174311926605505,0.744250331711632,0.2780373831775701
ridge,61,1214,0.855036855036855,0.7425166605589262,0.3500823723228995
ridge,62,840,0.9586206896551724,0.677870650984526,0.2011904761904762
ridge,63,388,0.9310344827586207,0.7004255319148935,0.2268041237113402
ridge,65,108,0.9375,0.6017316017316017,0.32407407407407407
gradient_boosted_trees,58,74,1.0,0.7386363636363636,0.44594594594594594
gradient_boosted_trees,59,830,0.9878048780487805,0.8198343331146312,0.3144578313253012
gradient_boosted_trees,60,856,0.992,0.8242149491375498,0.31542056074766356
gradient_boosted_trees,61,1214,0.9644859813084112,0.9152707086336306,0.4456342668863262
gradient_boosted_trees,62,840,0.9801587301587301,0.8221866388619945,0.33095238095238094
gradient_boosted_trees,63,388,1.0,0.7978723404255319,0.3170103092783505
gradient_boosted_trees,65,108,1.0,0.6515151515151515,0.3425925925925926
mlp,58,74,1.0,0.7613636363636364,0.47297297297297297
mlp,59,830,0.9319727891156463,0.8423352704095979,0.36987951807228914
mlp,60,856,0.9738562091503268,0.883701901813357,0.38317757009345793
mlp,61,1214,0.9404255319148936,0.8461840194361877,0.4299835255354201
mlp,62,840,0.9566666666666667,0.866597727884687,0.37857142857142856
mlp,63,388,0.9465648854961832,0.8122872340425531,0.3711340206185567
mlp,65,108,1.0,0.7272727272727273,0.4537037037037037
cnn1d,58,74,1.0,0.6818181818181819,0.35135135135135137
cnn1d,59,830,0.9562841530054644,0.7239021932702221,0.2216867469879518
cnn1d,60,856,0.9272727272727272,0.7516143299425033,0.2757009345794392
cnn1d,61,1214,0.9302325581395349,0.6856997434748971,0.2471169686985173
cnn1d,62,840,0.9367816091954023,0.7043013216767592,0.23095238095238096
cnn1d,63,388,0.9879518072289156,0.7155851063829788,0.23711340206185566
cnn1d,65,108,1.0,0.6212121212121212,0.32407407407407407
atom_gated_cnn,58,74,1.0,0.6931818181818181,0.36486486486486486
atom_gated_cnn,59,830,0.9693251533742331,0.704599775049208,0.19759036144578312
atom_gated_cnn,60,856,0.9057377049180327,0.7666298098186644,0.3037383177570093
atom_gated_cnn,61,1214,0.9382716049382716,0.6781220733743231,0.23311367380560133
atom_gated_cnn,62,840,0.9297297297297298,0.7140778339854827,0.24166666666666667
atom_gated_cnn,63,388,0.9759036144578314,0.7104255319148935,0.23711340206185566
atom_gated_cnn,65,108,1.0,0.6212121212121212,0.32407407407407407
