row_id,event_key,pair_id,run,eventno,evt,variant,label_injected,target_stave,base_d_t_ns,d_t_ns,taxon_consensus,score_traditional_atom_rubric,action_traditional_atom_rubric,score_ridge,action_ridge,score_gradient_boosted_trees,action_gradient_boosted_trees,score_mlp,action_mlp,score_cnn1d,action_cnn1d,score_atom_gated_cnn,action_atom_gated_cnn,score_mlp_rank,score_gbt_rank,score_rubric_rank,in_failure_gallery,in_dttail_gallery,reviewer_a_ml_mask,reviewer_b_rubric,reviewer_c_hybrid,reviewer_votes,reviewer_consensus,unanimous_review
58:392347:10770:3399:raw_clean,58:392347:10770:3399,0,58,392347,10770,raw_clean,0,,0.5872258446947249,0.5872258446947249,template_mismatch,1.9496955360782835,0,-1.24066162109375,0,0.3956434743643625,0,0.0427795872092247,0,0.5399741530418396,0,0.6664817929267883,0,0.2972972972972973,0.47297297297297297,0.7162162162162162,False,False,0,1,0,1,0,0
58:392347:10770:3399:injected_two_pulse,58:392347:10770:3399,0,58,392347,10770,injected_two_pulse,1,B4,0.5872258446947249,0.301209730046164,template_mismatch,1.7585805207186531,0,3.3582763671875,1,0.9641424689552744,1,0.9999850988388062,1,0.9199223518371582,1,0.9460861086845398,1,0.9864864864864865,0.9324324324324325,0.7027027027027027,False,False,1,1,1,3,1,1
58:392858:11249:3908:raw_clean,58:392858:11249:3908,1,58,392858,11249,raw_clean,0,,2.292764509501797,2.292764509501797,nominal_shape,1.328695721775047,0,-1.123573660850525,0,0.224810855409707,0,0.3177249431610107,0,0.2228765934705734,0,0.1666356772184372,0,0.47297297297297297,0.32432432432432434,0.44594594594594594,False,False,0,0,0,0,0,1
58:392858:11249:3908:injected_two_pulse,58:392858:11249:3908,1,58,392858,11249,injected_two_pulse,1,B6,2.292764509501797,2.905853736008904,nominal_shape,1.3268365642356683,0,0.4870588183403015,0,0.908038500150615,1,0.8617144823074341,1,0.5059868097305298,0,0.4960664808750152,0,0.7162162162162162,0.8513513513513513,0.43243243243243246,False,False,1,0,1,2,1,0
58:392996:11382:4044:raw_clean,58:392996:11382:4044,2,58,392996,11382,raw_clean,0,,1.8079858145067116,1.8079858145067116,template_mismatch,1.3485572188342767,0,-0.805243194103241,0,0.1516525781730442,0,0.0188842602074146,0,0.195877119898796,0,0.1877539902925491,0,0.22972972972972974,0.17567567567567569,0.5135135135135135,False,False,0,1,0,1,0,0
58:392996:11382:4044:injected_two_pulse,58:392996:11382:4044,2,58,392996,11382,injected_two_pulse,1,B4,1.8079858145067116,1.4318377897355037,template_mismatch,1.3463680185316609,0,1.193589448928833,1,0.9280901428693416,1,0.9981112480163574,1,0.7015501856803894,1,0.7214643359184265,1,0.8918918918918919,0.8918918918918919,0.4864864864864865,True,False,1,1,1,3,1,1
58:397938:15966:8976:raw_clean,58:397938:15966:8976,3,58,397938,15966,raw_clean,0,,1.3326494758451162,1.3326494758451162,early_pretrigger,1.3191206480224518,0,-1.679688572883606,0,0.0800124858756211,0,0.000692693516612,0,0.1755856424570083,0,0.1548242419958114,0,0.0945945945945946,0.05405405405405406,0.33783783783783783,False,False,0,0,0,0,0,1
58:397938:15966:8976:injected_two_pulse,58:397938:15966:8976,3,58,397938,15966,injected_two_pulse,1,B4,1.3326494758451162,0.5232636682906069,early_pretrigger,1.32148867072685,0,2.0602729320526123,1,0.9152723805115772,1,0.9755681157112122,1,0.869846761226654,1,0.8474640250205994,1,0.7837837837837838,0.8783783783783784,0.3783783783783784,True,False,1,0,1,2,1,0
58:398418:42:9453:raw_clean,58:398418:42:9453,4,58,398418,42,raw_clean,0,,2.9265218134850315,2.9265218134850315,nominal_shape,0.0309691126378622,0,-0.2672448754310608,0,0.1677055570497901,0,0.101859912276268,0,0.446326345205307,0,0.3490424454212188,0,0.35135135135135137,0.20270270270270271,0.04054054054054054,False,False,0,0,0,0,0,1
58:398418:42:9453:injected_two_pulse,58:398418:42:9453,4,58,398418,42,injected_two_pulse,1,B4,2.9265218134850315,2.0210251342205083,nominal_shape,0.7831603148494847,0,0.2781778275966644,0,0.3345236514459452,0,0.2017069905996322,0,0.5498883128166199,0,0.4576633274555206,0,0.40540540540540543,0.40540540540540543,0.14864864864864866,True,False,1,0,1,2,1,0
58:400048:1585:11080:raw_clean,58:400048:1585:11080,5,58,400048,1585,raw_clean,0,,1.7409479819327842,1.7409479819327842,broad_or_saturated,2.0645622401129344,0,0.0616924427449703,0,0.4048438132279526,0,0.2833924293518066,0,0.6393125057220459,0,0.5900775194168091,0,0.4594594594594595,0.5,0.7297297297297297,False,False,0,1,0,1,0,0
58:400048:1585:11080:injected_two_pulse,58:400048:1585:11080,5,58,400048,1585,injected_two_pulse,1,B4,1.7409479819327842,1.1290599786308206,broad_or_saturated,2.0673192202006505,0,0.4677874445915222,0,0.8976635610341265,1,0.9909707307815552,1,0.5620015263557434,0,0.5631729364395142,0,0.8378378378378378,0.8378378378378378,0.7432432432432432,True,False,1,1,1,3,1,1
58:400125:1658:11157:raw_clean,58:400125:1658:11157,6,58,400125,1658,raw_clean,0,,2.591583905567223,2.591583905567223,template_mismatch,1.3584489513349154,0,-1.7160921096801758,0,0.2140319650597598,0,0.2031707465648651,0,0.2572680115699768,0,0.1908236593008041,0,0.4189189189189189,0.2972972972972973,0.5405405405405406,False,False,0,1,0,1,0,0
58:400125:1658:11157:injected_two_pulse,58:400125:1658:11157,6,58,400125,1658,injected_two_pulse,1,B4,2.591583905567223,2.2103142521975734,template_mismatch,1.3541989800303438,0,-1.0936013460159302,0,0.2626029308703937,0,0.8395774364471436,1,0.2583116292953491,0,0.198330745100975,0,0.7027027027027027,0.35135135135135137,0.527027027027027,False,False,1,1,0,2,1,0
