method,heldout_run,run_family,n_pair_rows,n_scored_atom_rows_95,sigma68_ns,full_rms_ns,mean_abs_pair_cov_ns2,atom_weighted_coverage_95,atom_weighted_abs_coverage_error_95,atom_weighted_interval_width_95_ns
pair_median,44,sample_i_analysis,169,121,18.60109361834799,37.91518304020501,393.2081965126204,0.9421487603305785,0.007851239669421473,79.16802393745091
pair_median,45,sample_i_analysis,1807,1107,14.882712740283594,35.383869038105196,282.56612292290896,0.9141824751580849,0.03581752484191503,64.32265234827007
pair_median,46,sample_i_analysis,13,11,5.600770019305217,29.791446077361233,,1.0,0.050000000000000044,63.99046521280874
pair_median,47,sample_i_analysis,156,152,7.1624659908779975,34.27646494077162,423.32325283953793,0.9407894736842105,0.009210526315789447,131.1351505352621
pair_median,48,sample_i_analysis,1098,1098,5.962515954953132,31.03583117326108,163.6019320443526,0.9726775956284153,0.022677595628415315,157.63280989073078
pair_median,49,sample_i_analysis,1186,1186,6.233555809252217,29.22292443097471,185.22409286038481,0.9704890387858347,0.020489038785834746,159.41261642147734
pair_median,50,sample_i_analysis,1289,1289,36.55831380584743,44.37992292616776,295.3969426406519,0.9472459270752521,0.00275407292474783,161.4758472223163
pair_median,51,sample_i_analysis,616,616,31.055409191623166,40.48593331502817,395.8767536974314,0.9318181818181818,0.018181818181818188,156.38222561066863
pair_median,52,sample_i_analysis,312,312,37.18638162391023,42.57904917627033,300.44818914837987,0.9583333333333334,0.008333333333333415,152.3073016675835
pair_median,53,sample_i_analysis,1120,1120,41.03361157056183,47.311875827023336,364.5084473824083,0.9178571428571428,0.03214285714285714,157.47284796396113
pair_median,54,sample_i_analysis,1053,1053,40.65566013077368,46.24967491934885,409.2325729887265,0.9306742640075973,0.019325735992402615,159.47030794691557
pair_median,55,sample_i_analysis,756,756,31.255938132136922,41.14299840548178,307.3058969785369,0.9444444444444444,0.005555555555555536,155.42849859968277
pair_median,56,sample_i_analysis,1669,1669,33.142014138569664,41.93058564787236,313.7935238646461,0.9484721390053924,0.001527860994607555,158.01543135616612
pair_median,57,sample_i_analysis,1221,1221,6.951154995327572,31.056285524061536,231.6054719837822,0.9623259623259623,0.012325962325962392,156.17217758000862
pair_median,58,sample_ii_analysis,1207,1207,7.795155544514594,29.023631758372915,150.0873114804294,0.848384424192212,0.1016155758077879,43.76367846169591
pair_median,59,sample_ii_analysis,11187,11187,2.067156820047833,12.698722219840532,45.39528035947222,0.933047287029588,0.01695271297041201,39.38729128848109
pair_median,60,sample_ii_analysis,10524,10524,1.54699875995329,9.378039623383527,37.753413613622605,0.9697833523375142,0.01978335233751427,44.96999556707691
pair_median,61,sample_ii_analysis,11855,11855,1.579623321269612,9.847932273680637,29.26817531233568,0.962125685364825,0.012125685364825056,45.035623107826986
pair_median,62,sample_ii_analysis,10936,10936,1.7091697648253104,11.117613610572606,28.818186484318858,0.9624177029992684,0.012417702999268476,43.60573688127006
pair_median,63,sample_ii_analysis,5816,5816,2.5071339528107712,16.963161132328185,77.89441339298358,0.9049174690508941,0.04508253094910586,39.881521527265555
pair_median,65,sample_ii_analysis,1514,1514,2.423055672419242,21.78715968954531,135.3840102224622,0.9108322324966975,0.03916776750330242,46.14446854229104
traditional_s05d_static_priors,44,sample_i_analysis,169,121,9.536012276792151,16.513002904790763,73.34070921632545,0.9421487603305785,0.007851239669421473,63.31811883392718
traditional_s05d_static_priors,45,sample_i_analysis,1807,1107,10.348960854763083,16.646963875597798,105.5351558944044,0.8979223125564589,0.05207768744354102,57.80739334403651
traditional_s05d_static_priors,46,sample_i_analysis,13,11,5.900417799492962,7.115253659854911,,1.0,0.050000000000000044,57.74599748747712
traditional_s05d_static_priors,47,sample_i_analysis,156,152,8.768689004119222,12.431778151692578,53.20559137749285,0.9736842105263158,0.023684210526315863,56.34833129785168
traditional_s05d_static_priors,48,sample_i_analysis,1098,1098,8.712952702295397,14.908753025672485,52.99633599060291,0.953551912568306,0.0035519125683060038,57.216172284890916
traditional_s05d_static_priors,49,sample_i_analysis,1186,1186,9.496143584726855,13.810635713743407,59.71615088039155,0.9612141652613828,0.011214165261382858,57.775474245371214
traditional_s05d_static_priors,50,sample_i_analysis,1289,1289,11.982641376368553,15.498729062381853,60.17083520738219,0.9309542280837859,0.019045771916214038,57.31441922746398
traditional_s05d_static_priors,51,sample_i_analysis,616,616,11.39695432920664,18.216060181110187,148.13555863575345,0.9301948051948052,0.019805194805194715,56.195143979407426
traditional_s05d_static_priors,52,sample_i_analysis,312,312,10.835456807394113,13.820672244243056,54.10097347657265,0.9198717948717948,0.030128205128205132,56.15987592869808
traditional_s05d_static_priors,53,sample_i_analysis,1120,1120,11.174872922789447,14.609866097893189,62.80535467186464,0.9517857142857142,0.0017857142857142794,56.78795590421076
traditional_s05d_static_priors,54,sample_i_analysis,1053,1053,11.13986647845401,15.627139254218191,83.67876867256201,0.9468186134852802,0.003181386514719775,57.473321363865864
traditional_s05d_static_priors,55,sample_i_analysis,756,756,10.93079134930965,15.89787445239643,57.087401858063444,0.9365079365079365,0.013492063492063444,56.063936660290544
traditional_s05d_static_priors,56,sample_i_analysis,1669,1669,10.485518310526349,13.439412806081839,57.352374863771985,0.957459556620731,0.007459556620731056,58.95957446486045
traditional_s05d_static_priors,57,sample_i_analysis,1221,1221,9.173281999968165,14.329787099668986,48.10165048228766,0.9656019656019657,0.015601965601965695,57.09380169073401
traditional_s05d_static_priors,58,sample_ii_analysis,1207,1207,9.44147056739923,15.975888008856622,76.60551373985271,0.8748964374482188,0.07510356255178119,35.47709374857714
traditional_s05d_static_priors,59,sample_ii_analysis,11187,11187,6.97772223085337,9.023143636234275,23.948983065642075,0.9466344864574953,0.0033655135425046945,35.333494428041405
traditional_s05d_static_priors,60,sample_ii_analysis,10524,10524,6.429789412447287,8.330215846885897,23.383628442710386,0.9676928924363359,0.017692892436335983,36.45920726298619
traditional_s05d_static_priors,61,sample_ii_analysis,11855,11855,7.177216651205478,9.29328181892915,28.44266298116524,0.9491353859131169,0.0008646140868830976,35.428147993108574
traditional_s05d_static_priors,62,sample_ii_analysis,10936,10936,6.90147385606038,9.06697170848924,22.999575657805217,0.9544623262618873,0.004462326261887362,35.653109992885916
traditional_s05d_static_priors,63,sample_ii_analysis,5816,5816,7.763986750567446,10.624050129775515,32.49040217518756,0.9353507565337001,0.01464924346629981,35.1338280645327
traditional_s05d_static_priors,65,sample_ii_analysis,1514,1514,8.353651279678823,13.657521957826585,59.139223788852796,0.9108322324966975,0.03916776750330242,35.745543110339014
ridge,44,sample_i_analysis,169,121,10.380595453099929,15.558273326437956,66.67786399316726,0.9338842975206612,0.0161157024793388,64.32920090523609
ridge,45,sample_i_analysis,1807,1107,10.666015945041666,16.18657233806658,94.85671617550143,0.8906955736224029,0.05930442637759703,62.00151478742706
ridge,46,sample_i_analysis,13,11,3.8461707212467156,4.830207242493011,,1.0,0.050000000000000044,57.61875882601459
ridge,47,sample_i_analysis,156,152,7.476328541024051,11.584403779646951,40.71538649411769,0.9671052631578947,0.017105263157894735,56.004386318362236
ridge,48,sample_i_analysis,1098,1098,8.343855208665182,14.751759908958348,69.98200166615668,0.9398907103825137,0.01010928961748625,55.44859266818293
ridge,49,sample_i_analysis,1186,1186,8.957201465010755,13.606662157979331,68.89400142735437,0.9510961214165261,0.0010961214165261524,55.71675453832329
ridge,50,sample_i_analysis,1289,1289,10.792687485294671,15.363452629830503,54.887409035195105,0.9325058184639256,0.017494181536074405,55.57559602357227
ridge,51,sample_i_analysis,616,616,10.103945461628502,16.80324807088649,118.72917964607386,0.948051948051948,0.001948051948051921,55.59076099504228
ridge,52,sample_i_analysis,312,312,9.021773039260506,13.255403169394988,43.13667992195619,0.9583333333333334,0.008333333333333415,55.249526478497096
ridge,53,sample_i_analysis,1120,1120,10.196128819977679,13.394063918559574,50.969222529505494,0.9535714285714286,0.0035714285714286698,56.300775350221066
ridge,54,sample_i_analysis,1053,1053,10.269168126148543,14.936708164029842,79.79992144228318,0.9620132953466287,0.01201329534662876,57.06880383867411
ridge,55,sample_i_analysis,756,756,9.983876490316913,14.286478390255875,62.29214725955898,0.9417989417989417,0.008201058201058209,55.38335649687482
ridge,56,sample_i_analysis,1669,1669,10.973591301671362,14.341809631547813,61.66774063820967,0.9478729778310365,0.0021270221689634328,55.676385799197476
ridge,57,sample_i_analysis,1221,1221,9.265655418354221,14.048949986038503,60.6515294732511,0.9598689598689598,0.009868959868959859,56.49738830138268
ridge,58,sample_ii_analysis,1207,1207,8.808324229729902,15.271828950995022,71.8341729915052,0.8657829328914665,0.0842170671085335,33.894788719952665
ridge,59,sample_ii_analysis,11187,11187,5.687487342178656,8.413025908547487,18.97842935663849,0.9540538124608922,0.004053812460892203,34.12701364522449
ridge,60,sample_ii_analysis,10524,10524,6.543842650134911,8.927506280904758,24.169186910850748,0.951349296845306,0.0013492968453060472,34.07870101013835
ridge,61,sample_ii_analysis,11855,11855,6.260208957308939,8.748102796509384,23.473115080900648,0.9594264023618726,0.009426402361872643,34.4252281212042
ridge,62,sample_ii_analysis,10936,10936,5.914055988294576,8.526246183236156,17.28333971872814,0.9612289685442575,0.01122896854425759,34.39719441550637
ridge,63,sample_ii_analysis,5816,5816,6.974187272776886,10.294271315556445,29.144946722104546,0.9279573590096286,0.022042640990371343,33.56348283121561
ridge,65,sample_ii_analysis,1514,1514,7.751487895464381,13.04081768393598,52.47008888734586,0.9035667107001321,0.0464332892998679,34.314246765540375
gradient_boosted_trees,44,sample_i_analysis,169,121,13.295368700072558,24.214332346588392,110.62565252525172,0.9256198347107438,0.024380165289256128,62.76577401818862
gradient_boosted_trees,45,sample_i_analysis,1807,1107,11.68458023895949,21.215718323665445,111.66791058004898,0.926829268292683,0.023170731707316983,51.4697582028879
gradient_boosted_trees,46,sample_i_analysis,13,11,4.801892504253152,10.685776836827523,,1.0,0.050000000000000044,55.261028219238966
gradient_boosted_trees,47,sample_i_analysis,156,152,6.715658748791264,17.275174850064865,80.30413309064826,0.9605263157894737,0.010526315789473717,68.91430796793088
