method,axis,stratum,n_atoms,n_pair_rows,weighted_abs_coverage_error_95,worst_undercoverage_95,mean_interval_width_ns
cnn_1d,run_family,sample_i_analysis,8,11711,0.007706429852275636,-0.061111111111111116,146.62004557198068
cnn_1d,run_family,sample_ii_analysis,2,53039,0.02839514319651571,-0.07658857332301905,45.39571312145713
extra_trees_s05e_dynamic,run_family,sample_i_analysis,8,11711,0.004751942618051353,-0.09224137931034482,47.57726240671085
extra_trees_s05e_dynamic,run_family,sample_ii_analysis,2,53039,0.0016186202605629764,-0.002230903523081751,27.126473223038026
gradient_boosted_trees,run_family,sample_i_analysis,8,11711,0.003974895397489503,-0.1396551724137931,73.79324469913524
gradient_boosted_trees,run_family,sample_ii_analysis,2,53039,0.00196176398499212,-0.0025743396010416975,36.98298565315623
mlp,run_family,sample_i_analysis,8,11711,0.005033728972760583,-0.1396551724137931,138.52372217446054
mlp,run_family,sample_ii_analysis,2,53039,0.012821697241652313,-0.029898331307326775,42.6073604519795
pair_median,run_family,sample_i_analysis,8,11711,0.005571684740841963,-0.18706896551724128,147.87538060236665
pair_median,run_family,sample_ii_analysis,2,53039,0.0027536341182902574,-0.0037191265275750007,42.9739611596728
ridge,run_family,sample_i_analysis,8,11711,0.006937921612159479,-0.12869415807560136,56.57711967793427
ridge,run_family,sample_ii_analysis,2,53039,0.00037990912347521687,-0.0007238368880538859,34.17805660587562
support_gated_cnn_new,run_family,sample_i_analysis,8,11711,0.021334642643668276,-0.2689655172413793,147.31609095500022
support_gated_cnn_new,run_family,sample_ii_analysis,2,53039,0.010163276079865705,-0.022217924632556008,43.49317108597803
traditional_s05d_static_priors,run_family,sample_i_analysis,8,11711,0.006271881137392146,-0.12525773195876289,57.45343616256207
traditional_s05d_static_priors,run_family,sample_ii_analysis,2,53039,0.0009059371405946276,-0.0019946955464691385,35.637051098051934
cnn_1d,topology,B2_containing,7,43473,0.0032215398063165242,-0.061111111111111116,86.77622100634623
cnn_1d,topology,downstream_only,3,21277,0.06844244959345766,-0.07658857332301905,16.5619178518372
extra_trees_s05e_dynamic,topology,B2_containing,7,43473,0.0024739493478710723,-0.09224137931034482,41.130074206792344
extra_trees_s05e_dynamic,topology,downstream_only,3,21277,0.0015956196832260182,-0.05309278350515456,9.770673371707527
gradient_boosted_trees,topology,B2_containing,7,43473,0.0029524072412761395,-0.1396551724137931,58.65376059948046
gradient_boosted_trees,topology,downstream_only,3,21277,0.0010457301311274632,-0.0007790916123328051,12.966035164173144
mlp,topology,B2_containing,7,43473,0.004295769788144282,-0.1396551724137931,83.75149651973457
