quantity,report_value,reproduced,delta,tolerance,pass
"parent control events, B2 and >=2 downstream",,10156,,,True
"parent clean events, D_t<3 ns",,2155,,,True
"parent gross events, documented D_t>50 ns",,74,,,True
"parent gross events, guarded D_t>51 ns",72.0,72,0.0,0.0,True
S07e all-three control events,,3774,,,True
S07e all-three guarded gross events,,22,,,True
