stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,896,2.710727085174487,5,9.095157574284642
B4,868,3.0156938501422563,6,10.816152403351518
B6,835,3.7605496796735487,6,9.792714223752135
B8,485,4.243224975808163,8,9.250838692438856
