method,heldout_run,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
1d_cnn,58,0.7593638122902051,0.768595041322314,-2.7839620938345133,11.012305835754379,0.2054794520547945,0.17045454545454544,0.4090909090909091,0.023374752448014083,0.09596105534036112,176,88
1d_cnn,60,0.8207047825445203,0.7896435950413224,-2.8970086506374626,11.46213831409857,0.2,0.26136363636363635,0.3068181818181818,0.02735447608399588,0.1294810784369549,176,88
1d_cnn,62,0.8243599643759617,0.8052685950413224,-0.5816496229962631,9.52677715009166,0.16666666666666666,0.25,0.2840909090909091,0.04391250903350999,0.08561766880958599,176,88
1d_cnn,64,0.7684514520085126,0.7638171487603306,-1.7481970388685308,9.373058199355679,0.16101694915254236,0.32954545454545453,0.23863636363636365,0.007422637279457621,0.10417637399626435,176,88
1d_cnn,65,0.8002581879428089,0.781120867768595,-1.2851630813882942,9.823716016450152,0.15873015873015872,0.2840909090909091,0.3181818181818182,0.022584625267926733,0.08906979081403182,176,88
analytic_clipped_template_sideband_traditional,58,0.6009718002920668,0.5296358471074379,1.1271983627674809,14.286567836169862,0.3088235294117647,0.6136363636363636,0.3409090909090909,0.06570558461654363,0.09520600931916842,176,88
analytic_clipped_template_sideband_traditional,60,0.7063025930616124,0.6570247933884297,1.3496498376930566,11.058545567496482,0.14634146341463414,0.5340909090909091,0.2159090909090909,0.07803395786671642,0.08493246350713052,176,88
analytic_clipped_template_sideband_traditional,62,0.6824196665730012,0.6225464876033058,0.8729060520249821,8.86724872595358,0.2,0.5454545454545454,0.2159090909090909,0.07497265512494516,0.06790822740591615,176,88
analytic_clipped_template_sideband_traditional,64,0.6851429658644971,0.631198347107438,0.7278431299948096,6.811126330353213,0.08974358974358974,0.5568181818181818,0.20454545454545456,0.049948852252569405,0.09102527437123205,176,88
analytic_clipped_template_sideband_traditional,65,0.7395523804261828,0.712164256198347,-0.5519293468498354,10.718708954896925,0.20408163265306123,0.4431818181818182,0.22727272727272727,0.05722649000217934,0.07897461933740613,176,88
gradient_boosted_trees,58,0.8341431139913843,0.8128873966942147,-1.742684703353321,7.255819060683562,0.11764705882352941,0.22727272727272727,0.2727272727272727,0.00961496753228671,0.0721145316894592,176,88
gradient_boosted_trees,60,0.867458319633253,0.8442665289256198,0.1291354698517111,7.9300309956662325,0.11194029850746269,0.23863636363636365,0.19318181818181818,-0.004656171346198912,0.0704245613443363,176,88
gradient_boosted_trees,62,0.8682828091983358,0.8329028925619835,1.4768125710078372,7.507933377831163,0.06818181818181818,0.25,0.26136363636363635,-0.006042169417193623,0.06125544098335301,176,88
gradient_boosted_trees,64,0.8522917372660309,0.8274793388429752,0.3738330733565265,7.933362678543976,0.09482758620689655,0.3409090909090909,0.13636363636363635,0.010485835648009593,0.07319653930213388,176,88
gradient_boosted_trees,65,0.8329347005439942,0.7997159090909091,0.6826384888462345,9.128426139788939,0.13333333333333333,0.3181818181818182,0.18181818181818182,-0.028005777777153296,0.06470601542269122,176,88
mlp,58,0.809777311364007,0.7933884297520661,-2.6049578930654516,12.780991739336258,0.34545454545454546,0.375,0.2159090909090909,0.009943452845490556,0.12336052505201231,176,88
mlp,60,0.7765327064980341,0.7591683884297522,-0.33992256894110895,13.273103789945345,0.25862068965517243,0.3409090909090909,0.25,0.014107746165024942,0.09335604579036083,176,88
mlp,62,0.7837562972582528,0.8015237603305786,-0.9710023942033885,11.60778504421193,0.1864406779661017,0.32954545454545453,0.18181818181818182,0.01494726638389619,0.06891752944084625,176,88
mlp,64,0.8127137276589759,0.8032024793388429,-1.0092450129136843,12.65570312006577,0.20408163265306123,0.4431818181818182,0.10227272727272728,-0.0038689410706261823,0.07558329054292573,176,88
mlp,65,0.7775032215553404,0.7875774793388428,-5.001621866052086,11.759388781235828,0.2549019607843137,0.42045454545454547,0.125,-0.014283821140323255,0.09573886622962983,176,88
ridge,58,0.8371321576509667,0.8175361570247933,-1.0836493666336189,9.765155065550394,0.17164179104477612,0.23863636363636365,0.29545454545454547,0.017316553862253805,0.06242378556708732,176,88
ridge,60,0.8118428944923533,0.8168904958677686,-0.15191209910000225,9.434381536955652,0.13043478260869565,0.2159090909090909,0.22727272727272727,0.019426905484834386,0.07612708121275354,176,88
ridge,62,0.8438178823646505,0.8264462809917356,1.2585128923854016,8.02108462291658,0.07377049180327869,0.3068181818181818,0.26136363636363635,1.7588220450352026e-05,0.07729699040139616,176,88
ridge,64,0.8063001557226616,0.8042355371900827,-0.07331977466302764,7.582931280401729,0.13157894736842105,0.3522727272727273,0.13636363636363635,-0.009470883410766814,0.07059370704532335,176,88
ridge,65,0.7950212080711487,0.8077221074380164,-3.1083492303271942,9.216933583463339,0.17543859649122806,0.3522727272727273,0.11363636363636363,-0.02467724185373171,0.06755988640121911,176,88
saturation_residual_fusion_new,58,0.8318344806453137,0.8215392561983471,-1.0316339981033629,6.767551012954498,0.12121212121212122,0.25,0.26136363636363635,0.015450680405381112,0.07377194764057979,176,88
saturation_residual_fusion_new,60,0.8698823187223972,0.8362603305785125,-0.09954267531973926,8.249192329418458,0.1323529411764706,0.22727272727272727,0.2727272727272727,-0.0008315107421700673,0.07951978964394422,176,88
saturation_residual_fusion_new,62,0.8628048525145229,0.8316115702479339,1.2123533410155662,6.87709546392543,0.06923076923076923,0.26136363636363635,0.2727272727272727,-0.003974521968461511,0.058634745681269584,176,88
saturation_residual_fusion_new,64,0.8446650377041445,0.8294163223140497,0.6607418716997859,7.852938872867872,0.0847457627118644,0.32954545454545453,0.13636363636363635,0.0020395394652391705,0.0671400458270554,176,88
saturation_residual_fusion_new,65,0.82951352212701,0.8082386363636365,-0.9757501127348567,8.068351665930884,0.1328125,0.2727272727272727,0.17045454545454544,-0.013367880639790775,0.059405597518251405,176,88
tiny_sequence_transformer,58,0.7596288013016583,0.766012396694215,-6.178560604555683,13.892101161715386,0.3305084745762712,0.32954545454545453,0.3068181818181818,-0.016349450020752762,0.07288127496890837,176,88
tiny_sequence_transformer,60,0.8094602276276021,0.7727272727272727,-5.59218478406871,15.014190143210657,0.34545454545454546,0.375,0.2159090909090909,-0.014607910277627754,0.10590806055093793,176,88
tiny_sequence_transformer,62,0.8360231614246644,0.8056559917355373,-6.194666040760879,10.384771795938832,0.2459016393442623,0.3068181818181818,0.22727272727272727,-0.03094810654978381,0.09122252595980643,176,88
tiny_sequence_transformer,64,0.7464587834353855,0.7337293388429752,-7.312463320520712,14.289550728550276,0.2916666666666667,0.45454545454545453,0.19318181818181818,-0.008492251780187324,0.08820667080993932,176,88
tiny_sequence_transformer,65,0.8156608776798392,0.7993285123966942,-7.812813219190913,14.427845731171637,0.3090909090909091,0.375,0.17045454545454544,-0.045656616255180985,0.10649550304830484,176,88
