scope,n,pred_sigma_median_ns,abs_error_median_ns,pull_width_sigma68,pull_rms,model,heldout_run
heldout_pulse_target,219,2.5306005477905273,1.0238635720985734,0.3526040981332257,1.4543390417169109,mlp_waveform,58
heldout_sigma_bin,55,1.6258351802825928,0.7971536758318685,0.6664274562546698,1.5499565254276055,mlp_waveform,58
heldout_sigma_bin,55,2.023591995239258,0.7849908286112495,0.4665754959372146,1.2591586761852347,mlp_waveform,58
heldout_sigma_bin,109,20.085599899291992,1.7675343436171147,0.14675632364739002,1.4841523547433153,mlp_waveform,58
heldout_pulse_target,219,5.419453144073486,1.9157739291876794,0.48554695296896194,0.791712292629242,cnn_waveform,58
heldout_sigma_bin,55,3.2472751140594482,1.7459699305715901,0.5283223106559531,1.2138615977456562,cnn_waveform,58
heldout_sigma_bin,55,4.20958137512207,2.45615590274717,0.6903383694270302,0.6467639915884338,cnn_waveform,58
heldout_sigma_bin,54,8.215940475463867,2.177540493102498,0.37088425859782315,0.3486539611744819,cnn_waveform,58
heldout_sigma_bin,55,11.770306587219238,1.8113666391574412,0.2077305291651066,0.34928965120252525,cnn_waveform,58
heldout_pulse_target,2289,1.8080869913101196,0.7468362163775382,0.5686103056577421,1.2399572512661376,mlp_waveform,59
heldout_sigma_bin,573,1.4970264434814453,0.648660056951222,0.6069180803105869,1.6623785887780833,mlp_waveform,59
heldout_sigma_bin,572,1.679007112979889,0.705162360510073,0.6234051124309441,1.0883203013918124,mlp_waveform,59
heldout_sigma_bin,572,1.954283356666565,0.7915671086899216,0.60908626335093,0.681509244473152,mlp_waveform,59
heldout_sigma_bin,572,2.329822301864624,0.874484189170218,0.39580545249050636,1.3129335427742896,mlp_waveform,59
heldout_pulse_target,2289,3.8247764110565186,1.891507868004382,0.7562099976638803,0.9462630196915188,cnn_waveform,59
heldout_sigma_bin,573,3.0639920234680176,1.727502619228531,0.33380897593494235,0.4531622882186939,cnn_waveform,59
heldout_sigma_bin,572,3.53240704536438,1.5610211692684643,0.5005343549448433,0.8444730222029154,cnn_waveform,59
heldout_sigma_bin,572,3.9601573944091797,3.3976152207951316,0.7128173380346459,0.7324826135709088,cnn_waveform,59
heldout_sigma_bin,572,6.896655321121216,1.4331888278293086,0.4305545288911245,1.1444058203494007,cnn_waveform,59
