hidden,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns,model,heldout_run
16,0.001,0,3.160055323552443,2997,3.0587291717529297,mlp_waveform,58
16,0.001,1,1.6628258671149911,3534,2.400854468345642,mlp_waveform,58
16,0.001,2,2.105064444571867,4710,2.6911160945892334,mlp_waveform,58
16,0.001,-1,2.309315211746434,0,,mlp_waveform,58
32,0.001,0,2.1802763739599778,2997,1.9195722341537476,mlp_waveform,58
32,0.001,1,1.5744475642970666,3534,2.002726912498474,mlp_waveform,58
32,0.001,2,1.5497821711457123,4710,1.5904528498649597,mlp_waveform,58
32,0.001,-1,1.7681687031342523,0,,mlp_waveform,58
16,0.001,0,3.147545056661342,2799,2.759580135345459,mlp_waveform,59
16,0.001,1,1.7898574555017346,2841,2.5700790882110596,mlp_waveform,59
16,0.001,2,2.351907695819627,3531,2.866824150085449,mlp_waveform,59
16,0.001,-1,2.4297700693275677,0,,mlp_waveform,59
32,0.001,0,2.1467706174060006,2799,1.699564814567566,mlp_waveform,59
32,0.001,1,1.564752190596495,2841,1.9738624095916748,mlp_waveform,59
32,0.001,2,1.6484176489558457,3531,1.664392113685608,mlp_waveform,59
32,0.001,-1,1.7866468189861138,0,,mlp_waveform,59
16,0.001,0,3.1468498263453624,2799,3.2175209522247314,mlp_waveform,60
16,0.001,1,1.6682954336686202,2838,2.6264846324920654,mlp_waveform,60
16,0.001,2,1.5590210017226358,3399,2.5213212966918945,mlp_waveform,60
16,0.001,-1,2.1247220872455395,0,,mlp_waveform,60
32,0.001,0,2.0056512671323183,2799,1.9110575914382935,mlp_waveform,60
32,0.001,1,1.667392432320535,2838,2.0781047344207764,mlp_waveform,60
32,0.001,2,1.6898938194867341,3399,1.9473057985305786,mlp_waveform,60
32,0.001,-1,1.787645839646529,0,,mlp_waveform,60
16,0.001,0,3.376126084289518,2622,3.227435827255249,mlp_waveform,61
16,0.001,1,2.614704828855198,2640,2.5463701486587524,mlp_waveform,61
16,0.001,2,2.1616851233858427,3399,2.7105183601379395,mlp_waveform,61
16,0.001,-1,2.7175053455101863,0,,mlp_waveform,61
32,0.001,0,1.771591276865369,2622,1.9540337920188904,mlp_waveform,61
32,0.001,1,1.823815720207834,2640,1.8715843558311462,mlp_waveform,61
32,0.001,2,1.6900290242450078,3399,1.5116034746170044,mlp_waveform,61
32,0.001,-1,1.7618120071060703,0,,mlp_waveform,61
16,0.001,0,3.193750893863711,2799,2.928510904312134,mlp_waveform,62
16,0.001,1,1.603149565541538,2841,2.6536383628845215,mlp_waveform,62
16,0.001,2,2.264934816406959,3399,2.823263645172119,mlp_waveform,62
16,0.001,-1,2.3539450919374025,0,,mlp_waveform,62
32,0.001,0,2.10262112629906,2799,2.008589744567871,mlp_waveform,62
32,0.001,1,1.5728735932584876,2841,2.082926034927368,mlp_waveform,62
32,0.001,2,1.6695971454931438,3399,1.6521638631820679,mlp_waveform,62
32,0.001,-1,1.7816972883502304,0,,mlp_waveform,62
16,0.001,0,3.184761539871332,2799,3.00531268119812,mlp_waveform,63
16,0.001,1,1.6498846631898827,2841,2.497572422027588,mlp_waveform,63
16,0.001,2,2.2295503186105665,4710,2.835709571838379,mlp_waveform,63
16,0.001,-1,2.354732173890594,0,,mlp_waveform,63
32,0.001,0,2.1462769305848455,2799,1.917076587677002,mlp_waveform,63
32,0.001,1,1.6264782799614363,2841,2.038892984390259,mlp_waveform,63
32,0.001,2,1.679134476701591,4710,1.6504847407341003,mlp_waveform,63
32,0.001,-1,1.8172965624159574,0,,mlp_waveform,63
16,0.001,0,3.1542343020565764,3018,3.093250870704651,mlp_waveform,65
16,0.001,1,1.6921535249290098,3534,2.471432685852051,mlp_waveform,65
16,0.001,2,2.2467779149084586,4710,2.8241469860076904,mlp_waveform,65
16,0.001,-1,2.364388580631348,0,,mlp_waveform,65
32,0.001,0,2.1648096643468295,3018,1.9366973638534546,mlp_waveform,65
32,0.001,1,1.5546171481368256,3534,1.9967666268348694,mlp_waveform,65
32,0.001,2,1.700304120631645,4710,1.652480959892273,mlp_waveform,65
32,0.001,-1,1.8065769777051,0,,mlp_waveform,65
