method,baseline,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_baseline_ns,delta_ci_low,delta_ci_high,heldout_run,train_runs
analytic_timewalk,analytic_timewalk,73,219,1.1874833645739167,1.1349651983677151,1.407457312724681,2.677930132419911,0.0,0.0,0.0,58,"59,60,61,62,63,65"
mlp_waveform,analytic_timewalk,73,219,1.8878258627999178,1.5890637477818799,2.217222357186304,4.645244942591538,0.7003424982260011,0.32820776996723405,1.03460560754822,58,"59,60,61,62,63,65"
s02_ridge_cfd20,analytic_timewalk,73,219,1.919635350095923,1.6472040070530134,2.147766434393891,4.812564964752962,0.7321519855220062,0.40750746986695957,0.9672827889429224,58,"59,60,61,62,63,65"
cnn_waveform,analytic_timewalk,73,219,2.330707263241053,1.9972955770542828,2.5638693480352712,4.405600391477218,1.1432238986671361,0.7900219927352449,1.35351452316176,58,"59,60,61,62,63,65"
cfd20_reference,analytic_timewalk,73,219,3.1154211816170307,2.899125062346994,3.3576687745961706,4.88610097512565,1.927937817043114,1.634600399409947,2.1560435657504544,58,"59,60,61,62,63,65"
analytic_timewalk,analytic_timewalk,763,2289,1.4587081303487366,1.3888122364549478,1.5303025571559161,2.5401850621944355,0.0,0.0,0.0,59,"58,60,61,62,63,65"
mlp_waveform,analytic_timewalk,763,2289,1.711081397102825,1.6426812637584955,1.7755627718720486,5.445497172856238,0.25237326675408833,0.16931266575846585,0.3356783196013526,59,"58,60,61,62,63,65"
s02_ridge_cfd20,analytic_timewalk,763,2289,1.880487443167554,1.813346900776348,1.9637876439475996,5.38597193652049,0.4217793128188174,0.3271230396429191,0.5278419447378322,59,"58,60,61,62,63,65"
cnn_waveform,analytic_timewalk,763,2289,2.2545570192302424,2.1808320726500234,2.371896868662089,5.492526329552741,0.7958488888815058,0.6831023366369104,0.935691198703485,59,"58,60,61,62,63,65"
cfd20_reference,analytic_timewalk,763,2289,3.1903942554003875,3.093660295872039,3.270718875441018,5.795444490088401,1.7316861250516509,1.59856271862141,1.843491865822453,59,"58,60,61,62,63,65"
analytic_timewalk,analytic_timewalk,808,2424,1.3437044382667396,1.2787156379724944,1.4073454005769264,2.3952884674835904,0.0,0.0,0.0,60,"58,59,61,62,63,65"
mlp_waveform,analytic_timewalk,808,2424,1.6069555789252101,1.5309220468452336,1.6737044186684287,6.627847559208187,0.26325114065847055,0.17395161330913642,0.33391225690589477,60,"58,59,61,62,63,65"
s02_ridge_cfd20,analytic_timewalk,808,2424,1.819928747427188,1.7444623842716198,1.9126042435279307,6.471564076204401,0.47622430916044833,0.3682350918990587,0.5977417224167301,60,"58,59,61,62,63,65"
cnn_waveform,analytic_timewalk,808,2424,2.132913371290663,2.0580633448838097,2.2368949075333537,6.989028458414102,0.7892089330239234,0.6900181698772287,0.9155199740950232,60,"58,59,61,62,63,65"
cfd20_reference,analytic_timewalk,808,2424,3.138618995026782,3.057197721832036,3.226417233280819,7.2620101671075705,1.7949145567600424,1.7005869382021845,1.9069268054790454,60,"58,59,61,62,63,65"
cnn_waveform,analytic_timewalk,933,2799,2.0345879715295294,1.9656187141556123,2.1271543080560384,6.360887034650903,-0.09537642201050422,-0.20907047525332237,0.09626893207652754,61,"58,59,60,62,63,65"
mlp_waveform,analytic_timewalk,933,2799,2.1136738442212386,2.0426429598480214,2.187077445122939,6.245342748934684,-0.016290549318795033,-0.11110939627008438,0.13385162466059,61,"58,59,60,62,63,65"
analytic_timewalk,analytic_timewalk,933,2799,2.1299643935400336,1.9845489151817721,2.210510707443413,3.008059720087321,0.0,0.0,0.0,61,"58,59,60,62,63,65"
s02_ridge_cfd20,analytic_timewalk,933,2799,2.2424329131323475,2.151434264273232,2.3307222201729516,6.158791219575816,0.11246851959231385,-0.007708442012539796,0.30125443600780477,61,"58,59,60,62,63,65"
cfd20_reference,analytic_timewalk,933,2799,2.9140833320178547,2.842803034587344,2.9932754524448115,6.59865538327557,0.7841189384778211,0.6730656038545818,0.9680726991571982,61,"58,59,60,62,63,65"
analytic_timewalk,analytic_timewalk,807,2421,1.469004872429904,1.4057681056780562,1.517141317821777,2.5841895829635635,0.0,0.0,0.0,62,"58,59,60,61,63,65"
mlp_waveform,analytic_timewalk,807,2421,1.7433121670592193,1.6759974124963333,1.8146070503372826,4.51534884762075,0.27430729462931525,0.2069798699517912,0.3589529180575828,62,"58,59,60,61,63,65"
s02_ridge_cfd20,analytic_timewalk,807,2421,1.860012408395748,1.78241864726286,1.9573410792019243,4.616059969691884,0.39100753596584403,0.2947355067125114,0.4937011762483873,62,"58,59,60,61,63,65"
cnn_waveform,analytic_timewalk,807,2421,2.4908250555071394,2.385696974430405,2.576893047471116,4.606929562241358,1.0218201830772353,0.9183158619856295,1.1287019714624167,62,"58,59,60,61,63,65"
cfd20_reference,analytic_timewalk,807,2421,3.2316856378650773,3.1407176131153376,3.3234685190928692,4.955452322869143,1.7626807654351733,1.6567049595417163,1.8688824137040687,62,"58,59,60,61,63,65"
analytic_timewalk,analytic_timewalk,370,1110,1.391321460653578,1.2879537378571326,1.469123878742856,2.628067512304926,0.0,0.0,0.0,63,"58,59,60,61,62,65"
mlp_waveform,analytic_timewalk,370,1110,1.648196404278878,1.5286499271858562,1.7577709339318588,6.002548006625936,0.25687494362529995,0.12638082006513127,0.3899677476844023,63,"58,59,60,61,62,65"
s02_ridge_cfd20,analytic_timewalk,370,1110,1.7698393506968229,1.6116985031317268,1.9140242963827137,5.832856379681711,0.3785178900432449,0.21325536978993967,0.5470666935897425,63,"58,59,60,61,62,65"
cnn_waveform,analytic_timewalk,370,1110,2.528189852554951,2.4120214062414354,2.6257648051370293,6.325272775049131,1.136868391901373,0.9969105066905866,1.2731365158032568,63,"58,59,60,61,62,65"
cfd20_reference,analytic_timewalk,370,1110,3.4035141628299086,3.295077127840112,3.5245539417787377,6.5830265869175175,2.0121927021763306,1.8781792369211903,2.184381714727736,63,"58,59,60,61,62,65"
analytic_timewalk,analytic_timewalk,66,198,1.494640076269676,1.3221932310567024,1.6605259688409595,1.6991283591200679,0.0,0.0,0.0,65,"58,59,60,61,62,63"
s02_ridge_cfd20,analytic_timewalk,66,198,1.8461136615528861,1.4437102616314703,2.0347194424096804,1.7098037987509727,0.35147358528321004,0.019175306452440043,0.5625364374921883,65,"58,59,60,61,62,63"
mlp_waveform,analytic_timewalk,66,198,1.9272329327513156,1.6024225971369155,2.2889657791969817,1.9786382482069755,0.4325928564816395,0.09563819157004988,0.7955925549220658,65,"58,59,60,61,62,63"
cnn_waveform,analytic_timewalk,66,198,2.1496741272044586,1.7759742941173586,2.4478089227187017,2.009539234431711,0.6550340509347825,0.23711374686938477,0.990405841920839,65,"58,59,60,61,62,63"
cfd20_reference,analytic_timewalk,66,198,2.9933861916712807,2.676867237718078,3.38387227637605,2.7426839288126446,1.4987461154016046,1.1745218078008348,1.9649285468274655,65,"58,59,60,61,62,63"
