model,channels,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns,heldout_run
cnn_waveform,4,0.001,0,1.8158919966446594,2997,4.001596450805664,58
cnn_waveform,4,0.001,1,2.177958457395508,3534,3.173223614692688,58
cnn_waveform,4,0.001,2,3.0861664019683976,4710,4.5598464012146,58
cnn_waveform,4,0.001,-1,2.3600056186695215,0,,58
cnn_waveform,8,0.001,0,2.0136399680674906,2997,4.07056999206543,58
cnn_waveform,8,0.001,1,2.7854958585297394,3534,3.628361463546753,58
cnn_waveform,8,0.001,2,1.4913710370307007,4710,3.216819643974304,58
cnn_waveform,8,0.001,-1,2.09683562120931,0,,58
cnn_waveform,4,0.001,0,1.8741768772274345,2799,4.08363676071167,59
cnn_waveform,4,0.001,1,2.1803719126182184,2841,3.3306665420532227,59
cnn_waveform,4,0.001,2,3.2085100644135887,3531,4.557319164276123,59
cnn_waveform,4,0.001,-1,2.421019618086414,0,,59
cnn_waveform,8,0.001,0,1.9951171225153477,2799,4.136805057525635,59
cnn_waveform,8,0.001,1,2.7003627453636447,2841,3.869453191757202,59
cnn_waveform,8,0.001,2,1.5367649725954005,3531,3.1703851222991943,59
cnn_waveform,8,0.001,-1,2.0774149468247978,0,,59
cnn_waveform,4,0.001,0,2.0735449231059593,2799,3.7792856693267822,60
cnn_waveform,4,0.001,1,2.4195428823393197,2838,3.885736584663391,60
cnn_waveform,4,0.001,2,3.1385638129615168,3399,3.865957498550415,60
cnn_waveform,4,0.001,-1,2.5438838728022652,0,,60
cnn_waveform,8,0.001,0,1.748790002117711,2799,3.5649077892303467,60
cnn_waveform,8,0.001,1,2.8835060833553943,2838,4.189399003982544,60
cnn_waveform,8,0.001,2,1.9165403685635496,3399,2.389805555343628,60
cnn_waveform,8,0.001,-1,2.182945484678885,0,,60
cnn_waveform,4,0.001,0,2.2872684732405246,2622,3.8074010610580444,61
cnn_waveform,4,0.001,1,2.6351717809687143,2640,4.271801233291626,61
cnn_waveform,4,0.001,2,3.1582819873114363,3399,4.457798957824707,61
cnn_waveform,4,0.001,-1,2.6935740805068917,0,,61
cnn_waveform,8,0.001,0,1.9311829120714081,2622,3.596119523048401,61
cnn_waveform,8,0.001,1,2.9384544386930944,2640,4.5986716747283936,61
cnn_waveform,8,0.001,2,1.6086765300957129,3399,2.5846025943756104,61
cnn_waveform,8,0.001,-1,2.1594379602867386,0,,61
cnn_waveform,4,0.001,0,1.8824281023137286,2799,4.303958415985107,62
cnn_waveform,4,0.001,1,2.348485799380632,2841,3.835580348968506,62
cnn_waveform,4,0.001,2,3.1678887101993696,3399,4.508954048156738,62
cnn_waveform,4,0.001,-1,2.46626753729791,0,,62
cnn_waveform,8,0.001,0,2.1972149787440776,2799,4.41697359085083,62
cnn_waveform,8,0.001,1,2.8107598803795977,2841,4.328792572021484,62
cnn_waveform,8,0.001,2,1.4999527007137388,3399,3.0637049674987793,62
cnn_waveform,8,0.001,-1,2.1693091866124714,0,,62
cnn_waveform,4,0.001,0,1.8092397833770966,2799,3.972961902618408,63
cnn_waveform,4,0.001,1,2.1072708003946348,2841,3.236356496810913,63
cnn_waveform,4,0.001,2,3.08637463192302,4710,4.5179853439331055,63
cnn_waveform,4,0.001,-1,2.3342950718982505,0,,63
cnn_waveform,8,0.001,0,1.9274098207165415,2799,3.9850759506225586,63
cnn_waveform,8,0.001,1,2.6960658033818574,2841,3.727656602859497,63
cnn_waveform,8,0.001,2,1.4771071667731757,4710,3.093406319618225,63
cnn_waveform,8,0.001,-1,2.0335275969571915,0,,63
cnn_waveform,4,0.001,0,1.8027528273174367,3018,4.0187201499938965,65
cnn_waveform,4,0.001,1,2.1953070057212947,3534,3.2023082971572876,65
cnn_waveform,4,0.001,2,3.0854086998291765,4710,4.56050181388855,65
cnn_waveform,4,0.001,-1,2.361156177622636,0,,65
cnn_waveform,8,0.001,0,2.010305197873263,3018,4.094140529632568,65
cnn_waveform,8,0.001,1,2.8018406503055795,3534,3.6467337608337402,65
cnn_waveform,8,0.001,2,1.5364145139147243,4710,3.3062835931777954,65
cnn_waveform,8,0.001,-1,2.1161867873645224,0,,65
