run,positive_rows,negative_rows,terminal_available,penetrating_available,terminal_b2_area_cut
31,292,292,13176,292,60935.875
32,296,296,13360,296,60701.95
33,286,286,23578,286,59153.0
34,209,209,16480,209,61251.725
35,186,186,5328,186,49581.55
36,144,144,4760,144,55507.25
37,486,486,10982,486,55480.75
39,306,306,6276,306,52945.5
40,324,324,6464,324,50809.3
41,360,360,7120,360,53364.45
42,342,342,8144,342,58718.575000000004
44,26,26,898,26,53292.025
45,462,462,10926,462,56807.25
47,24,24,2518,24,57462.12500000001
48,288,288,6234,288,51115.15
49,308,308,6576,308,51579.75
50,344,344,16702,344,62453.60000000001
51,154,154,6948,154,62217.7
52,44,44,3374,44,61884.05
53,285,285,15328,285,60823.0
54,274,274,14476,274,60874.25
55,190,190,8180,190,61990.45
56,426,426,18938,426,62484.35
57,308,308,6076,308,50834.25
58,292,292,7606,292,49256.5
59,2034,2034,4520,2266,40499.600000000006
60,1321,1321,2936,2000,41551.75
61,1498,1498,3326,2186,42104.0
62,1684,1684,3742,2078,40627.450000000004
63,1298,1298,5988,1298,43301.100000000006
64,836,836,5120,836,41603.15
65,404,404,5484,404,39195.725
