heldout_run,n_train,n_test,train_pos_frac,test_pos_frac
31,18840,584,0.5,0.5
32,18832,592,0.5,0.5
33,18852,572,0.5,0.5
34,19006,418,0.5,0.5
35,19052,372,0.5,0.5
36,19136,288,0.5,0.5
37,18524,900,0.5,0.5
39,18812,612,0.5,0.5
40,18776,648,0.5,0.5
41,18704,720,0.5,0.5
42,18740,684,0.5,0.5
44,19372,52,0.5,0.5
45,18524,900,0.5,0.5
47,19376,48,0.5,0.5
48,18848,576,0.5,0.5
49,18808,616,0.5,0.5
50,18736,688,0.5,0.5
51,19116,308,0.5,0.5
52,19336,88,0.5,0.5
53,18854,570,0.5,0.5
54,18876,548,0.5,0.5
55,19044,380,0.5,0.5
56,18572,852,0.5,0.5
57,18808,616,0.5,0.5
58,18840,584,0.5,0.5
59,18524,900,0.5,0.5
60,18524,900,0.5,0.5
61,18524,900,0.5,0.5
62,18524,900,0.5,0.5
63,18524,900,0.5,0.5
64,18524,900,0.5,0.5
65,18616,808,0.5,0.5
