heldout_run,method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
58,hgb_no_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.1218126998164029,1.5316220965963778,2.876484531387703,0.028368794326241134,0.8876632949566321,1.3870192531865095,-0.5366009960084548,-0.9324302667990526,-0.15448329645678777
58,hgb_full,ml,s02b_global_template_timewalk,47,141,1.1776662097299693,1.5831355995666099,3.2356615845830916,0.0425531914893617,0.9256095021291454,1.392737704043316,-0.4807474860948884,-0.8711960666171211,-0.15242476390132348
58,mlp_no_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.215271978011284,1.6483590871727136,3.298557892651374,0.03546099290780142,1.0420071197589191,1.5400034789376784,-0.4431417178135737,-0.7769991314284121,-0.043061972849341205
58,hgb_run_family_control,run_family_control,s02b_global_template_timewalk,47,141,1.238728007273093,1.5467650748413968,2.9762294320301734,0.028368794326241134,0.9687339135816082,1.50665297395202,-0.4196856885517646,-0.8864819890612483,-0.07073232662361453
58,cnn1d_full,ml,s02b_global_template_timewalk,47,141,1.3394389652245087,1.7452831570985297,3.2329927431852923,0.0425531914893617,1.1043421239640405,1.6482968182218316,-0.318974730600349,-0.7036918732931626,-0.027487151530037526
58,hgb_only_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.3422054752463657,1.5805910876796194,2.906710655992299,0.028368794326241134,1.0340170624126697,1.5542206058949553,-0.31620822057849196,-0.7278507718073487,0.009375510290558622
58,ridge_only_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.3867897935700246,1.8031386451206524,3.4464080996861313,0.04964539007092199,1.1156757809048532,1.8449567761406094,-0.271623902254833,-0.7030325541761427,0.11301392781066796
58,ridge_no_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.3970005120245501,1.8124089079134218,3.4219770683042725,0.0425531914893617,1.1773490954744472,1.8059144097648658,-0.26141318380030754,-0.648107957821692,0.20119186667703903
58,cnn1d_no_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.4092134690557963,1.7405073113486562,3.290552726005558,0.0425531914893617,1.1024324520383615,1.6710079546527605,-0.2492002267690614,-0.7118730443462136,0.05059060661277043
58,early_late_gated_no_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.4246816855219009,1.768105051873436,3.3534820494932944,0.0425531914893617,1.0946228986163602,1.719438573697879,-0.23373201030295676,-0.6962213496743133,0.1228586579577214
58,ridge_run_family_control,run_family_control,s02b_global_template_timewalk,47,141,1.4386904236490254,1.829676376436312,3.6682188451026576,0.04964539007092199,1.1729052294773268,1.8918577533977647,-0.2197232721758322,-0.6720326305945947,0.12877100572790154
58,cnn1d_only_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.446069504307352,1.8000856212506222,3.3152381689278982,0.04964539007092199,1.2025591895018595,1.8267724426497651,-0.21234419151750572,-0.6150356278991012,0.1114343786929751
58,ridge_full,ml,s02b_global_template_timewalk,47,141,1.466052021068268,1.8069155528800114,3.1999637351093213,0.0425531914893617,1.129568445592981,1.7650216509468388,-0.19236167475658972,-0.6827232242912182,0.18554788579477427
58,early_late_gated_only_samples_0_3,ml,s02b_global_template_timewalk,47,141,1.551470757249394,1.885023209390155,3.517781398417476,0.0425531914893617,1.2678014108473858,1.8054726130652177,-0.10694293857546366,-0.5356966014590111,0.3132807063781368
58,mlp_full,ml,s02b_global_template_timewalk,47,141,1.607223226010908,1.8362456811639245,3.5279371856471684,0.04964539007092199,1.2607269818876536,1.7727202078374502,-0.05119046981394959,-0.5133196945654429,0.3095608888267939
