method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
hgb_no_samples_0_3,ml,s02b_global_template_timewalk,7,9561,1.2082939188719442,1.7955884560476914,2.7185157229585784,0.016630059617194853,1.1643750897642802,1.2529073992356874,-0.5517252196863993,-0.9127411748072513,-0.3174708770041878
hgb_full,ml,s02b_global_template_timewalk,7,9561,1.214319452511004,1.7934916093861077,2.6933145828691565,0.015897918627758603,1.1659815708581096,1.2552404525373975,-0.5456996860473395,-0.9082949836474247,-0.3051713264892066
hgb_only_samples_0_3,ml,s02b_global_template_timewalk,7,9561,1.2604656128048397,1.8542927987217992,2.8236471189546606,0.019663215144859324,1.2259730769107482,1.3156118888959618,-0.49955352575350376,-0.8325531900179045,-0.25148058705370785
hgb_run_family_control,run_family_control,s02b_global_template_timewalk,7,9561,1.2706204201349482,1.8746704783567547,2.8494150934539633,0.019663215144859324,1.2176373669567704,1.3256428603080246,-0.4893987184233952,-0.8135260550523945,-0.23970595879275589
mlp_no_samples_0_3,ml,s02b_global_template_timewalk,7,9561,1.3988674887424948,2.054405088784942,3.091415172601522,0.02489279364083255,1.308841292302845,1.5069584520403552,-0.3611516498158487,-0.7268279742942862,-0.12811113529251938
ridge_full,ml,s02b_global_template_timewalk,7,9561,1.4119091490023803,1.9858152913610374,2.9910753646996895,0.0223825959627654,1.353034557962814,1.488164707081552,-0.3481099895559632,-0.7230994505834422,-0.08237514510911716
cnn1d_full,ml,s02b_global_template_timewalk,7,9561,1.4267165645634574,2.0362650171633314,3.0951453870838677,0.02489279364083255,1.337495625487333,1.4875760027544065,-0.33330257399488605,-0.7205148232052797,-0.08444719730917717
ridge_no_samples_0_3,ml,s02b_global_template_timewalk,7,9561,1.4321621572287284,1.9996032292587773,3.0230508940302343,0.023428511661960045,1.3586788548276252,1.5115709079426012,-0.32785698132961505,-0.7066883495079621,-0.06202409937513536
mlp_only_samples_0_3,ml,s02b_global_template_timewalk,7,9561,1.435755647073544,2.0524871290724396,3.1488411395961506,0.02625248404978559,1.3044128054712298,1.54373310266702,-0.3242634914847995,-0.729595167311525,-0.10195845218481102
cnn1d_only_samples_0_3,ml,s02b_global_template_timewalk,7,9561,1.4397027808911187,2.0539183065442868,3.2044429545837616,0.027193808179060766,1.322921736229682,1.5292260979588057,-0.32031635766722477,-0.7049407307162171,-0.07357300262307549
