atom_type,atom_value,method,family,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,bias_median_ns,tail_frac_global_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,tail_risk_ratio_vs_traditional,tail_risk_ratio_ci_low,tail_risk_ratio_ci_high
amplitude_atom,amp_high,hgb_no_samples_0_3,ml,1082,3246,1.229794404285681,2.345835023072982,-0.5803252383055266,0.0292667898952557,1.1742466931297844,1.2749259894017109,-0.6628584523446921,-0.7498166090138431,-0.5891534087415758,0.45893719806763283,0.36491679831490265,0.5619678401217509
amplitude_atom,amp_high,hgb_full,ml,1082,3246,1.2411892214951115,2.340347213711587,-0.584043918693812,0.028034504004929142,1.197845924868641,1.2986222835498478,-0.6514636351352616,-0.7445935721541054,-0.5579553708609255,0.43961352657004826,0.3206374034607488,0.543856206797235
amplitude_atom,amp_high,hgb_only_samples_0_3,ml,1082,3246,1.3040357984012494,2.4269558214235762,-0.5988231108398558,0.0348120764017252,1.2493016561724746,1.3611800869411974,-0.5886170582291237,-0.6704946346714616,-0.4999011085845574,0.5458937198067633,0.4409097094645166,0.6599656357388315
amplitude_atom,amp_high,hgb_run_family_control,run_family_control,1082,3246,1.3324703545292875,2.4700222260164346,-0.6551461650676025,0.0348120764017252,1.2781390876770728,1.3984847709866015,-0.5601825021010856,-0.6418807599246897,-0.48063472228398735,0.5458937198067633,0.44655666521927917,0.6418853820598006
amplitude_atom,amp_high,mlp_only_samples_0_3,ml,1082,3246,1.4670434979764706,2.6930777916860897,-0.2649046004979816,0.04066543438077634,1.422134175976482,1.5309597991541848,-0.4256093586539025,-0.5025997843791066,-0.3486946431703703,0.6376811594202898,0.5205342465753425,0.7461016451233842
amplitude_atom,amp_high,cnn1d_full,ml,1082,3246,1.4835160292615646,2.690633664146294,-0.5878690504639543,0.03820086260012323,1.4182301272747133,1.5527361983931467,-0.4091368273688085,-0.5091398153263457,-0.32525905466038385,0.5990338164251208,0.4948925314806774,0.6789522938361948
amplitude_atom,amp_high,mlp_no_samples_0_3,ml,1082,3246,1.4911466244032674,2.741432815475594,-0.47449612772927097,0.03758471965495995,1.419638383069899,1.561304518678994,-0.4015062322271057,-0.49496162030102414,-0.32329034647038574,0.5893719806763285,0.5016130567186906,0.6809740259740259
amplitude_atom,amp_high,cnn1d_only_samples_0_3,ml,1082,3246,1.4948420438905607,2.714698554750624,-0.44591905996960435,0.04251386321626617,1.430020029039164,1.5537824306506665,-0.39781081273981234,-0.48866465980081875,-0.33370461632708864,0.6666666666666666,0.5674987487487487,0.7571032509055136
amplitude_atom,amp_high,ridge_only_samples_0_3,ml,1082,3246,1.5057782302116292,2.688478972059875,-0.7635643010113249,0.035736290819470114,1.4585884343526871,1.5894128827632732,-0.3868746264187439,-0.4606008068670098,-0.29591117176993903,0.5603864734299516,0.4744396021435869,0.658496623286996
amplitude_atom,amp_high,ridge_no_samples_0_3,ml,1082,3246,1.5143535443519378,2.639114853304802,-0.6336440847582665,0.0403573629081947,1.4485328490271645,1.572454984750685,-0.3782993122784353,-0.4689517264927798,-0.3077641856272533,0.6328502415458936,0.5231961235847246,0.7433928914967296
amplitude_atom,amp_high,ridge_run_family_control,run_family_control,1082,3246,1.517460148872014,2.691522217766191,-0.7673512820043165,0.03758471965495995,1.4607487730917377,1.5754055526786102,-0.375192707758359,-0.45451860736574007,-0.30353256311419513,0.5893719806763285,0.4905051974060652,0.6636296082949308
amplitude_atom,amp_high,early_late_gated_full,ml,1082,3246,1.5237749891911179,2.736336940304569,-0.47889706004739807,0.041897720271102896,1.4548809734634578,1.593756881579178,-0.3688778674392552,-0.4465390956806902,-0.29511128742209597,0.6570048309178744,0.5591318785578748,0.7718913078930202
amplitude_atom,amp_high,ridge_full,ml,1082,3246,1.524185751434263,2.633854217525993,-0.5930503140434311,0.039433148490449786,1.4556983182837677,1.5642005925551934,-0.36846710519611015,-0.4688554265248747,-0.28519546146846275,0.6183574879227053,0.5274054018044083,0.7295516882625556
amplitude_atom,amp_high,early_late_gated_only_samples_0_3,ml,1082,3246,1.535181593865156,2.7310312967912482,-0.6359753604322407,0.03758471965495995,1.466888382265615,1.5798144890857524,-0.357471262765217,-0.4445920155622243,-0.28627300745582634,0.5893719806763285,0.48330375840405604,0.6980450350860329
amplitude_atom,amp_high,mlp_full,ml,1082,3246,1.5444964005146935,2.767674577728148,-0.634236146230112,0.041589648798521256,1.4707559063163047,1.61266993265036,-0.3481564561156796,-0.42895764046598733,-0.2574804503971323,0.6521739130434783,0.5465699152542374,0.7394420160101115
amplitude_atom,amp_high,cnn1d_no_samples_0_3,ml,1082,3246,1.5516437343681688,2.722750957260059,-0.6265254503536504,0.04343807763401109,1.4786120261428728,1.6110864907855018,-0.34100912226220426,-0.4276227811520082,-0.2596056611390215,0.6811594202898551,0.5804777742582621,0.7877097635392829
amplitude_atom,amp_high,early_late_gated_no_samples_0_3,ml,1082,3246,1.629989353918762,2.7230256001398487,-0.7075109762893135,0.04528650646950092,1.5544871241904656,1.693624554898796,-0.2626635027116111,-0.34075017480746517,-0.18128353658101148,0.7101449275362318,0.6153690046929643,0.8219836956521738
amplitude_atom,amp_high,s02b_global_template_timewalk,traditional,1082,3246,1.892652856630373,2.967404372657396,1.2789935035821607,0.06377079482439926,1.8141320219911388,1.9878355028077357,0.0,0.0,0.0,1.0,1.0,1.0
amplitude_atom,amp_low,hgb_no_samples_0_3,ml,987,2961,1.140091177284608,1.278567899124005,-0.6676082639448779,0.007767646065518406,1.090932221406081,1.1869017179515493,-0.5079545160396839,-0.5847513952533663,-0.4411348444530174,0.18699186991869918,0.07859457020997375,0.27820781461851346
amplitude_atom,amp_low,hgb_full,ml,987,2961,1.1522996641958023,1.2813756627291095,-0.6657813314365626,0.008780817291455589,1.0987282292807894,1.1995012391838722,-0.49574602912848964,-0.570975559510319,-0.4318268058719843,0.21138211382113817,0.10825657894736841,0.31667524808088365
