method,heldout_run,n,pid_auc,average_precision,balanced_accuracy,efficiency,purity,f1,brier,winner_score
1d_cnn,50,92,0.9777777777777777,0.9740708959907481,0.9125295508274232,0.9361702127659575,0.8979591836734694,0.9166666666666666,0.050645738576165854,0.10235410603884053
1d_cnn,51,92,0.9677884615384615,0.9702996748838492,0.9182692307692308,0.9615384615384616,0.9090909090909091,0.9345794392523364,0.06260441997236034,0.10060302807001309
1d_cnn,52,92,0.9611742424242424,0.9617678896985212,0.8882575757575758,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.08388894021337193,0.13659723505334292
1d_cnn,53,92,0.9273849074513527,0.8730211084291841,0.8528713811105837,0.9302325581395349,0.7843137254901961,0.851063829787234,0.1074319818654873,0.18124812361065287
1d_cnn,54,92,0.8889416231608923,0.8502323366871741,0.8310393925011865,0.9069767441860465,0.7647058823529411,0.8297872340425532,0.13020726669675192,0.21261826185691224
1d_cnn,55,92,0.950952380952381,0.9379618558574421,0.8661904761904762,0.9523809523809523,0.7843137254901961,0.8602150537634409,0.08862483466825305,0.16087049438134898
1d_cnn,56,92,0.9252380952380952,0.9184885037872121,0.8947619047619048,0.98,0.8596491228070176,0.9158878504672897,0.10896850027350462,0.13995641078266186
1d_cnn,57,92,0.9813486370157819,0.9772854727150578,0.8995695839311334,0.975609756097561,0.8163265306122449,0.8888888888888888,0.06766435090926748,0.11921164009460528
1d_cnn,58,132,0.9499540863177226,0.9411646329412174,0.8939393939393939,0.9242424242424242,0.8714285714285714,0.8970588235294118,0.07821050494317724,0.13061782366462812
1d_cnn,60,132,0.9640552995391706,0.9507041318678889,0.911520737327189,0.9516129032258065,0.8676470588235294,0.9076923076923077,0.0693061950514116,0.10940028148174688
1d_cnn,62,132,0.9225806451612902,0.8951357273928453,0.8605990783410138,0.9354838709677419,0.7945205479452054,0.8592592592592593,0.11423869836472034,0.17570253173403727
1d_cnn,64,132,0.9624999999999999,0.9601674346270984,0.8763888888888889,0.9861111111111112,0.8352941176470589,0.9044585987261147,0.08080185736734183,0.14756157545294657
1d_cnn,65,132,0.9031221303948577,0.8937094865844338,0.8333333333333333,0.9090909090909091,0.7894736842105263,0.8450704225352113,0.12024091217241166,0.20641468167028387
gradient_boosted_trees,50,92,0.9943262411347518,0.9948489242942131,0.9560283687943263,0.9787234042553191,0.9387755102040817,0.9583333333333334,0.037045880798848956,0.05380047729191077
gradient_boosted_trees,51,92,0.9826923076923076,0.9863236937984194,0.9115384615384616,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.05666192625868908,0.10435778925697987
