event_id,split,source_run,stave,is_overlap,true_t1_sample,true_t2_sample,true_amp1_adc,true_amp2_adc,true_sep_sample,true_ratio,pid_label,pid_truth_definition,pid_name,g4_entry,g4_primary_pdg,g4_primary_ekin_mev,g4_total_edep_mev,g4_dominant_edep_mev,g4_first_time_ns,g4_energy_weighted_time_ns,g4_n_sci_hits,g4_n_bstack_layers,g4_truth_stave,true_energy_proxy_adc,true_energy_mev,dedx_proxy,depth_index,shape_area_over_amp,truth_saturation_label,truth_pedestal_adc,truth_pileup_label,acquisition_run,source_file_id,acquisition_id,source_group,run_id,truth_row_id
train:50:0,train,50,B6,1,7.600776349481308,8.350776349481308,6079.80415723526,3039.90207861763,0.75,0.5,1,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,deuteron,21977,2212,103.62677840131175,36.47882494341157,36.47882494341157,12.702529520323916,12.702529520323916,1,1,B2,9119.706235852893,36.47882494341157,36.47882494341157,2.0,6.847951248080912,0,-44.32739009480491,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,0
train:50:1,train,50,B6,1,5.831769445662524,10.831769445662523,8138.584693217633,4069.292346608816,5.0,0.5,1,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,deuteron,29945,2212,102.78544414760246,48.8315081593058,48.8315081593058,12.938790376049957,12.938790376049958,1,1,B2,12207.87703982645,48.8315081593058,48.8315081593058,2.0,8.232083989849672,0,-68.71125052675829,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,1
train:50:2,train,50,B2,1,4.764264703286388,6.764264703286388,11422.254704965317,2855.563676241329,2.0,0.25,1,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,deuteron,19925,2212,52.24168230736543,57.11127352482658,34.982495773831,10.224317795908322,10.472377258679332,2,2,B4,14277.818381206644,57.11127352482658,28.55563676241329,0.0,9.29502523800762,1,-2828.877932743492,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,2
train:50:3,train,50,B6,1,5.14515175685444,11.14515175685444,6492.954163473099,6492.954163473099,6.0,1.0,0,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,proton,23070,2212,143.07145217165925,51.94363330778478,19.876107750539653,7.369122967198089,7.757717958107662,5,3,B6,12985.908326946195,51.94363330778478,17.31454443592826,2.0,9.229562773154871,0,-44.17899972959684,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,3
train:50:4,train,50,B6,1,4.835416873426015,5.585416873426015,8000.000000000001,8000.000000000001,0.75,1.0,1,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,deuteron,17832,2212,145.5339549606631,117.98676032340995,42.69804805890296,7.277539084737779,11.456695566092185,5,4,B2,16000.0,117.98676032340995,29.49669008085249,2.0,9.339819472848143,1,-25.042113664169875,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,4
train:50:5,train,50,B8,1,7.664891717871235,10.664891717871235,6851.25,3425.625,3.0,0.5,1,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,deuteron,5372,2212,59.06849156953904,61.22820652013669,39.054032199266025,10.443921263644176,10.710107145358018,2,2,B4,15307.051630034171,61.22820652013669,30.614103260068344,3.0,6.7567242866089146,0,-57.91598939682045,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,5
train:50:6,train,50,B8,1,8.785374036746894,10.785374036746894,6856.772188624495,6856.772188624495,2.0,1.0,0,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,proton,4802,2212,140.4295406123559,54.85417750899596,24.76218976411296,7.389881214157935,7.762046776398358,3,3,B6,13713.54437724899,54.85417750899596,18.284725836331987,3.0,6.874308195312276,0,-60.4109639762932,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,6
train:50:7,train,50,B2,1,7.946272118990928,8.446272118990928,8000.0,8000.0,0.5,1.0,1,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,deuteron,7540,2212,90.29908124293824,82.28084605305412,54.54477410686843,9.210217981110423,11.04743779851286,2,1,B2,16000.0,82.28084605305412,82.28084605305412,0.0,7.910454007950387,1,-1087.1721257926197,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,7
train:50:8,train,50,B8,1,5.380023594695558,6.130023594695558,8000.0,8000.0,0.75,1.0,0,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,proton,24452,2212,138.1959840747087,80.48567122053066,32.53563066249832,7.44930067244572,8.055007709847832,4,4,B8,16000.0,80.48567122053066,20.121417805132666,3.0,9.599087436959191,1,-7.323313532573878,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,8
train:50:9,train,50,B2,1,4.752745975405727,10.752745975405729,9142.857142857143,6857.142857142857,6.0,0.75,0,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,proton,11113,2212,83.28991441891674,82.8359966148823,42.16836438465741,9.675202570162725,10.530255979573244,2,1,B2,16000.0,82.8359966148823,82.8359966148823,0.0,9.283965196123695,1,-2601.517280234973,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,9
train:50:10,train,50,B6,1,8.300329604506302,11.300329604506302,3137.3181179076028,1568.6590589538014,3.0,0.5,0,geant4_sci_bar_dominant_pdg_deuteron_vs_proton,proton,13240,2212,159.88038054893482,18.82390870744561,10.86592237125416,7.064234413780802,7.178909131997397,2,2,B2,4705.977176861404,18.82390870744561,9.411954353722807,2.0,7.341932147180628,0,-99.7415027047164,1,50,hrdb_run_0050,hrdb_run_0050,raw_b_stack_run_0050,hrdb_run_0050,10
