stress,method,n_events,time_sigma68_ns,leading_edge_time_sigma68_ns,secondary_pulse_delay_sigma68_ns,pileup_miss_rate,false_split_rate,energy_proxy_distortion_sigma68
pretrigger_pedestal_clean_control,1d_cnn,360,,,,,0.1638888888888889,
pretrigger_pedestal_clean_control,causal_window_transformer_new,360,,,,,0.10277777777777777,
pretrigger_pedestal_clean_control,gradient_boosted_trees,360,,,,,0.14444444444444443,
pretrigger_pedestal_clean_control,mlp,360,,,,,0.175,
pretrigger_pedestal_clean_control,ridge,360,,,,,0.18333333333333332,
pretrigger_pedestal_clean_control,template_residual_boosted_stack_new,360,,,,,0.14722222222222223,
pretrigger_pedestal_clean_control,tiny_sequence_transformer,360,,,,,0.225,
pretrigger_pedestal_clean_control,two_pulse_template_cfd_baseline,360,,,,,0.18333333333333332,
synthetic_over_real_tight_sep_le_15ns,1d_cnn,161,10.907160600839429,7.989404704428836,6.24033041000366,0.515527950310559,,0.05581165259848188
synthetic_over_real_tight_sep_le_15ns,causal_window_transformer_new,161,11.74651530360061,14.442932003280374,14.528762626647948,0.6583850931677019,,0.09562585063294111
synthetic_over_real_tight_sep_le_15ns,gradient_boosted_trees,161,6.4490591446913745,4.109056204541124,7.12249350187146,0.40372670807453415,,0.06432029817189011
synthetic_over_real_tight_sep_le_15ns,mlp,161,9.582381888159835,8.222586411424611,12.013342270589092,0.40372670807453415,,0.09397249219755599
synthetic_over_real_tight_sep_le_15ns,ridge,161,11.056800813708705,6.064734506201428,9.989775633589618,0.36024844720496896,,0.055732918108742424
synthetic_over_real_tight_sep_le_15ns,template_residual_boosted_stack_new,161,7.052362626895883,4.989344530135996,6.532188234712144,0.39751552795031053,,0.06017867236292806
synthetic_over_real_tight_sep_le_15ns,tiny_sequence_transformer,161,10.079971608420008,10.538449640390672,9.795282649993894,0.4161490683229814,,0.08436748980538122
synthetic_over_real_tight_sep_le_15ns,two_pulse_template_cfd_baseline,161,13.038983091213268,6.543150008806061,20.35,0.7080745341614907,,0.09868066743080374
synthetic_over_real_saturated_sum_gt_11000adc,1d_cnn,8,11.352126104554225,11.669122233235369,22.18072671890259,0.125,,0.09817805901932053
synthetic_over_real_saturated_sum_gt_11000adc,causal_window_transformer_new,8,11.557155182300187,12.066068618080717,14.454141330718995,0.125,,0.051505876190793415
synthetic_over_real_saturated_sum_gt_11000adc,gradient_boosted_trees,8,9.7953269661892,10.098442551154438,14.383699468445421,0.0,,0.07624651321614748
synthetic_over_real_saturated_sum_gt_11000adc,mlp,8,6.1436265059786805,8.103177083360325,8.55236402759725,0.0,,0.1417579178840622
synthetic_over_real_saturated_sum_gt_11000adc,ridge,8,12.927089094799818,8.704096743235741,19.252588306994465,0.0,,0.06578699549055317
synthetic_over_real_saturated_sum_gt_11000adc,template_residual_boosted_stack_new,8,8.58454948570111,13.01275331396032,14.008121699909578,0.0,,0.03431797055549746
synthetic_over_real_saturated_sum_gt_11000adc,tiny_sequence_transformer,8,7.390940240912302,4.687668411364282,8.175558710098267,0.125,,0.11518727060438676
synthetic_over_real_saturated_sum_gt_11000adc,two_pulse_template_cfd_baseline,8,13.158566565067744,4.06555769905267,18.250000000000004,0.5,,0.04652455132916523
