fold_name,method,alpha,fold,val_mse
holdout_sample_i,ridge_handles,1000.0,single_train_run,
holdout_sample_ii,ridge_handles,10.0,1,0.015953588709110497
holdout_sample_ii,ridge_handles,10.0,2,0.02380822021653131
holdout_sample_ii,ridge_handles,10.0,3,0.03176190456099412
holdout_sample_ii,ridge_handles,10.0,4,0.0301789141592622
holdout_sample_ii,ridge_handles,10.0,5,0.03971983783162017
holdout_sample_ii,ridge_handles,10.0,mean,0.02828449309550366
holdout_sample_ii,ridge_handles,30.0,1,0.01695562887223566
holdout_sample_ii,ridge_handles,30.0,2,0.025483362642216414
holdout_sample_ii,ridge_handles,30.0,3,0.033748362071577026
holdout_sample_ii,ridge_handles,30.0,4,0.03223779530712086
holdout_sample_ii,ridge_handles,30.0,5,0.04249031253142435
holdout_sample_ii,ridge_handles,30.0,mean,0.030183092284914864
holdout_sample_ii,ridge_handles,100.0,1,0.01747166343222418
holdout_sample_ii,ridge_handles,100.0,2,0.026410256069825003
holdout_sample_ii,ridge_handles,100.0,3,0.03492721343681021
holdout_sample_ii,ridge_handles,100.0,4,0.03348358630768388
holdout_sample_ii,ridge_handles,100.0,5,0.04405511150493567
holdout_sample_ii,ridge_handles,100.0,mean,0.03126956615029579
holdout_sample_ii,ridge_handles,300.0,1,0.01770415065081149
holdout_sample_ii,ridge_handles,300.0,2,0.02673929111456578
holdout_sample_ii,ridge_handles,300.0,3,0.03557225488749889
holdout_sample_ii,ridge_handles,300.0,4,0.034100822560934135
holdout_sample_ii,ridge_handles,300.0,5,0.04478135859670256
holdout_sample_ii,ridge_handles,300.0,mean,0.03177957556210258
holdout_sample_ii,ridge_handles,1000.0,1,0.017845293515914216
holdout_sample_ii,ridge_handles,1000.0,2,0.026849993613620324
holdout_sample_ii,ridge_handles,1000.0,3,0.036430910955673745
holdout_sample_ii,ridge_handles,1000.0,4,0.0347604390586412
holdout_sample_ii,ridge_handles,1000.0,5,0.045580151847613055
holdout_sample_ii,ridge_handles,1000.0,mean,0.0322933577982925
holdout_sample_ii,ridge_handles,3000.0,1,0.017718155796137697
holdout_sample_ii,ridge_handles,3000.0,2,0.026919415281152055
holdout_sample_ii,ridge_handles,3000.0,3,0.03773855132507733
holdout_sample_ii,ridge_handles,3000.0,4,0.03576152195473859
holdout_sample_ii,ridge_handles,3000.0,5,0.046855906367728774
holdout_sample_ii,ridge_handles,3000.0,mean,0.032998710144966886
holdout_sample_ii,ridge_handles,10000.0,1,0.017184551636532968
holdout_sample_ii,ridge_handles,10000.0,2,0.02715971237636935
holdout_sample_ii,ridge_handles,10000.0,3,0.03986216452194952
holdout_sample_ii,ridge_handles,10000.0,4,0.03751521739633678
holdout_sample_ii,ridge_handles,10000.0,5,0.04921438771322249
holdout_sample_ii,ridge_handles,10000.0,mean,0.03418720672888222
