fold_name,stave,amp_bin,rise_bin,tail_bin,n_train,source
holdout_sample_i,B2,0,0,0,250,handle_cell
holdout_sample_i,B2,0,0,1,27,amp_fallback
holdout_sample_i,B2,0,0,2,12,amp_fallback
holdout_sample_i,B2,0,1,0,195,handle_cell
holdout_sample_i,B2,0,1,1,95,handle_cell
holdout_sample_i,B2,0,1,2,10,amp_fallback
holdout_sample_i,B2,0,2,0,298,handle_cell
holdout_sample_i,B2,0,2,1,217,handle_cell
holdout_sample_i,B2,0,2,2,30,amp_fallback
holdout_sample_i,B2,1,0,0,254,handle_cell
holdout_sample_i,B2,1,0,1,35,amp_fallback
holdout_sample_i,B2,1,0,2,15,amp_fallback
holdout_sample_i,B2,1,1,0,191,handle_cell
holdout_sample_i,B2,1,1,1,135,handle_cell
holdout_sample_i,B2,1,1,2,41,amp_fallback
holdout_sample_i,B2,1,2,0,437,handle_cell
holdout_sample_i,B2,1,2,1,483,handle_cell
holdout_sample_i,B2,1,2,2,94,handle_cell
holdout_sample_i,B2,2,0,0,322,handle_cell
holdout_sample_i,B2,2,0,1,22,amp_fallback
holdout_sample_i,B2,2,0,2,21,amp_fallback
holdout_sample_i,B2,2,1,0,428,handle_cell
holdout_sample_i,B2,2,1,1,225,handle_cell
holdout_sample_i,B2,2,1,2,153,handle_cell
holdout_sample_i,B2,2,2,0,556,handle_cell
holdout_sample_i,B2,2,2,1,965,handle_cell
holdout_sample_i,B2,2,2,2,215,handle_cell
holdout_sample_i,B2,3,0,0,346,handle_cell
holdout_sample_i,B2,3,0,1,372,handle_cell
holdout_sample_i,B2,3,0,2,444,handle_cell
holdout_sample_i,B2,3,1,0,221,handle_cell
holdout_sample_i,B2,3,1,1,545,handle_cell
holdout_sample_i,B2,3,1,2,978,handle_cell
holdout_sample_i,B2,3,2,0,71,handle_cell
holdout_sample_i,B2,3,2,1,180,handle_cell
holdout_sample_i,B2,3,2,2,137,handle_cell
holdout_sample_i,B2,4,0,0,175,handle_cell
holdout_sample_i,B2,4,0,1,465,handle_cell
holdout_sample_i,B2,4,0,2,665,handle_cell
holdout_sample_i,B2,4,1,0,28,amp_fallback
holdout_sample_i,B2,4,1,1,64,handle_cell
holdout_sample_i,B2,4,1,2,461,handle_cell
holdout_sample_i,B2,4,2,0,34,amp_fallback
holdout_sample_i,B2,4,2,1,58,handle_cell
holdout_sample_i,B2,4,2,2,48,amp_fallback
holdout_sample_i,B2,5,0,0,89,handle_cell
holdout_sample_i,B2,5,0,1,409,handle_cell
holdout_sample_i,B2,5,0,2,128,handle_cell
holdout_sample_i,B2,5,1,0,19,amp_fallback
holdout_sample_i,B2,5,1,1,95,handle_cell
holdout_sample_i,B2,5,1,2,48,amp_fallback
holdout_sample_i,B2,5,2,0,45,amp_fallback
holdout_sample_i,B2,5,2,1,30,amp_fallback
holdout_sample_i,B2,5,2,2,26,amp_fallback
holdout_sample_i,B2,6,0,0,0,amp_fallback
holdout_sample_i,B2,6,0,1,0,amp_fallback
holdout_sample_i,B2,6,0,2,0,amp_fallback
holdout_sample_i,B2,6,1,0,0,amp_fallback
holdout_sample_i,B2,6,1,1,0,amp_fallback
holdout_sample_i,B2,6,1,2,0,amp_fallback
holdout_sample_i,B2,6,2,0,0,amp_fallback
holdout_sample_i,B2,6,2,1,0,amp_fallback
holdout_sample_i,B2,6,2,2,0,amp_fallback
holdout_sample_i,B2,7,0,0,0,amp_fallback
holdout_sample_i,B2,7,0,1,0,amp_fallback
holdout_sample_i,B2,7,0,2,0,amp_fallback
holdout_sample_i,B2,7,1,0,0,amp_fallback
holdout_sample_i,B2,7,1,1,0,amp_fallback
holdout_sample_i,B2,7,1,2,0,amp_fallback
holdout_sample_i,B2,7,2,0,0,amp_fallback
holdout_sample_i,B2,7,2,1,0,amp_fallback
holdout_sample_i,B2,7,2,2,0,amp_fallback
holdout_sample_i,B4,0,0,0,80,handle_cell
holdout_sample_i,B4,0,0,1,1,amp_fallback
holdout_sample_i,B4,0,0,2,5,amp_fallback
holdout_sample_i,B4,0,1,0,20,amp_fallback
holdout_sample_i,B4,0,1,1,7,amp_fallback
holdout_sample_i,B4,0,1,2,13,amp_fallback
holdout_sample_i,B4,0,2,0,16,amp_fallback
holdout_sample_i,B4,0,2,1,19,amp_fallback
