method,metric,value,ci_low,ci_high,n,positive_rate
1d_cnn,roc_auc,0.9792676090879359,0.9745135885234473,0.9837663569372105,16234,0.23426142663545646
1d_cnn,average_precision,0.9274705635902581,0.9057648513657266,0.9467489145871123,16234,0.23426142663545646
1d_cnn,brier,0.04256973262369172,0.0382665370089017,0.04732351486695429,16234,0.23426142663545646
1d_cnn,ece,0.06353107985025866,0.05742390093680081,0.06974573740712427,16234,0.23426142663545646
amplitude_only_sentinel,roc_auc,0.6809330038059361,0.6427182423432529,0.7113110630139952,16234,0.23426142663545646
amplitude_only_sentinel,average_precision,0.3993448056890729,0.3447546598953092,0.44588653055858296,16234,0.23426142663545646
amplitude_only_sentinel,brier,0.1563199660827576,0.1397983611217992,0.1737661119471991,16234,0.23426142663545646
amplitude_only_sentinel,ece,0.09786306867647951,0.08494129185880163,0.11235440045965119,16234,0.23426142663545646
gradient_boosted_trees,roc_auc,0.9999634591993257,0.9999199663911682,0.9999948147870992,16234,0.23426142663545646
gradient_boosted_trees,average_precision,0.999855912496005,0.9996971092951444,0.9999795422580233,16234,0.23426142663545646
gradient_boosted_trees,brier,0.0006867016275162589,0.00038014017919735097,0.0010098921316111442,16234,0.23426142663545646
gradient_boosted_trees,ece,0.0012018247537252588,0.0007694971334883027,0.0017106927706838642,16234,0.23426142663545646
mlp,roc_auc,0.9999974283167624,0.9999944649571837,0.9999995678712256,16234,0.23426142663545646
mlp,average_precision,0.9999914702103704,0.9999824893165727,0.9999988108686604,16234,0.23426142663545646
mlp,brier,0.0005835627276031957,0.00030981599677864846,0.0009714981622683473,16234,0.23426142663545646
mlp,ece,0.003908113549251715,0.003479614777108035,0.0042898567946069825,16234,0.23426142663545646
ridge_logistic,roc_auc,0.9998590556730093,0.9995771670190274,1.0,16234,0.23426142663545646
ridge_logistic,average_precision,0.9998881932021468,0.9996645796064401,1.0,16234,0.23426142663545646
ridge_logistic,brier,0.00013301079501726784,1.2116401978117697e-06,0.0003470479176657415,16234,0.23426142663545646
ridge_logistic,ece,0.00023574207005050968,8.226515119231119e-05,0.0004447527240365304,16234,0.23426142663545646
run_only_sentinel,roc_auc,0.5,0.5,0.5,16234,0.23426142663545646
run_only_sentinel,average_precision,0.2142045797268563,0.181433284925403,0.24624975837764954,16234,0.23426142663545646
run_only_sentinel,brier,0.1696730800074924,0.15424967173988227,0.18343169853019628,16234,0.23426142663545646
run_only_sentinel,ece,0.07834137759132755,0.05958217321055252,0.09881809670516335,16234,0.23426142663545646
shape_gated_cnn,roc_auc,0.9931992357594921,0.9909361573640577,0.9951358180261455,16234,0.23426142663545646
shape_gated_cnn,average_precision,0.9711985282505948,0.9612621518935727,0.9790680267362097,16234,0.23426142663545646
shape_gated_cnn,brier,0.018869472534747914,0.014743931396102961,0.022739217092130514,16234,0.23426142663545646
shape_gated_cnn,ece,0.0189262394360257,0.016772280896373098,0.021187289351384447,16234,0.23426142663545646
shuffled_label_sentinel,roc_auc,0.4640112838453085,0.40209498466431115,0.5154889275790765,16234,0.23426142663545646
shuffled_label_sentinel,average_precision,0.3569750232782107,0.2987881923509798,0.41459495421709297,16234,0.23426142663545646
shuffled_label_sentinel,brier,0.16895631355583118,0.154633149883881,0.18410297813317672,16234,0.23426142663545646
shuffled_label_sentinel,ece,0.10840224105135285,0.08589601704886322,0.1327494330781084,16234,0.23426142663545646
topology_only_sentinel,roc_auc,0.6133553648232416,0.5630173341416784,0.6629529751990184,16234,0.23426142663545646
topology_only_sentinel,average_precision,0.31072148485937956,0.2513563215205569,0.3664980442822546,16234,0.23426142663545646
topology_only_sentinel,brier,0.1477852210278898,0.12885203391523084,0.16442756483739732,16234,0.23426142663545646
topology_only_sentinel,ece,0.06986200135637043,0.05511043979862225,0.08481100449273817,16234,0.23426142663545646
traditional_atom_score,roc_auc,0.9644216608438573,0.9560692421552277,0.9742317316596318,16234,0.23426142663545646
traditional_atom_score,average_precision,0.9361041829976017,0.9205167864932345,0.9498709932455568,16234,0.23426142663545646
traditional_atom_score,brier,0.035256999803761756,0.02997895205991618,0.041400773387997414,16234,0.23426142663545646
traditional_atom_score,ece,0.05617132107003133,0.05204345769370702,0.06024262263519536,16234,0.23426142663545646
