row_id,run,event_index,group,stave,stave_index,amplitude_adc,peak_sample,area_over_peak,tail_fraction,late_fraction,early_fraction,final_fraction,width50,width20,max_down_step,asymmetry,peak_group,manual_flag,log_amplitude,event_selected_staves,downstream_stave,early_peak_atom,late_peak_atom,low_area_atom,large_drop_atom,tail_atom,pretrigger_proxy_atom,delayed_peak_atom,saturation_proxy_atom,consensus_label,consensus_curated_any,p09_taxon,p09_curated_atom,waveform_abs_second_diff,consensus_failure_fresh_target
0,31,268,sample_i_calib,B2,0,7916.5,5.0,8.083244,0.3133409,0.5140957,0.083441414,0.43080908,8.0,14.0,-0.20918334,0.35913643,prepeak_4_5,nominal,8.976830778412795,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.8199961,0
1,31,354,sample_i_calib,B4,1,1279.0,17.0,0.68569195,1.3124287,1.1345496,-0.010262257,1.0,1.0,1.0,-0.019546522,1.2041049,late_10_17,late_peak,7.154615356913663,1,0,0,1,1,0,1,0,1,0,,,not_in_p09b_gallery,0,1.0078187,1
2,31,356,sample_i_calib,B4,1,3290.5,17.0,1.7383376,0.970979,0.9873252,-0.0014860139,1.0,2.0,2.0,-0.003950767,0.983479,late_10_17,late_peak,8.099098666907931,1,0,0,1,1,0,1,0,1,0,,,not_in_p09b_gallery,0,0.49627718,1
3,31,537,sample_i_calib,B4,1,4271.0,6.0,9.493093,0.33217412,0.58021957,0.038081147,0.3247483,10.0,14.0,-0.17653942,0.45660377,nominal_6_9,nominal,8.35983738064003,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.7878718,0
4,31,578,sample_i_calib,B4,1,3360.0,15.0,3.5244045,0.99366665,0.99746674,0.00076000683,0.9068452,4.0,4.0,-0.08333337,0.9958622,late_10_17,late_peak,8.119993827725105,1,0,0,1,0,0,1,0,1,0,,,not_in_p09b_gallery,0,1.0916667,1
5,31,864,sample_i_calib,B2,0,2399.0,8.0,7.1238017,0.22785254,0.56588644,0.004739614,0.08336807,7.0,10.0,-0.15464777,0.43341136,nominal_6_9,nominal,7.783224016336037,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.0925386,0
6,31,1278,sample_i_calib,B4,1,1943.0,17.0,1.0211014,1.078125,1.0443549,-0.009072581,1.0,1.0,1.0,-0.0051466804,1.0670364,late_10_17,late_peak,7.572502985020384,1,0,0,1,1,0,1,0,1,0,,,not_in_p09b_gallery,0,0.9135357,1
7,31,1407,sample_i_calib,B4,1,2028.5,9.0,7.1934924,0.309142,0.6844503,0.0006510417,0.10672911,7.0,10.0,-0.1523293,0.54478484,nominal_6_9,nominal,7.615544736278952,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.0165145,0
8,31,1428,sample_i_calib,B4,1,3760.0,6.0,9.395744,0.31235847,0.5889946,0.027994791,0.2824468,9.0,14.0,-0.23191488,0.46702328,nominal_6_9,nominal,8.232440158470336,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.8728725,0
9,31,1824,sample_i_calib,B2,0,5061.0,5.0,9.1128235,0.30173466,0.54115355,0.07619254,0.28650466,10.0,14.0,-0.16538233,0.3823721,prepeak_4_5,nominal,8.529516941105069,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.65738,0
10,31,1832,sample_i_calib,B4,1,3960.5,8.0,8.766822,0.46954295,0.7602748,0.0006192218,0.39275345,10.0,12.0,-0.22800153,0.6567639,nominal_6_9,nominal,8.284378020405297,1,0,0,0,0,0,1,0,0,0,,,not_in_p09b_gallery,0,2.0136347,0
11,31,1902,sample_i_calib,B4,1,3457.5,16.0,3.0947218,0.9970093,0.9984578,0.00051401864,0.91178596,3.0,4.0,-0.08821404,0.9972429,late_10_17,late_peak,8.14859024804064,1,0,0,1,0,0,1,0,1,0,,,not_in_p09b_gallery,0,1.334201,1
12,31,1974,sample_i_calib,B2,0,4566.5,6.0,9.104347,0.29813585,0.5541912,0.047420327,0.26201686,9.0,14.0,-0.21285447,0.4192303,nominal_6_9,nominal,8.426721288252162,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.8743019,0
13,31,1987,sample_i_calib,B2,0,1737.5,8.0,7.3007197,0.28553408,0.6507291,-0.0002759164,0.10733813,8.0,10.0,-0.13755393,0.517501,nominal_6_9,nominal,7.460777951447916,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.025036,0
14,31,2024,sample_i_calib,B2,0,4397.0,7.0,8.838526,0.3900111,0.66363895,0.0007976739,0.31703433,9.0,13.0,-0.23902664,0.5790341,nominal_6_9,nominal,8.388905171114706,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,2.268365,0
15,31,2104,sample_i_calib,B4,1,2699.0,8.0,7.64172,0.20189089,0.5004121,0.029575756,0.10300111,8.0,11.0,-0.14894408,0.35316363,nominal_6_9,nominal,7.90100705199242,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.1708041,0
16,31,2120,sample_i_calib,B2,0,2019.5,8.0,7.1606827,0.29237258,0.669767,0.0002420303,0.09680614,7.0,10.0,-0.15449369,0.5298735,nominal_6_9,nominal,7.611100284518528,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.053231,0
17,31,2219,sample_i_calib,B4,1,4441.0,11.0,6.5539293,0.7558579,0.99508697,3.435718e-05,0.7201081,8.0,8.0,-0.14906555,0.9852952,late_10_17,nominal,8.398860004454372,1,0,0,1,0,0,1,0,1,0,,,not_in_p09b_gallery,0,1.3204235,1
18,31,2323,sample_i_calib,B4,1,1560.5,9.0,7.057994,0.32104596,0.7169512,-0.0015888871,0.09836591,7.0,10.0,-0.15443769,0.57685673,nominal_6_9,nominal,7.353402176723133,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.1169497,0
19,31,2447,sample_i_calib,B4,1,1701.0,7.0,7.753086,0.16386111,0.44578403,0.07817713,0.10523222,7.0,10.0,-0.15931803,0.25826514,nominal_6_9,nominal,7.43955930913332,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.031746,0
20,31,2544,sample_i_calib,B4,1,2530.5,6.0,7.595732,0.16518393,0.43012848,0.07333125,0.0970164,7.0,10.0,-0.13831258,0.2541231,nominal_6_9,nominal,7.836567291409964,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.1393005,0
21,31,2754,sample_i_calib,B2,0,7168.5,6.0,7.918393,0.3506509,0.5778147,0.012975,0.44842017,8.0,13.0,-0.2028318,0.48550108,nominal_6_9,nominal,8.877591196155095,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.9277396,0
22,31,2786,sample_i_calib,B2,0,5740.0,6.0,8.383798,0.36211374,0.6065914,0.007605511,0.33083624,11.0,13.0,-0.20017421,0.5166552,nominal_6_9,nominal,8.655388690167637,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.637805,0
23,31,3168,sample_i_calib,B4,1,2428.0,13.0,6.068369,0.82530206,1.0029185,-0.00013574038,0.5848435,7.0,8.0,-0.11902797,1.001018,late_10_17,late_peak,7.795234929002173,1,0,0,1,0,0,1,0,1,0,,,not_in_p09b_gallery,0,1.0844314,1
24,31,3346,sample_i_calib,B2,0,9305.0,6.0,7.1111226,0.3182306,0.532878,0.011017243,0.4020419,6.0,13.0,-0.2464267,0.44720337,nominal_6_9,nominal,9.138414632404594,1,0,0,0,0,0,0,0,0,1,,,not_in_p09b_gallery,0,1.9487371,0
25,31,3379,sample_i_calib,B2,0,7221.5,5.0,8.475109,0.33073542,0.54267764,0.055005476,0.47019318,8.0,14.0,-0.21214432,0.41350093,prepeak_4_5,nominal,8.88495643234039,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.819428,0
26,31,3390,sample_i_calib,B2,0,5330.0,7.0,8.512758,0.3857801,0.6391025,0.0014546094,0.3521576,10.0,13.0,-0.1619137,0.5553964,nominal_6_9,nominal,8.581294116822761,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.8519697,0
27,31,3429,sample_i_calib,B2,0,6664.0,6.0,8.173469,0.36050528,0.5926049,0.0097488435,0.42391956,10.0,13.0,-0.21203482,0.5033782,nominal_6_9,nominal,8.804625232612809,1,0,0,0,0,0,0,0,0,0,,,not_in_p09b_gallery,0,1.9339736,0
28,31,3446,sample_i_calib,B4,1,6180.0,5.0,8.570388,0.33025587,0.53582555,0.07820259,0.37847897,10.0,14.0,-0.19805825,0.38444257,prepeak_4_5,nominal,8.729235349659273,1,0,0,0,0,0,0,0,0,1,,,not_in_p09b_gallery,0,1.8328481,0
29,31,3512,sample_i_calib,B4,1,3888.0,15.0,3.5722737,0.99560803,0.9929441,0.0044639646,0.8058128,4.0,4.0,-0.14171809,0.98891205,late_10_17,late_peak,8.265907334155747,1,0,0,1,0,0,1,0,1,0,,,not_in_p09b_gallery,0,1.3672839,1
