method,metric,delta,ci_low,ci_high
ridge_logistic,average_precision,0.06378401020454494,0.047411256793586966,0.07784671590966345
ridge_logistic,roc_auc,0.03543739482915182,0.02676328121278302,0.04489183741924379
ridge_logistic,brier,-0.03512398900874449,-0.04161218119131802,-0.029176048799360456
ridge_logistic,ece,-0.05593557899998082,-0.060125923989385384,-0.05197081810793309
gradient_boosted_trees,average_precision,0.06375172949840323,0.048953883045510425,0.08024829728475681
gradient_boosted_trees,roc_auc,0.035541798355468286,0.026544360252919456,0.04456881165688232
gradient_boosted_trees,brier,-0.034570298176245504,-0.040268379877720396,-0.028863228812101648
gradient_boosted_trees,ece,-0.05496949631630607,-0.059160641766924066,-0.05086349552027777
mlp,average_precision,0.06388728721276857,0.04757093640982407,0.08003224827922466
mlp,roc_auc,0.03557576747290508,0.02635381214141157,0.04443857691335643
mlp,brier,-0.03467343707615857,-0.04107449369535878,-0.029184354289765107
mlp,ece,-0.05226320752077962,-0.05687221951723415,-0.0480030939085598
1d_cnn,average_precision,-0.008633619407343623,-0.031280355550511695,0.013163687967641596
1d_cnn,roc_auc,0.01484594824407867,0.004992021234483834,0.024718698640263662
1d_cnn,brier,0.007312732819929962,0.0011137604299422698,0.012364015553872057
1d_cnn,ece,0.007359758780227338,-0.00011339595914669998,0.01655844397424162
shape_gated_cnn,average_precision,0.03509434525299312,0.023189059055702534,0.04857425204850563
shape_gated_cnn,roc_auc,0.0287775749156348,0.02170390856410631,0.036944606824835365
shape_gated_cnn,brier,-0.016387527269013845,-0.019631382532466598,-0.012917754363415085
shape_gated_cnn,ece,-0.03724508163400563,-0.04144912340683758,-0.033118168300186955
