method,n_eval,brier,log_loss,ece_10bin,auc,calibration_slope,calibration_intercept,true_high_minus_low_downstream,pred_high_minus_low_downstream,abs_delta_error,pred_high_over_low,true_high_over_low,brier_ci_low,brier_ci_high,log_loss_ci_low,log_loss_ci_high,ece_10bin_ci_low,ece_10bin_ci_high,auc_ci_low,auc_ci_high,abs_delta_error_ci_low,abs_delta_error_ci_high,pred_high_minus_low_downstream_ci_low,pred_high_minus_low_downstream_ci_high,pred_high_over_low_ci_low,pred_high_over_low_ci_high
amplitude_only_ridge_control,32559,0.026124212106564584,0.12044718825694051,0.0015314198700885195,0.6246429297035455,0.8999955114349435,-0.37570364326556094,0.013817214789343817,0.0026274130624561673,0.01118980172688765,1.0955336956830912,1.8601893520816983,0.020966342300949303,0.03194418715813867,0.10116331711803214,0.14246866238559075,0.0008388478407519236,0.005825586102423746,0.5975853254650922,0.6539494832250696,0.006972646280353623,0.017985275949762243,-0.00023599914893252492,0.005824161872828425,0.9914295883436797,1.212309176623581
cnn1d,32559,0.025747070419015725,0.11726940083964632,0.001420912160151115,0.6693268371138706,0.8952611932819512,-0.3523969530530103,0.013817214789343817,0.003504422276457888,0.01031279251288593,1.135194524289128,1.8601893520816983,0.020475110664714535,0.030999094853360876,0.09752607670523013,0.13675258887954037,0.0007693653760985786,0.0057751817384543245,0.6449721387692224,0.686912423112192,0.005713682609774297,0.014161859925689071,-0.0005889789660445619,0.012142878545847892,0.9787224751067801,1.625767431647441
cwola_only_ridge_control,32559,0.02795133283853589,0.14060824973454175,0.0005466493991913389,0.49482958058852583,0.04131682005970785,-3.3634721099506355,0.013817214789343817,0.0015129894755683895,0.012304225313775428,1.0567065302465777,1.8601893520816983,0.021840423163740172,0.034000405163620996,0.11416816546844855,0.16735090904878044,0.00012101406031916212,0.01120503755902633,0.460670759870569,0.5511464615164738,0.0005975197926355101,0.024075685632740845,-0.006264765246048902,0.018808429848362777,0.7902774275740313,2.440890918809886
gradient_boosted_trees,32559,0.024045406377713848,0.11566623799213437,0.017451478970206574,0.7941737364923476,0.539997250123578,-0.8977509958079227,0.013817214789343817,0.005706904898853071,0.008110309890490747,1.2826644687953646,1.8601893520816983,0.018840587196808135,0.029273508760040895,0.08949866710648477,0.14180397321292318,0.01241182061881424,0.022905347740787663,0.7708511104513741,0.8286507819024449,0.004732528419559826,0.009937813116034257,-0.001177004055300714,0.016472975612325032,0.9458582887632903,2.208983468599289
hybrid_cnn_score_gate,32559,0.025493299817437896,0.1192032607805467,0.0018534066458418563,0.6943172656662902,0.7804025498605944,-0.6580172295809114,0.013817214789343817,0.0031757387686214555,0.010641476020722362,1.1295095798271402,1.8601893520816983,0.020622461467900834,0.030388696187957726,0.0997760979001373,0.1398217210111615,0.0008003115708483278,0.005858964219549928,0.669231490148871,0.7136076555141606,0.006311317080677616,0.01416232524081618,-0.0010633911646380648,0.012133551304795301,0.9586864546065238,1.6681733869516775
mlp,32559,0.026498334542438648,0.12356958394313204,0.007325469210683749,0.6987975369134575,0.6227866770241639,-1.2621208752526833,0.013817214789343817,-0.0007551211155284593,0.014572335904872277,0.9779560160008279,1.8601893520816983,0.0210890054781755,0.03205340508400487,0.10114842073961527,0.1455932077294848,0.005487016009223258,0.011739836729884531,0.6681571297042727,0.7195747531175763,0.0007026586713775292,0.02087358113705299,-0.009166321789959218,0.018520301924745148,0.7507757793898899,1.972710058122782
ridge,32559,0.02587869705992581,0.11507766771101195,0.00560486987065117,0.7346843906620787,0.8391870172238176,-0.45009247702004845,0.013817214789343817,0.005655822608940694,0.008161392180403123,1.2515323572083483,1.8601893520816983,0.020703952940318605,0.031511844111731774,0.09552078637965364,0.1358418906884743,0.0017731394608464022,0.01022139284922148,0.7218893531902404,0.7494328068870506,0.00506796787540921,0.013343559417929755,0.001435149360955624,0.010609777538665119,1.0630600311388343,1.482908524290899
shuffled_current_control,32559,0.02763633079791329,0.13566041563970943,0.001026975680506678,0.530072058962159,-0.01816379116543386,-3.59553621035779,0.013817214789343817,-0.007695623464421247,0.021512838253765064,0.7822733006123914,1.8601893520816983,0.021496843593001597,0.03361623895678645,0.1092064154891031,0.16334984121948315,0.0005444659549063309,0.009236004893075425,0.46994603182694034,0.603023387951441,0.0059832437088634186,0.030551616596868374,-0.013792203487394905,0.008924409744235246,0.6477885150774292,1.4298558722356656
topology_rate_only_control,32559,0.027731583295173216,0.1298048326199236,0.0003172246849878248,0.4961797417461791,0.3548521806703689,-2.273487299849928,0.013817214789343817,0.017177163051798408,0.003359948262454591,2.286879879934858,1.8601893520816983,0.02182982561204525,0.0338121766490436,0.10755093313927608,0.15179207896964636,0.00014847410795293324,0.00766291738718331,0.44724771944716013,0.5555474284056202,0.00034816040812075494,0.013060754985746178,0.010469700348963933,0.019752213069710194,1.5542782537686832,2.6664663461549067
traditional_stratified,32559,0.02741143349786155,0.12475531826305215,0.0012854868692998226,0.671124465572907,0.7230432035362945,-0.9412836998288369,0.013817214789343817,-0.0011708414290127166,0.014988056218356534,0.9620779744279111,1.8601893520816983,0.021966149537758863,0.03339694096972437,0.10350230300836104,0.1486892436894804,0.0011437617868608604,0.0051615118302328605,0.6370100864220809,0.6990668521108101,0.010959365286164594,0.02455954453739218,-0.0066779044498794845,0.0029920750268674534,0.8007235977937103,1.0987056749889652
