method,observed_detection_ap,shuffled_detection_ap,observed_detection_auc,shuffled_detection_auc,shuffled_energy_residual_sigma68
1d_cnn,0.7877104988131993,0.5250862999013923,0.7864723378941105,0.522355740630577,0.80234110680146
analytic_clipped_template_sideband_traditional,0.6660365700231841,0.5029837966714251,0.6157317073170732,0.5219214753123141,0.9842853715688241
gradient_boosted_trees,0.8198394247996845,0.4916828287750571,0.8067340868530637,0.4870255800118976,0.74904467083077
mlp,0.7943928717436513,0.48145041477946016,0.7876918500892326,0.478488994646044,0.7994860988466914
ridge,0.813022455628775,0.49246303970663324,0.8149672813801309,0.4833908387864367,0.7932333542032219
saturation_residual_fusion_new,0.8389850787875618,0.5247042183668639,0.8232183224271267,0.5198572278405711,0.8503251130306396
tiny_sequence_transformer,0.7719017564532799,0.5065854105647009,0.771915526472338,0.4989767995240928,0.8597402157549489
