method,score_threshold,accepted_fraction,accepted_positive_fraction,energy_residual_sigma68,delay_sigma68_ns,timing_tail_abs_gt_15ns
1d_cnn,0.0002792383602354,1.0,1.0,0.13455851823873438,17.28164005279541,0.3975609756097561
1d_cnn,0.2134643942117691,0.75,0.8926829268292683,0.11231749867489657,17.3341703414917,0.39617486338797814
1d_cnn,0.49945497512817383,0.5,0.7268292682926829,0.1115488138307161,17.367855072021484,0.43288590604026844
1d_cnn,0.5,0.49878048780487805,0.7268292682926829,0.1115488138307161,17.367855072021484,0.43288590604026844
1d_cnn,0.7597769796848297,0.25,0.424390243902439,0.11289682824326303,20.35231409072876,0.5804597701149425
1d_cnn,0.8939543843269349,0.1,0.17804878048780487,0.13450517558944858,21.146132469177253,0.684931506849315
analytic_clipped_template_sideband_traditional,0.0,1.0,1.0,0.5546720745415695,22.500000000000004,0.2121951219512195
analytic_clipped_template_sideband_traditional,0.5,0.3024390243902439,0.4170731707317073,0.089701077629539,15.999999999999982,0.3508771929824561
analytic_clipped_template_sideband_traditional,0.8761563889936542,0.25,0.36585365853658536,0.08706384581845214,15.000000000000004,0.32
analytic_clipped_template_sideband_traditional,0.9995053898783433,0.1,0.17804878048780487,0.08241797257317084,10.000000000000004,0.1232876712328767
gradient_boosted_trees,0.0068039622624402,1.0,1.0,0.08186933311268918,11.788422227834701,0.24146341463414633
gradient_boosted_trees,0.10488075451948242,0.75,0.9048780487804878,0.07314198946386541,11.944440696111,0.24258760107816713
gradient_boosted_trees,0.425057399645576,0.5,0.7414634146341463,0.06966003892304332,11.544824217853247,0.21710526315789475
gradient_boosted_trees,0.5,0.45975609756097563,0.6902439024390243,0.0698525833600841,10.873886003165854,0.1978798586572438
gradient_boosted_trees,0.8233969530450889,0.25,0.43902439024390244,0.06653129661787749,10.37005403584142,0.17222222222222222
gradient_boosted_trees,0.9641176340099881,0.1,0.1926829268292683,0.05950406178420234,10.271784373889597,0.16455696202531644
mlp,0.0057939796689615,1.0,1.0,0.09509298748947059,16.089600895853312,0.33414634146341465
mlp,0.26874077905685556,0.75,0.8926829268292683,0.08837807136539227,16.172424181646274,0.3333333333333333
mlp,0.45825660268697904,0.5,0.724390243902439,0.08339476082989034,16.192762603769594,0.3367003367003367
mlp,0.5,0.45365853658536587,0.6829268292682927,0.08240966334002478,16.21303307107377,0.3357142857142857
mlp,0.6069209591554724,0.25,0.4195121951219512,0.08788158518011702,15.620856788475319,0.32558139534883723
mlp,0.6799512452409705,0.1,0.18292682926829268,0.07697475867939856,15.060878926159592,0.3333333333333333
ridge,0.1098780001982509,1.0,1.0,0.07957378007285813,14.227841091150786,0.32195121951219513
ridge,0.3703179500352383,0.75,0.9121951219512195,0.07348147722340076,13.652264155376216,0.31016042780748665
ridge,0.4802484672028995,0.5,0.751219512195122,0.06975520407944188,13.805806533143857,0.32142857142857145
ridge,0.5,0.4451219512195122,0.6951219512195121,0.06946846537264861,14.005782795626398,0.3157894736842105
ridge,0.5741833685931494,0.25,0.43414634146341463,0.07063639500421537,15.15306354295629,0.34831460674157305
ridge,0.6621067385877273,0.1,0.18292682926829268,0.07280570795562405,15.630740624143392,0.4266666666666667
saturation_residual_fusion_new,0.0056035762769481,1.0,1.0,0.07769242751889169,10.84489839728943,0.22195121951219512
saturation_residual_fusion_new,0.10400748268190135,0.75,0.9170731707317074,0.07189484937381732,10.87705485771021,0.21808510638297873
saturation_residual_fusion_new,0.40703743436914475,0.5,0.748780487804878,0.06636873390340808,10.75646433196896,0.21172638436482086
saturation_residual_fusion_new,0.5,0.45,0.697560975609756,0.06563534357869912,10.628063159413479,0.2062937062937063
saturation_residual_fusion_new,0.8261370186489086,0.25,0.45121951219512196,0.05324452634226739,9.528582302447917,0.16216216216216217
saturation_residual_fusion_new,0.9720590821600898,0.1,0.1951219512195122,0.05807690378631023,8.843853676810731,0.1625
tiny_sequence_transformer,0.0471413321793079,1.0,1.0,0.10231007582068966,32.103146004676816,0.6292682926829268
tiny_sequence_transformer,0.16062046959996218,0.75,0.9048780487804878,0.09617068936088356,27.91608595848084,0.5929919137466307
tiny_sequence_transformer,0.3541198968887329,0.5,0.7195121951219512,0.09363291881090674,22.2382779121399,0.5288135593220339
tiny_sequence_transformer,0.5,0.3646341463414634,0.5536585365853659,0.0971031320362254,19.15720176696777,0.5022026431718062
tiny_sequence_transformer,0.6516757309436798,0.25,0.3902439024390244,0.10157824589287992,19.90678119659424,0.5125
tiny_sequence_transformer,0.8701541721820831,0.1,0.18048780487804877,0.10001956084907568,16.27089214324951,0.527027027027027
