run,event_index,stave_index,dynamic_only,ridge_hand_shape_score,gradient_boosted_trees_hgb_score,mlp_waveform_score,cnn_1d_waveform_score,new_ae_latent_shape_fusion_hgb_score
42,0,0,0,0.24358399,0.0003108665953408354,0.009530994,0.018548153,0.00040568675664837817
42,2,0,0,0.31133184,0.0025134698121548026,0.00942851,0.017532237,0.0032348947822511895
42,3,0,0,0.2704197,0.00031819630329956426,0.0064640995,0.017963039,0.00040568675664837817
42,5,0,1,0.62271094,0.9784927209828601,0.9368213,0.8659702,0.9802139451664698
42,6,0,0,0.35170922,0.0019575499511133064,0.01317185,0.018536473,0.00191030655110933
42,8,0,0,0.26166266,0.0003137823780023947,0.010528277,0.018732257,0.0004057146587591949
42,10,0,1,0.7251658,0.9899611780577425,0.99302447,0.9982798,0.997744445954275
42,11,0,0,0.29702398,0.00033574672116136814,0.0034566494,0.015331508,0.0004114050721749611
42,12,0,1,0.7370149,0.999462989699228,1.0,1.0,0.9993377756766938
42,13,0,1,0.75141025,0.996968262069687,0.99046725,0.9910019,0.9965078100022609
42,14,0,0,0.2687112,0.0003108665953408354,0.007387794,0.017477242,0.00040568675664837817
42,15,0,0,0.2658344,0.0003108665953408354,0.008327607,0.01847141,0.00040568675664837817
42,16,0,0,0.26307833,0.00033574672116136814,0.0019146539,0.014603471,0.0004114050721749611
42,19,0,0,0.27313125,0.00033574672116136814,0.0045849825,0.015089692,0.0004114050721749611
42,20,0,0,0.3551444,0.19792999629945687,0.023275008,0.024073452,0.30677965549148345
42,21,0,0,0.26633114,0.0005033632207845924,0.010564277,0.019376056,0.0004875990271234886
42,22,0,0,0.27345055,0.00033574672116136814,0.0036459921,0.013953394,0.0004114050721749611
42,23,0,0,0.2642776,0.00032995164019334033,0.012170565,0.017473428,0.0004057146587591949
42,24,0,1,0.7351096,0.999462989699228,0.99980396,0.9999851,0.9993377756766938
42,25,0,0,0.7372377,0.8082507686620771,0.91983217,0.94408935,0.2264018917230757
42,26,0,0,0.47658658,0.3189455330852543,0.2022018,0.061425347,0.2984755245289101
42,27,0,0,0.259406,0.0003108665953408354,0.008247994,0.01760476,0.00040568675664837817
42,28,0,0,0.27696726,0.0003108665953408354,0.008445791,0.018886168,0.0004509436159566273
42,29,0,0,0.274113,0.00031819630329956426,0.0065827114,0.017973,0.00040568675664837817
42,30,0,0,0.34752524,0.03964967325131354,0.016624667,0.01863828,0.02085385038283304
42,31,0,1,0.730809,0.999462989699228,1.0,1.0,0.9993377756766938
42,32,0,0,0.25857687,0.005274948489051726,0.005150135,0.024342287,0.004842478887277529
42,34,0,0,0.4509943,0.009874584738935195,0.11185811,0.06138904,0.008426770636359455
42,36,1,0,0.26829073,0.0004370318497927,0.0057011424,0.015498897,0.0005860460523084239
42,37,0,0,0.29093745,0.0011677478240893877,0.0077006705,0.016854243,0.0008978260848414165
42,38,0,1,0.7295858,0.999462989699228,1.0,1.0,0.9993377756766938
42,39,0,0,0.28275338,0.0004077072760378824,0.011268607,0.025132284,0.0006035848096532597
42,40,0,0,0.2907366,0.0006641144792908939,0.008386935,0.015764536,0.0008953137967521413
42,41,0,0,0.29158455,0.0011989228510880055,0.0061387117,0.016263502,0.001981960909749298
42,43,0,0,0.26179966,0.0003470139498791265,0.004961708,0.014795727,0.00042465764771084264
42,44,0,0,0.25815713,0.0003108665953408354,0.009477128,0.018782796,0.00040568675664837817
42,47,0,0,0.73635614,0.8204634683377837,0.80508876,0.7864677,0.7023823446779353
42,49,0,1,0.61954606,0.9798775900988059,0.94455636,0.8793872,0.9814150668128957
42,50,0,0,0.25350985,0.00033574672116136814,0.0028414961,0.0150264315,0.0004114050721749611
42,51,0,0,0.26962286,0.0003108665953408354,0.009827971,0.018270385,0.0004057146587591949
42,52,0,0,0.3389078,0.040702333734858265,0.0135116875,0.019400008,0.0454807639201735
42,53,0,0,0.2671701,0.00033574672116136814,0.003944131,0.01507216,0.0004114050721749611
42,56,0,0,0.26665035,0.00031819630329956426,0.0061701057,0.017576339,0.00040568675664837817
42,58,0,0,0.24817163,0.00033574672116136814,0.0051528793,0.016803827,0.0004114050721749611
42,59,0,0,0.26767552,0.00032271109113440167,0.0048325923,0.016973825,0.00040332410628638734
42,60,0,0,0.25787786,0.00033574672116136814,0.0029738983,0.014878703,0.0004114050721749611
42,61,0,0,0.73654914,0.7055271166605044,0.7856349,0.74751574,0.578756332059843
42,62,0,0,0.3405303,0.012737670746750763,0.03000305,0.024043918,0.008222656793298195
42,62,1,1,0.7196638,0.999462989699228,1.0,1.0,0.9993377756766938
42,62,2,1,0.7233865,0.9981732669201523,0.99870217,0.9984755,0.9981656707394234
42,63,0,0,0.4873249,0.45414301302341586,0.24173659,0.08901348,0.47756591089865436
42,64,0,0,0.26822633,0.00031989664937276727,0.0047315904,0.017367972,0.00039988028517935086
42,65,0,0,0.28697369,0.00038336108188359266,0.010053502,0.019595379,0.0004875990271234886
42,67,0,0,0.32224968,0.011859163743805511,0.010966319,0.01745613,0.007134722686798951
42,70,0,0,0.28515774,0.00033574672116136814,0.0030586396,0.01598671,0.0004114050721749611
42,72,0,0,0.23757662,0.00033574672116136814,0.0036951872,0.014365987,0.0004114050721749611
42,73,0,0,0.3709745,0.0017277150944477833,0.036471147,0.03609956,0.0017998786151170564
42,75,0,0,0.33255026,0.007461464182963854,0.012532458,0.024624515,0.0016621863635327288
42,75,1,1,0.5695874,0.9020079273192418,0.8692006,0.63585526,0.9317710781876904
42,76,0,0,0.2806833,0.0003470139498791265,0.006025638,0.015269143,0.00041966526810293157
42,77,0,0,0.2402537,0.00033574672116136814,0.0025171775,0.013382288,0.0004114050721749611
42,78,0,0,0.2730959,0.00033574672116136814,0.002835927,0.01564721,0.0004114050721749611
42,79,0,0,0.33823755,0.017085885141915717,0.0148026515,0.018119482,0.02302673873740751
42,80,0,0,0.28297412,0.00034818124307334144,0.00946126,0.019288693,0.00044304197474264194
