run,event_index,stave,stave_index,amplitude_adc,s00_selected,dynamic_only,z0,z1,z2,z3
31,0,B2,0,7858.5,1,0,-0.0017650509,-1.0366889,-0.0649602,1.0139463
31,1,B2,0,5667.5,1,0,-0.01894638,-1.126932,-0.098443255,1.1382014
31,2,B2,0,4843.0,1,0,0.20894584,-1.3742955,-0.22228797,1.3252951
31,3,B2,0,56.5,0,1,-6.7213163,6.511303,7.4425254,-12.251042
31,4,B2,0,4226.0,1,0,0.2899946,-1.4883572,-0.2806124,1.4270658
31,5,B2,0,8382.0,1,0,-0.009241016,-1.0201243,-0.05654438,0.99701
31,8,B2,0,1315.0,1,0,-0.77541846,0.6517906,1.1020104,-1.4431561
31,8,B4,1,108.0,0,1,-6.402422,6.235691,7.283038,-11.92824
31,10,B2,0,7556.0,1,0,0.053713925,-1.0925496,-0.09335314,1.0556127
31,12,B2,0,7100.0,1,0,0.14483394,-1.198185,-0.14815502,1.1482735
31,13,B2,0,5000.5,1,0,0.06532362,-1.2385842,-0.15216427,1.2301409
31,14,B2,0,8608.0,1,0,0.089854404,-1.1015998,-0.10310151,1.049497
31,15,B2,0,4782.0,1,0,0.16729216,-1.3391683,-0.20359226,1.3020113
31,16,B2,0,4299.0,1,0,0.26408693,-1.4634851,-0.26747328,1.4080412
31,17,B2,0,8246.5,1,0,0.025418267,-1.0566266,-0.07555856,1.0246477
31,18,B2,0,5993.0,1,0,-0.029787801,-1.0934876,-0.0851122,1.1030988
31,19,B2,0,2261.0,1,0,0.31256434,-0.8434063,-0.11997332,0.42910862
31,19,B4,1,1965.5,1,0,0.3251582,-0.85754573,-0.12675516,0.4409178
31,21,B2,0,8870.0,1,0,-0.11652819,-0.9043428,-0.0021061003,0.91189814
31,22,B8,3,1812.0,1,0,0.100118,-1.2644076,-0.17452632,1.2508211
31,23,B2,0,7831.0,1,0,0.15873049,-1.1833632,-0.14480169,1.1164106
31,27,B2,0,4005.0,1,0,0.14229997,-1.3361071,-0.20059271,1.2994277
31,29,B2,0,1599.5,1,0,0.105306916,-1.2274904,-0.16140594,1.2055659
31,30,B2,0,7708.5,1,0,0.30820405,-1.3422499,-0.2279882,1.2437662
31,31,B2,0,4464.5,1,0,0.37261143,-1.5525125,-0.31648874,1.4710467
31,32,B2,0,4149.5,1,0,-0.47894335,-0.50622046,0.24421613,0.5971956
31,34,B2,0,82.5,0,1,-3.882083,3.624937,4.2578883,-6.9361
31,35,B2,0,8358.5,1,0,-0.052204255,-0.98613167,-0.038509265,0.9774778
31,36,B2,0,6934.0,1,0,0.07657185,-1.1362206,-0.11384638,1.0992968
31,37,B2,0,3051.0,1,0,0.16769749,-1.3231282,-0.20601563,1.2934239
